year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1890,AUS,A,0.0139999995008111,-0.0162913842499971,,0.0430000014603138,0.0,1.0,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1890,BEL,A,-0.018470527728398745,-0.04169867110796954,0.05925083110729856,-0.0016459036618471368,0.034482758620689724,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1890,CHE,A,,-0.05651162438607349,,-0.007041347218202709,0.04385011053559862,1.0,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1890,DEU,A,-0.06751788264413017,-0.039660438669735454,-0.024289222806008093,0.011636975958505769,0.02586206690849413,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1890,DNK,A,-0.0013518513053215608,-0.028838456756871134,0.0006343374932784585,0.028705765479174028,0.012048375771494424,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1890,ESP,A,,-0.051379547203553866,,-0.010883071873577399,0.051442928063004656,1.0,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1890,FIN,A,,-0.04692240289880456,-0.05351281771794547,0.005999999135159362,0.03379721669980129,1.0,False,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1890,FRA,A,0.09971122443675995,-0.025326068628625853,0.12223191559314728,0.026200000196695328,0.0,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1890,GBR,A,0.04011975957485947,-0.021841080829995252,0.009811651883665284,0.0345309392777744,0.002000000000000224,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1890,ITA,A,-0.06649165593687922,-0.03868185877068708,0.008390193472286533,0.01636239578305032,0.03555582411132008,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1890,JPN,A,-0.23524003460717424,-0.07976858959668032,-0.030607928434829068,-0.023135731308657648,0.06626891114425737,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1890,NLD,A,,-0.031876661695148245,0.03235208652978572,0.0077765738760320335,0.017983576221243247,1.0,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1890,NOR,A,0.09579825197141756,-0.03834660115651589,0.021676286686385104,0.014905423415092267,0.01447876447876495,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1890,PRT,A,-0.2333938015061755,-0.12064744188003906,-0.18302286398965262,-0.054418604387793446,0.13157894736842102,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1890,SWE,A,-0.00346851915277846,-0.036674835576768317,-0.011276937220107364,0.017139852272881395,0.02149178255372952,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1890,USA,A,-0.0772994252699859,0.009177411672518954,0.0013229903838150037,0.059153064815093526,-0.018083378451543175,1.0,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1891,AUS,A,-0.09042412843299186,0.012705131463355501,,0.0588031582097126,-0.01492549075516525,0.9767964790675326,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1891,BEL,A,-0.01920868083834648,-0.00957237706164027,0.05984026566147804,0.032783009111881256,0.0,0.991095125975985,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1891,CHE,A,,-0.03664693266896468,,0.009316336976510353,0.026932747931613488,1.0181232078993263,False,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1891,DEU,A,-0.058233545642731976,-0.02652888916909213,0.01676489224434019,0.013171894050932442,0.016806730330162445,1.0102830246612182,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1891,DNK,A,-0.05441736676107434,-0.10375302287095811,-0.08221319927094961,-0.04687366262765258,0.09523780936743842,1.0893575758359053,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
