age,mean_abs_deviation,mean_deviation,share_saving_more,share_saving_less
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.06228762080098736,0.03979764913300918,0.5,0.5
28,0.09567320309111635,0.04585196777206032,0.46005,0.53995
29,0.08041947142380208,-0.028212344382871173,0.20945,0.79055
30,0.07672515033406148,-0.018290327271112843,0.283,0.717
31,0.08684355363580017,-0.027722194588702884,0.31165,0.68835
32,0.08559970061681593,-0.016786622552401258,0.36415,0.63585
33,0.08340533271709782,-0.01559945221367505,0.3757,0.6243
34,0.08258361049197617,-0.014442072270186464,0.3787,0.6213
35,0.09989745327100509,-0.03072047211741307,0.3856,0.6144
36,0.09782063898865613,-0.023988051808357704,0.40955,0.59045
37,0.09791716280113327,-0.02276605488151732,0.41545,0.58455
38,0.09850023110884519,-0.020001485673206913,0.4276,0.5724
39,0.0993058004672561,-0.02148585540349814,0.41625,0.58375
40,0.09922297534904467,-0.018590129813340503,0.4279,0.5721
41,0.10050933957048241,-0.01993766519634042,0.4277,0.5723
42,0.10148181438587374,-0.019180862482648987,0.4294,0.5706
43,0.10266530211354298,-0.017585405390970504,0.43365,0.56635
44,0.10364683563239699,-0.01768410527551523,0.42765,0.57235
45,0.10434599627869495,-0.016575787840790276,0.4338,0.5662
46,0.10580980057441403,-0.017075872954289913,0.4287,0.5713
47,0.10726339502323022,-0.01703004537817033,0.43235,0.56765
48,0.10822110929333172,-0.01650816895371873,0.4302,0.5698
49,0.10912372736886596,-0.017210757556303077,0.428,0.572
50,0.11010466300207514,-0.01637188683089181,0.42885,0.57115
51,0.11166380168027672,-0.016183523106393722,0.4272,0.5728
52,0.09481980084958232,0.0018780821699119587,0.4278,0.5722
53,0.09589217600840662,0.0023458788288610835,0.4248,0.5752
54,0.09771226169905307,0.003686587182151355,0.428,0.572
55,0.09829931928786668,0.0037692861787617608,0.4236,0.5764
56,0.08863821560182594,0.014387872162460433,0.42085,0.57915
57,0.08999435718792503,0.015813684063139998,0.42475,0.57525
58,0.09015756501774902,0.01496733344833601,0.41985,0.58015
59,0.07955533346811224,0.027746554234456766,0.4214,0.5786
60,0.08017301604653577,0.027764424113117765,0.41685,0.58315
61,0.06858257675177333,0.04170529356274029,0.4198,0.5802
62,0.06957393675043157,0.04264542038878306,0.4177,0.5823
