risk_aversion,sensitivity,cec,mean_savings_rate,matched_value_pct
2.0,0.0,1.0844252294785124,0.10000000000000007,0.36715973767742494
2.0,0.02,1.0899568587130863,0.09701435083619374,0.8047326970971547
2.0,0.05,1.0959365336895721,0.0941497920485168,1.2860950436082819
2.0,0.1,1.1020529731622242,0.09196647345396834,1.796513551323553
2.0,0.2,1.107536181015197,0.09182200153854364,2.299350715032622
2.0,0.4,1.1086691446565642,0.09558976024461774,2.4992710220320014
5.0,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455
5.0,0.02,0.8043879081515138,0.09701435083619374,1.889221422418097
5.0,0.05,0.8154432019584122,0.0941497920485168,3.04862930660037
5.0,0.1,0.824757696258898,0.09196647345396834,4.040745505950638
5.0,0.2,0.8311144187452383,0.09182200153854364,4.830316733534423
5.0,0.4,0.8303162221860187,0.09558976024461774,5.051330127063092
10.0,0.0,0.529022353202711,0.10000000000000007,0.2595623000304803
10.0,0.02,0.5423781116603775,0.09701435083619374,2.456942995699163
10.0,0.05,0.5532482422359756,0.0941497920485168,4.185752669471965
10.0,0.1,0.5607065164902668,0.09196647345396834,5.3409035017792705
10.0,0.2,0.5634366749186317,0.09182200153854364,5.837283809583216
10.0,0.4,0.5555715129551131,0.09558976024461774,4.786861961666444
