form,form_label,sensitivity,rate_move_pp,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
level,"Level gap (target − W/Y, income multiples)",0.0,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
level,"Level gap (target − W/Y, income multiples)",0.002,0.16310328008065386,0.7987206661162393,0.09831745592883019,1.2790888512155485,False,0.11675,0.73481637114463,1.464437871311875,0.656861504767603
level,"Level gap (target − W/Y, income multiples)",0.005,0.40775820020163467,0.8038473994337789,0.09738677723931309,1.851716906943346,False,0.11675,0.7390067885236247,1.4736960413408062,1.2294895604954004
level,"Level gap (target − W/Y, income multiples)",0.01,0.8155164004032693,0.808911095067428,0.09732250297498124,2.4879357642711986,False,0.11675,0.7457264773223581,1.4844727226799095,1.865708417823253
level,"Level gap (target − W/Y, income multiples)",0.02,1.6310328008065387,0.8141668905659647,0.09905956646052003,3.3003314579824083,False,0.11675,0.7538808653162388,1.5095666753459343,2.678104111534463
level,"Level gap (target − W/Y, income multiples)",0.05,4.077582002016348,0.816616178663028,0.10636091404968495,4.344274620375832,False,0.11675,0.7772669740822823,1.5696265499066464,3.7220472739278865
level,"Level gap (target − W/Y, income multiples)",0.1,8.155164004032695,0.8123319983513223,0.11217870914634506,4.398599973912409,False,0.11675,0.793166309438313,1.6233309684704689,3.776372627464464
level,"Level gap (target − W/Y, income multiples)",0.15,12.23274600604904,0.8093968733874304,0.11420150271552404,4.231482414553933,False,0.11675,0.7990163365529283,1.6514650031854132,3.6092550681059876
proportional,Funded ratio (1 − W/Y ÷ target),0.0,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
proportional,Funded ratio (1 − W/Y ÷ target),0.02,0.4999999999999998,0.8043879081515138,0.09701435083619374,1.889221422418097,False,0.11675,0.7318554426758824,1.4658162711227196,1.2669940759701515
proportional,Funded ratio (1 − W/Y ÷ target),0.05,1.2499999999999996,0.8154432019584122,0.0941497920485168,3.04862930660037,False,0.11675,0.7356413657522994,1.4722882252975347,2.4264019601524245
proportional,Funded ratio (1 − W/Y ÷ target),0.1,2.499999999999999,0.824757696258898,0.09196647345396834,4.040745505950638,False,0.11675,0.7406348160312071,1.4887853438640068,3.4185181595026926
proportional,Funded ratio (1 − W/Y ÷ target),0.2,4.999999999999998,0.8311144187452383,0.09182200153854364,4.830316733534423,False,0.11675,0.749733513056546,1.5190801054286016,4.208089387086478
proportional,Funded ratio (1 − W/Y ÷ target),0.4,9.999999999999996,0.8303162221860187,0.09558976024461774,5.051330127063092,False,0.11675,0.771518953237096,1.581588093529833,4.429102780615146
log,Log funded ratio (log target ÷ W/Y),0.0,0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
log,Log funded ratio (log target ÷ W/Y),0.02,0.5753641449035616,0.8002788600599781,0.09967152883225536,1.5890643675477545,False,0.11675,0.7377368821643391,1.480665198465649,0.966837021099809
log,Log funded ratio (log target ÷ W/Y),0.05,1.438410362258904,0.8099825730397417,0.0986816364697502,2.737687455892601,False,0.11675,0.7465001111522663,1.5032963484324706,2.1154601094446557
log,Log funded ratio (log target ÷ W/Y),0.1,2.876820724517808,0.8210304044952549,0.09715081539762839,4.008857373956709,False,0.11675,0.7543944962270016,1.5285804008420538,3.3866300275087635
log,Log funded ratio (log target ÷ W/Y),0.2,5.753641449035616,0.8296422924836638,0.096255943921461,5.023102993343431,False,0.11675,0.764799823187801,1.5625075541350015,4.400875646895486
log,Log funded ratio (log target ÷ W/Y),0.4,11.507282898071232,0.8262315790428472,0.09878979731309664,4.807966351343196,False,0.11675,0.7840376361491955,1.6184675796527352,4.18573900489525
