signal,signal_label,family,sensitivity,cec,mean_savings_rate,matched_value_pct,extrapolated,prob_ruin,p5_retirement_consumption,median_retirement_consumption,increment_pct
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.02,0.8043879081515138,0.09701435083619374,1.889221422418097,False,0.11675,0.7318554426758824,1.4658162711227196,1.2669940759701515
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.05,0.8154432019584122,0.0941497920485168,3.04862930660037,False,0.11675,0.7356413657522994,1.4722882252975347,2.4264019601524245
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.1,0.824757696258898,0.09196647345396834,4.040745505950638,False,0.11675,0.7406348160312071,1.4887853438640068,3.4185181595026926
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.2,0.8311144187452383,0.09182200153854364,4.830316733534423,False,0.11675,0.749733513056546,1.5190801054286016,4.208089387086478
funded_ratio,Funded ratio (wealth vs age target),stock (balance vs target),0.4,0.8303162221860187,0.09558976024461774,5.051330127063092,False,0.11675,0.771518953237096,1.581588093529833,4.429102780615146
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.02,0.8028249089966665,0.09064794615288402,1.1655645652141056,False,0.11675,0.7213463498520478,1.4256544785463139,0.54333721876616
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.05,0.8109402539444219,0.08116060456238931,1.4070109785792706,False,0.11675,0.7084129374977222,1.383603475571487,0.7847836321313251
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.1,0.8184079098630775,0.07049179042515809,1.596452833397377,False,0.11675,0.690365151084279,1.3278834286552736,0.9742254869494316
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.2,0.8255645974693226,0.05710167998073828,1.7758148734257961,False,0.11675,0.6624275913758289,1.243293711624999,1.1535875269778506
wealth_level,Raw balance (wealth ÷ income),stock (balance),0.4,0.8299046946215711,0.042340107844478926,2.0824628416985513,False,0.11675,0.6258625196914496,1.1354567088814829,1.4602354952506058
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.02,0.8050143952195707,0.08249842929189646,0.7746223711705635,False,0.11675,0.7142275174342783,1.3827679084266733,0.152395024722618
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.05,0.8150741901231646,0.06401572714320346,0.8428165400667265,False,0.11675,0.6821106810200532,1.2719610791284746,0.22058919361878093
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.1,0.8165342595825765,0.04204598806128612,0.44334264068199847,False,0.11675,0.5901390924102796,1.0732287468229993,-0.17888470576594706
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.2,0.8040758566681366,0.022471295330824818,-0.08813254920013724,False,0.11675,0.5158529615721931,0.8715198226908814,-0.7103598956480828
investment_gain,Investment gain (balance vs contributions),stock (market's share of the balance),0.4,0.7920244508967906,0.013192638436544729,0.9741344651370332,False,0.11675,0.48932738115358876,0.7839610920207439,0.35190711868908764
return_1y,Last year's return,flow (market),0.0,0.7924495257552827,0.10000000000000007,0.6222273464479455,False,0.11675,0.7320187041785252,1.4586862578720443,0.0
return_1y,Last year's return,flow (market),0.02,0.7934934036532517,0.09850427942404097,0.6316244257094317,False,0.11675,0.7296847073707744,1.4484396905918242,0.009397079261486141
return_1y,Last year's return,flow (market),0.05,0.7949149560446375,0.09628202812655186,0.6291655482465908,False,0.11675,0.7258440449277291,1.4346888150992445,0.006938201798645238
return_1y,Last year's return,flow (market),0.1,0.7968248898510889,0.09281053842862279,0.5861158328626548,False,0.11675,0.7189090264999375,1.4099844805244328,-0.036111513585290744
return_1y,Last year's return,flow (market),0.2,0.7989894570679875,0.08695161592644209,0.38097656335365215,False,0.11675,0.7100497300359675,1.3708076339382664,-0.24125078309429338
