target,age,multiple
model median path,25,0.0
model median path,26,9.807395805136863e-11
model median path,27,0.024436017550744676
model median path,28,0.05063900259805552
model median path,29,0.10266171058922446
model median path,30,0.18321825666097974
model median path,31,0.2659282170031524
model median path,32,0.37875169534238773
model median path,33,0.4960248582711328
model median path,34,0.6201104526725358
model median path,35,0.7464569872705498
model median path,36,0.9369764081395251
model median path,37,1.1309883695329939
model median path,38,1.3479390961027415
model median path,39,1.5607660927680467
model median path,40,1.8037991888551832
model median path,41,2.0453951690157353
model median path,42,2.312042991601156
model median path,43,2.6109060553232695
model median path,44,2.920977019753276
model median path,45,3.2620656016130782
model median path,46,3.6131858533786176
model median path,47,3.98212621708446
model median path,48,4.4104493198443455
model median path,49,4.859386745820833
model median path,50,5.366938868010266
model median path,51,5.912349297510598
model median path,52,6.497592055391953
model median path,53,7.076816038493343
model median path,54,7.746625080399636
model median path,55,8.42108665391573
model median path,56,9.228237307965703
model median path,57,10.075958611691293
model median path,58,10.865943246750266
model median path,59,11.93038910378215
model median path,60,12.86267148156029
model median path,61,14.147117835183044
model median path,62,15.546757714090411
published ladder,25,0.0
published ladder,26,0.0
published ladder,27,0.0
published ladder,28,0.0
published ladder,29,0.0
published ladder,30,1.0
published ladder,31,1.2
published ladder,32,1.4
published ladder,33,1.6
published ladder,34,1.8
published ladder,35,2.0
published ladder,36,2.2
published ladder,37,2.4
published ladder,38,2.6
published ladder,39,2.8
published ladder,40,3.0
published ladder,41,3.2
published ladder,42,3.4
published ladder,43,3.6
published ladder,44,3.8
published ladder,45,4.0
published ladder,46,4.4
published ladder,47,4.8
published ladder,48,5.2
published ladder,49,5.6
published ladder,50,6.0
published ladder,51,6.2
published ladder,52,6.4
published ladder,53,6.6
published ladder,54,6.8
published ladder,55,7.0
published ladder,56,7.2
published ladder,57,7.4
published ladder,58,7.6
published ladder,59,7.8
published ladder,60,8.0
published ladder,61,8.285714285714286
published ladder,62,8.571428571428571
flat 8x income,25,8.0
flat 8x income,26,8.0
flat 8x income,27,8.0
flat 8x income,28,8.0
flat 8x income,29,8.0
flat 8x income,30,8.0
flat 8x income,31,8.0
flat 8x income,32,8.0
flat 8x income,33,8.0
flat 8x income,34,8.0
flat 8x income,35,8.0
flat 8x income,36,8.0
flat 8x income,37,8.0
flat 8x income,38,8.0
flat 8x income,39,8.0
flat 8x income,40,8.0
flat 8x income,41,8.0
flat 8x income,42,8.0
flat 8x income,43,8.0
flat 8x income,44,8.0
flat 8x income,45,8.0
flat 8x income,46,8.0
flat 8x income,47,8.0
flat 8x income,48,8.0
flat 8x income,49,8.0
flat 8x income,50,8.0
flat 8x income,51,8.0
flat 8x income,52,8.0
flat 8x income,53,8.0
flat 8x income,54,8.0
flat 8x income,55,8.0
flat 8x income,56,8.0
flat 8x income,57,8.0
flat 8x income,58,8.0
flat 8x income,59,8.0
flat 8x income,60,8.0
flat 8x income,61,8.0
flat 8x income,62,8.0
