stage,sweep,cec,evaluations,mean_dom_eq,mean_intl_eq,mean_bond,mean_bill,gain_pct,risk_aversion
start,-1,1.102832988595561,1,0.25,0.25,0.25,0.25,,2.0
coarse,0,1.449051928579031,2381,0.03676470588235294,0.9448529411764706,0.01838235294117647,0.0,31.393596633736355,2.0
coarse,1,1.4505738059578657,4761,0.0661764705882353,0.9191176470588235,0.007352941176470588,0.007352941176470588,0.10502573088093659,2.0
fine,0,1.4517583222654626,5099,0.06397058823529413,0.9198529411764705,0.0058823529411764705,0.010294117647058825,0.08165846527297127,2.0
fine,1,1.4520820208621077,5479,0.06397058823529411,0.9205882352941177,0.00661764705882353,0.008823529411764706,0.02229700299840598,2.0
fine,2,1.4521596508340655,5859,0.06470588235294118,0.9183823529411765,0.00661764705882353,0.010294117647058823,0.005346114809112734,2.0
fine,3,1.4521712326513283,6248,0.06617647058823531,0.9169117647058824,0.0058823529411764705,0.011029411764705883,0.0007975581235886153,2.0
start,-1,0.8948842216708571,1,0.25,0.25,0.25,0.25,,5.0
coarse,0,1.0504021871727762,2381,0.07720588235294118,0.8860294117647058,0.025735294117647058,0.011029411764705883,17.378557106700153,5.0
coarse,1,1.0520267678489699,4761,0.09558823529411764,0.8786764705882353,0.011029411764705883,0.014705882352941176,0.15466272786106572,5.0
fine,0,1.054000197458763,5132,0.1036764705882353,0.8691176470588237,0.013235294117647059,0.013970588235294117,0.18758359293729043,5.0
fine,1,1.0546756736828047,5584,0.10808823529411764,0.8632352941176471,0.013235294117647059,0.015441176470588236,0.06408691627102225,5.0
fine,2,1.054734648026386,6045,0.10808823529411764,0.8617647058823529,0.015441176470588236,0.014705882352941176,0.005591704165830436,5.0
fine,3,1.0547483429591313,6515,0.10882352941176471,0.8610294117647059,0.015441176470588236,0.014705882352941176,0.001298424468276771,5.0
start,-1,0.6969794170759394,1,0.25,0.25,0.25,0.25,,10.0
coarse,0,0.7536574569537372,2381,0.08823529411764706,0.8419117647058824,0.051470588235294115,0.01838235294117647,8.13195318099651,10.0
coarse,1,0.7564468492111541,4761,0.14705882352941177,0.8088235294117647,0.025735294117647058,0.01838235294117647,0.3701140659699176,10.0
fine,0,0.7574895046249257,5165,0.14338235294117643,0.8125,0.026470588235294117,0.017647058823529415,0.13783591204838963,10.0
fine,1,0.7580515314633778,5608,0.14191176470588232,0.8132352941176471,0.027941176470588237,0.016911764705882355,0.0741959901781497,10.0
fine,2,0.7581245006994738,6081,0.14485294117647057,0.8080882352941177,0.03161764705882353,0.015441176470588236,0.009625893896036963,10.0
fine,3,0.7581500729500075,6569,0.14485294117647057,0.8080882352941177,0.03235294117647059,0.014705882352941176,0.003373093800562721,10.0
