kind,risk_aversion,age,phase,dom_eq,intl_eq,bond,bill,equity,fixed_income,domestic_share_of_equity,bond_share_of_fixed
full simplex,2.0,25,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,26,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,27,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,28,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,29,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,30,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,31,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,32,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,33,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,34,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,35,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,36,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,37,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,38,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,39,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,40,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,41,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,42,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,43,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,44,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
full simplex,2.0,45,working,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
