series,lag,bootstrap,panel,gap
dom_eq,1,0.045852308621691235,0.014324859478718054,0.03152744914297318
dom_eq,2,-0.06924658903114998,-0.09945591343016183,0.030209324399011847
dom_eq,3,-0.010169343015255971,0.0028415826526012075,-0.013010925667857179
dom_eq,4,-0.030406581663584443,-0.046390126418696505,0.015983544755112062
dom_eq,5,-0.058553913193468816,-0.13399925158288553,0.07544533838941672
intl_eq,1,0.09174952528505494,0.022526683654050545,0.0692228416310044
intl_eq,2,-0.06286426201073286,-0.10654339830881411,0.04367913629808125
intl_eq,3,-0.02328434111472294,0.0045926934433414114,-0.02787703455806435
intl_eq,4,-0.0311017460739755,-0.06843935260551194,0.03733760653153644
intl_eq,5,-0.07254978560941429,-0.20763556167715577,0.13508577606774147
bond,1,0.15628371911164474,0.11106106144593626,0.045222657665708474
bond,2,0.12235127223165132,0.1443228572975965,-0.02197158506594518
bond,3,0.02889697528185668,0.06022331335099404,-0.03132633806913736
bond,4,0.03632419495298476,0.04689058827535438,-0.010566393322369624
bond,5,0.029816968295950586,0.047145441023659855,-0.01732847272770927
bill,1,0.3923391588579991,0.3205402934157732,0.07179886544222586
bill,2,0.21274824073091614,0.22461729201729194,-0.011869051286375804
bill,3,0.1267839982845174,0.16017760952510532,-0.03339361124058793
bill,4,0.06660547663511204,0.08456548027506058,-0.01796000363994854
bill,5,0.03621827687822158,0.060205786267742444,-0.023987509389520864
inflation,1,0.44074718582665756,0.3536843625978763,0.08706282322878128
inflation,2,0.20833543727991677,0.2295469934794483,-0.021211556199531523
inflation,3,0.14070368708855857,0.15713277422864716,-0.01642908714008859
inflation,4,0.06855622078108259,0.1275713160741651,-0.05901509529308252
inflation,5,0.04300431574310097,0.05373777009233772,-0.010733454349236747
