iso,tier,usable_years,target_probability,realised_frequency
AUS,A,118,0.035467388037270814,0.03395
BEL,A,125,0.03757138563270213,0.0366
CHE,A,120,0.03606853020739405,0.0366
DEU,A,124,0.037270814547640516,0.03755
DNK,A,130,0.03907424105801022,0.039
ESP,A,115,0.03456567478208596,0.03345
FIN,A,125,0.03757138563270213,0.0396
FRA,A,124,0.037270814547640516,0.03845
GBR,A,131,0.039374812143071834,0.04055
ITA,A,124,0.037270814547640516,0.0386
JPN,A,129,0.0387736699729486,0.03735
NLD,A,121,0.036369101292455665,0.03465
NOR,A,131,0.039374812143071834,0.0398
PRT,A,131,0.039374812143071834,0.0406
SWE,A,131,0.039374812143071834,0.03865
USA,A,131,0.039374812143071834,0.036
AUT,B,130,0.03907424105801022,0.04075
CAN,B,130,0.03907424105801022,0.03975
HRV,B,27,0.008115419296663661,0.00785
CYP,B,23,0.0069131349564171924,0.0068
CZE,B,26,0.007814848211602044,0.00835
EST,B,24,0.007213706041478809,0.00735
GRC,B,130,0.03907424105801022,0.03975
HKG,B,73,0.021941689209498048,0.0221
ISL,B,24,0.007213706041478809,0.0073
IRL,B,98,0.02945596633603847,0.03065
ISR,B,70,0.021039975954313193,0.0207
KOR,B,64,0.01923654944394349,0.0186
LVA,B,24,0.007213706041478809,0.00715
LTU,B,27,0.008115419296663661,0.0074
LUX,B,91,0.027351968740607153,0.02825
MLT,B,28,0.008415990381725278,0.00835
NZL,B,130,0.03907424105801022,0.03935
POL,B,29,0.008716561466786895,0.00805
SGP,B,55,0.01653140967838894,0.01695
SVK,B,27,0.008115419296663661,0.00825
SVN,B,29,0.008716561466786895,0.0078
TWN,B,58,0.01743312293357379,0.0171
