iso,cohorts,mean_gap_pct,median_gap_pct,win_rate,first_start,last_start
JPN,6,-36.566506725904986,-36.31321607737325,0.0,1948,1953
USA,64,-5.003992008777673,-9.633559697008248,0.3125,1890,1953
DEU,4,-1.92890248370563,-1.344993598523625,0.0,1950,1953
NLD,54,3.1299916326615294,0.37481659670040024,0.5370370370370371,1900,1953
FIN,58,5.168438280629324,2.3328509576896694,0.5172413793103449,1896,1953
CHE,38,7.754829861255234,7.501703624424438,0.868421052631579,1916,1953
SWE,64,7.913388679438438,10.240261512754579,0.71875,1890,1953
GBR,64,8.722029808417211,8.364238674096258,0.75,1890,1953
DNK,38,12.44572619753339,15.447304838658916,0.631578947368421,1916,1953
AUS,6,14.425126923053954,14.282348229147468,1.0,1948,1953
ITA,32,21.60883634726232,28.22673956281534,0.8125,1922,1953
ESP,10,26.426340734438668,27.134816271592577,1.0,1941,1950
NOR,64,26.970739190848025,24.767217015237808,0.890625,1890,1953
BEL,34,33.394081097568204,33.29229399588516,1.0,1920,1953
PRT,64,53.959316008965985,51.129526120844446,1.0,1890,1953
FRA,32,81.4817776773651,70.7684316856562,1.0,1922,1953
