credit,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
-0.15,balanced_all_equity,50/50 Domestic/International Equity,0.9958108077458213,1.1639038284102246,0.14865,18.498836556989637,29.537458365985685,0.7139399798121209,1.5824917874605122,100000
-0.15,domestic_equity,100% Domestic Equity,0.8553264713866887,0.9541772845523746,0.28726,14.158463308441833,10.280227870906273,0.6103158219733723,1.407477114671067,100000
-0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
-0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8535166086998033,0.937883230345341,0.26606,12.382012736593085,7.539303891821756,0.6113821580327207,1.240950258431878,100000
-0.15,target_date_fund,Target-Date Fund (glide path),0.915914494938552,1.0141134391942457,0.24417,14.853900567286939,7.16985021785259,0.6625973638347998,1.3447709022402397,100000
-0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
-0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
-0.15,domestic_010,10% domestic equity,1.0536840941872125,1.261523202484754,0.11301,20.878583066981463,41.309371277230056,0.7574640095054883,1.7050076474558513,100000
-0.15,domestic_020,20% domestic equity,1.051492109142335,1.2551569135469738,0.11176,20.428147576521834,38.82105146387511,0.7542260446981914,1.6769107560610932,100000
-0.15,domestic_030,30% domestic equity,1.0402110764994954,1.2352689210582024,0.11732,19.869735167461535,35.97401869307039,0.7459887364978438,1.6469981592686471,100000
-0.15,domestic_040,40% domestic equity,1.020931261974766,1.203732774279481,0.12986,19.217625594799014,32.92135111237377,0.7316731613273363,1.615387324928803,100000
-0.15,domestic_050,50% domestic equity,0.9958108077458213,1.1639038284102246,0.14865,18.498836556989637,29.537458365985685,0.7139399798121209,1.5824917874605122,100000
-0.15,domestic_060,60% domestic equity,0.9676970659757372,1.1200886183551066,0.17009,17.73953035387154,25.76855588668855,0.6943900277640206,1.5488030324058673,100000
-0.15,domestic_070,70% domestic equity,0.9387174753695036,1.0757222054127948,0.19438,16.9132286202814,21.93808918844325,0.6722052140915715,1.514642823378293,100000
-0.15,domestic_080,80% domestic equity,0.910025696235399,1.0327546613652148,0.22177,16.045516278186117,17.823205328869356,0.6506590844472158,1.479809103878677,100000
-0.15,domestic_090,90% domestic equity,0.8820941611633207,0.9921131885830666,0.25297,15.125286684978182,13.90462820238771,0.630059037050359,1.4442384516626057,100000
-0.15,domestic_100,100% domestic equity,0.8553264713866887,0.9541772845523746,0.28726,14.158463308441833,10.280227870906273,0.6103158219733723,1.407477114671067,100000
0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0197211734399703,1.20212473140659,0.13286,19.751625663596137,36.33386717052788,0.7295381642979953,1.6509849381792114,100000
0.0,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
0.0,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345,1.2918603688188384,100000
0.0,target_date_fund,Target-Date Fund (glide path),0.9311298546253112,1.0359202973946882,0.23118,15.727429273701254,8.40047989078193,0.6738320437424211,1.3884783431244612,100000
0.0,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.0,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.0,domestic_010,10% domestic equity,1.0593924943703623,1.27098884902812,0.10967,21.148930767357022,42.95500384534872,0.7614621707803586,1.7198797364043341,100000
0.0,domestic_020,20% domestic equity,1.0629023733970209,1.2739891164588875,0.10554,20.976244100400635,42.036585525619614,0.761212722845175,1.7060766072886326,100000
0.0,domestic_030,30% domestic equity,1.0568114317362656,1.2624463100695127,0.10775,20.67266032143217,40.66909710957407,0.7567815714273683,1.6898614477874487,100000
0.0,domestic_040,40% domestic equity,1.0418010929193051,1.237521600778811,0.11805,20.252568128496527,38.70684485286225,0.745853774772445,1.6713751546972115,100000
0.0,domestic_050,50% domestic equity,1.0197211734399703,1.20212473140659,0.13286,19.751625663596137,36.33386717052788,0.7295381642979953,1.6509849381792114,100000
0.0,domestic_060,60% domestic equity,0.993509988561567,1.1607279191382651,0.15132,19.19068652920422,33.08940246513852,0.7117392387839033,1.6289327809928933,100000
