position,credit,rate,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
neither tax,0.0,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009,1.7277510696500815,100000
neither tax,0.0,0.0,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
neither tax,0.0,0.0,international_equity,100% International Equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722,1.904968254423051,100000
neither tax,0.0,0.0,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345,1.2918603688188384,100000
neither tax,0.0,0.0,target_date_fund,Target-Date Fund (glide path),0.9425195381382905,1.0525353008305582,0.2221,16.374254032061522,9.363398003433641,0.6824444319335816,1.4204211598882885,100000
neither tax,0.0,0.0,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
neither tax,0.0,0.0,domestic_000,0% domestic equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722,1.904968254423051,100000
neither tax,0.0,0.0,domestic_010,10% domestic equity,1.1168329366179508,1.3680061449846246,0.08186,24.010521258708543,62.22918172503438,0.7996011232424485,1.872290658356097,100000
neither tax,0.0,0.0,domestic_020,20% domestic equity,1.1145043825356662,1.3610435623225852,0.0805,23.45834848203878,58.450441136501325,0.7956901841270639,1.838224221128134,100000
neither tax,0.0,0.0,domestic_030,30% domestic equity,1.1011835071015068,1.3368366862780623,0.08658,22.795529494461107,54.229989067476225,0.7867760432752812,1.8027907651763233,100000
neither tax,0.0,0.0,domestic_040,40% domestic equity,1.078095306728423,1.297639371514938,0.09967,22.022564847489434,49.75618541655762,0.7711107372350195,1.7658624879674287,100000
neither tax,0.0,0.0,domestic_050,50% domestic equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009,1.7277510696500815,100000
neither tax,0.0,0.0,domestic_060,60% domestic equity,1.0136949514591336,1.1931636563826815,0.13812,20.281045368522797,39.21388894980628,0.7256027254625402,1.6886425197130204,100000
neither tax,0.0,0.0,domestic_070,70% domestic equity,0.9788390929371455,1.1384561165328102,0.16329,19.318767480848503,33.49851112505374,0.7003263419192932,1.6490767086750526,100000
neither tax,0.0,0.0,domestic_080,80% domestic equity,0.9450613794464463,1.0864688097180777,0.18901,18.296241864969716,27.68517131875489,0.6748371354983856,1.6091627459890017,100000
neither tax,0.0,0.0,domestic_090,90% domestic equity,0.9125746636105094,1.0380814250528543,0.21983,17.201385294449466,21.973090171347273,0.6503485188456651,1.56851957263348,100000
neither tax,0.0,0.0,domestic_100,100% domestic equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
withholding only,0.0,0.15,balanced_all_equity,50/50 Domestic/International Equity,1.0197211734399703,1.20212473140659,0.13286,19.751625663596137,36.33386717052788,0.7295381642979953,1.6509849381792114,100000
withholding only,0.0,0.15,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
withholding only,0.0,0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
withholding only,0.0,0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345,1.2918603688188384,100000
withholding only,0.0,0.15,target_date_fund,Target-Date Fund (glide path),0.9311298546253112,1.0359202973946882,0.23118,15.727429273701254,8.40047989078193,0.6738320437424211,1.3884783431244612,100000
