kind,risk_aversion,age,equity_share,domestic_share_of_equity
free_form,2.0,25,1.0,0.0
free_form,2.0,26,1.0,0.0
free_form,2.0,27,1.0,0.0
free_form,2.0,28,1.0,0.0
free_form,2.0,29,1.0,0.0
free_form,2.0,30,1.0,0.0
free_form,2.0,31,1.0,0.0
free_form,2.0,32,1.0,0.0
free_form,2.0,33,1.0,0.0
free_form,2.0,34,1.0,0.0
free_form,2.0,35,1.0,0.0
free_form,2.0,36,1.0,0.0
free_form,2.0,37,1.0,0.0
free_form,2.0,38,1.0,0.0
free_form,2.0,39,1.0,0.0
free_form,2.0,40,1.0,0.0
free_form,2.0,41,1.0,0.0
free_form,2.0,42,1.0,0.0
free_form,2.0,43,1.0,0.0
free_form,2.0,44,1.0,0.0
free_form,2.0,45,1.0,0.0
free_form,2.0,46,1.0,0.0
free_form,2.0,47,1.0,0.0
free_form,2.0,48,1.0,0.0
free_form,2.0,49,1.0,0.0
free_form,2.0,50,1.0,0.0
free_form,2.0,51,1.0,0.0
free_form,2.0,52,1.0,0.0
free_form,2.0,53,1.0,0.0
free_form,2.0,54,1.0,0.0
free_form,2.0,55,1.0,0.0
free_form,2.0,56,1.0,0.0
free_form,2.0,57,1.0,0.0
free_form,2.0,58,1.0,0.0
free_form,2.0,59,1.0,0.0
free_form,2.0,60,1.0,0.0
free_form,2.0,61,1.0,0.0
free_form,2.0,62,1.0,0.0
free_form,2.0,63,0.7,0.0
free_form,2.0,64,0.7,0.0
free_form,2.0,65,0.8,0.2
free_form,2.0,66,0.9,0.2
free_form,2.0,67,0.9,0.2
free_form,2.0,68,1.0,0.2
free_form,2.0,69,1.0,0.2
free_form,2.0,70,1.0,0.2
free_form,2.0,71,1.0,0.2
free_form,2.0,72,1.0,0.2
free_form,2.0,73,1.0,0.2
free_form,2.0,74,1.0,0.2
free_form,2.0,75,1.0,0.2
free_form,2.0,76,1.0,0.2
free_form,2.0,77,1.0,0.2
free_form,2.0,78,1.0,0.2
free_form,2.0,79,1.0,0.2
free_form,2.0,80,1.0,0.2
free_form,2.0,81,1.0,0.2
free_form,2.0,82,1.0,0.2
free_form,2.0,83,1.0,0.2
free_form,2.0,84,1.0,0.2
free_form,2.0,85,1.0,0.2
free_form,2.0,86,1.0,0.2
free_form,2.0,87,1.0,0.2
free_form,2.0,88,1.0,0.2
free_form,2.0,89,1.0,0.2
free_form,2.0,90,1.0,0.0
free_form,2.0,91,1.0,0.0
free_form,2.0,92,1.0,0.0
parametric,2.0,25,1.0,0.15
parametric,2.0,26,1.0,0.15
parametric,2.0,27,1.0,0.15
parametric,2.0,28,1.0,0.15
parametric,2.0,29,1.0,0.15
parametric,2.0,30,1.0,0.15
parametric,2.0,31,1.0,0.15
parametric,2.0,32,1.0,0.15
parametric,2.0,33,1.0,0.15
parametric,2.0,34,1.0,0.15
parametric,2.0,35,1.0,0.15
parametric,2.0,36,1.0,0.15
parametric,2.0,37,1.0,0.15
parametric,2.0,38,1.0,0.15
parametric,2.0,39,1.0,0.15
parametric,2.0,40,1.0,0.15
parametric,2.0,41,1.0,0.15
parametric,2.0,42,1.0,0.15
parametric,2.0,43,1.0,0.15
parametric,2.0,44,1.0,0.15
parametric,2.0,45,1.0,0.15
parametric,2.0,46,1.0,0.15
parametric,2.0,47,1.0,0.15
parametric,2.0,48,1.0,0.15
parametric,2.0,49,1.0,0.15
parametric,2.0,50,1.0,0.15
parametric,2.0,51,1.0,0.15
parametric,2.0,52,1.0,0.15
parametric,2.0,53,1.0,0.15
parametric,2.0,54,1.0,0.15
parametric,2.0,55,1.0,0.15
parametric,2.0,56,1.0,0.15
parametric,2.0,57,1.0,0.15
parametric,2.0,58,1.0,0.15
parametric,2.0,59,1.0,0.15
parametric,2.0,60,1.0,0.15
parametric,2.0,61,1.0,0.15
parametric,2.0,62,1.0,0.15
parametric,2.0,63,1.0,0.15
parametric,2.0,64,1.0,0.15
parametric,2.0,65,1.0,0.15
parametric,2.0,66,1.0,0.15
parametric,2.0,67,1.0,0.15
parametric,2.0,68,1.0,0.15
parametric,2.0,69,1.0,0.15
parametric,2.0,70,1.0,0.15
parametric,2.0,71,1.0,0.15
parametric,2.0,72,1.0,0.15
parametric,2.0,73,1.0,0.15
parametric,2.0,74,1.0,0.15
parametric,2.0,75,1.0,0.15
parametric,2.0,76,1.0,0.15
parametric,2.0,77,1.0,0.15
parametric,2.0,78,1.0,0.15
parametric,2.0,79,1.0,0.15
parametric,2.0,80,1.0,0.15
parametric,2.0,81,1.0,0.15
parametric,2.0,82,1.0,0.15
parametric,2.0,83,1.0,0.15
parametric,2.0,84,1.0,0.15
parametric,2.0,85,1.0,0.15
parametric,2.0,86,1.0,0.15
parametric,2.0,87,1.0,0.15
parametric,2.0,88,1.0,0.15
parametric,2.0,89,1.0,0.15
parametric,2.0,90,1.0,0.15
parametric,2.0,91,1.0,0.15
parametric,2.0,92,1.0,0.15
free_form,5.0,25,1.0,0.0
free_form,5.0,26,1.0,0.0
free_form,5.0,27,1.0,0.0
free_form,5.0,28,1.0,0.0
free_form,5.0,29,1.0,0.0
free_form,5.0,30,1.0,0.0
free_form,5.0,31,1.0,0.0
free_form,5.0,32,1.0,0.0
free_form,5.0,33,1.0,0.0
free_form,5.0,34,1.0,0.0
free_form,5.0,35,1.0,0.0
free_form,5.0,36,1.0,0.0
free_form,5.0,37,1.0,0.0
free_form,5.0,38,1.0,0.0
free_form,5.0,39,1.0,0.0
free_form,5.0,40,1.0,0.0
free_form,5.0,41,1.0,0.0
free_form,5.0,42,1.0,0.0
free_form,5.0,43,1.0,0.0
free_form,5.0,44,1.0,0.0
free_form,5.0,45,1.0,0.0
free_form,5.0,46,1.0,0.0
free_form,5.0,47,1.0,0.0
free_form,5.0,48,1.0,0.0
free_form,5.0,49,1.0,0.0
free_form,5.0,50,1.0,0.2
free_form,5.0,51,1.0,0.2
free_form,5.0,52,1.0,0.2
free_form,5.0,53,1.0,0.2
free_form,5.0,54,1.0,0.2
free_form,5.0,55,1.0,0.2
free_form,5.0,56,1.0,0.2
free_form,5.0,57,1.0,0.2
free_form,5.0,58,1.0,0.2
free_form,5.0,59,1.0,0.2
free_form,5.0,60,1.0,0.2
free_form,5.0,61,1.0,0.2
free_form,5.0,62,1.0,0.2
free_form,5.0,63,0.7,0.2
free_form,5.0,64,0.8,0.2
free_form,5.0,65,0.8,0.2
free_form,5.0,66,0.9,0.2
free_form,5.0,67,0.9,0.2
free_form,5.0,68,0.9,0.2
free_form,5.0,69,1.0,0.2
free_form,5.0,70,0.9,0.2
free_form,5.0,71,1.0,0.2
free_form,5.0,72,0.9,0.2
free_form,5.0,73,1.0,0.2
free_form,5.0,74,1.0,0.2
free_form,5.0,75,1.0,0.2
free_form,5.0,76,1.0,0.2
free_form,5.0,77,1.0,0.2
free_form,5.0,78,1.0,0.2
free_form,5.0,79,1.0,0.2
free_form,5.0,80,1.0,0.2
free_form,5.0,81,1.0,0.2
free_form,5.0,82,1.0,0.2
free_form,5.0,83,1.0,0.2
free_form,5.0,84,1.0,0.2
free_form,5.0,85,1.0,0.2
free_form,5.0,86,0.8,0.2
free_form,5.0,87,1.0,0.2
free_form,5.0,88,1.0,0.2
free_form,5.0,89,1.0,0.2
free_form,5.0,90,0.8,0.2
free_form,5.0,91,0.8,0.2
free_form,5.0,92,0.8,0.2
parametric,5.0,25,1.0,0.15
parametric,5.0,26,1.0,0.15
parametric,5.0,27,1.0,0.15
parametric,5.0,28,1.0,0.15
parametric,5.0,29,1.0,0.15
parametric,5.0,30,1.0,0.15
parametric,5.0,31,1.0,0.15
parametric,5.0,32,1.0,0.15
parametric,5.0,33,1.0,0.15
parametric,5.0,34,1.0,0.15
parametric,5.0,35,1.0,0.15
parametric,5.0,36,1.0,0.15
parametric,5.0,37,1.0,0.15
parametric,5.0,38,1.0,0.15
parametric,5.0,39,1.0,0.15
parametric,5.0,40,1.0,0.15
parametric,5.0,41,1.0,0.15
parametric,5.0,42,1.0,0.15
parametric,5.0,43,1.0,0.15
parametric,5.0,44,1.0,0.15
parametric,5.0,45,1.0,0.15
parametric,5.0,46,1.0,0.15
parametric,5.0,47,1.0,0.15
parametric,5.0,48,1.0,0.15
parametric,5.0,49,1.0,0.15
parametric,5.0,50,1.0,0.15
parametric,5.0,51,1.0,0.15
parametric,5.0,52,1.0,0.15
parametric,5.0,53,1.0,0.15
parametric,5.0,54,1.0,0.15
parametric,5.0,55,1.0,0.15
parametric,5.0,56,0.9875,0.15
parametric,5.0,57,0.975,0.15
parametric,5.0,58,0.9625,0.15
parametric,5.0,59,0.95,0.15
parametric,5.0,60,0.9375,0.15
parametric,5.0,61,0.925,0.15
parametric,5.0,62,0.9125,0.15
parametric,5.0,63,0.9,0.15
parametric,5.0,64,0.9083333333333333,0.15
parametric,5.0,65,0.9166666666666667,0.15
parametric,5.0,66,0.925,0.15
parametric,5.0,67,0.9333333333333333,0.15
