hedge_ratio,hedge_cost,strategy,label,cec_gamma2,cec_gamma5,cec_gamma10,prob_ruin,median_bequest,p5_retirement_consumption,intl_mean,intl_geometric_mean,intl_sd,intl_p5,corr_intl_domestic_equity,corr_intl_inflation
0.0,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.4113070801889147,1.0485096914222272,0.7565850931219408,0.11702,45.28994725900327,0.7504533864070704,0.08333720548691888,0.06473065376432832,0.2168675895847343,-0.2033728912149709,0.42934318622829026,-0.041678181710683763
0.0,0.0,international_equity,100% International Equity,1.5244253035696629,1.1081449801916627,0.7795198307974675,0.09082,64.30721384634282,0.7931103919720536,0.08333720548691888,0.06473065376432832,0.2168675895847343,-0.2033728912149709,0.42934318622829026,-0.041678181710683763
0.25,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.4165491631010656,1.0470994180797952,0.7525291958588298,0.11706,47.40795795349491,0.7467233047752561,0.0823970184912073,0.066013307232957,0.19405806799085262,-0.19262777924830207,0.48727161875766467,-0.1105231679698201
0.25,0.0,international_equity,100% International Equity,1.5608890777139908,1.1386391817147263,0.7959141453525124,0.07224,71.5479332862629,0.8122375753346998,0.0823970184912073,0.066013307232957,0.19405806799085262,-0.19262777924830207,0.48727161875766467,-0.1105231679698201
0.25,0.001,balanced_all_equity,50/50 Domestic/International Equity,1.4141893844313158,1.045905415249883,0.75209678585006,0.1175,46.96103278047535,0.746036705410092,0.08212712437683128,0.06574634549786554,0.19402198788452255,-0.19284617200360182,0.4872347919487144,-0.11046811627282331
0.25,0.001,international_equity,100% International Equity,1.5552889609876364,1.135752330367257,0.7948672980059297,0.07342,70.31067064615874,0.8103736343141408,0.08212712437683128,0.06574634549786554,0.19402198788452255,-0.19284617200360182,0.4872347919487144,-0.11046811627282331
0.25,0.002,balanced_all_equity,50/50 Domestic/International Equity,1.411837254988894,1.0447107606903887,0.7516551303399616,0.11812,46.53669840250933,0.7452350899411558,0.08185723026245527,0.06547938303076607,0.19398591550922306,-0.1930645647589016,0.48719793202409817,-0.11041303969696366
0.25,0.002,international_equity,100% International Equity,1.549726637902454,1.1328809236513846,0.7937733185994144,0.0744,69.06664858925585,0.8084856753755079,0.08185723026245527,0.06547938303076607,0.19398591550922306,-0.1930645647589016,0.48719793202409817,-0.11041303969696366
0.25,0.003,balanced_all_equity,50/50 Domestic/International Equity,1.4094919197325986,1.043522369633846,0.7512166096981048,0.11876,46.108107118424414,0.7443413834322247,0.08158733614807925,0.06521241983108456,0.19394985086926775,-0.19328295751420138,0.48716103895891183,-0.11035793823249179
0.25,0.003,international_equity,100% International Equity,1.5441947567754946,1.1300260379268812,0.7927645156254776,0.07536,67.83122102617398,0.8064627035294223,0.08158733614807925,0.06521241983108456,0.19394985086926775,-0.19328295751420138,0.48716103895891183,-0.11035793823249179
0.25,0.005,balanced_all_equity,50/50 Domestic/International Equity,1.404820097003829,1.0411540763341933,0.7503209112263893,0.1197,45.21844474794419,0.7427302500035162,0.08104754791932722,0.06467849123167553,0.19387774481265568,-0.1937197430248009,0.4870871533071456,-0.11024766059872336
0.25,0.005,international_equity,100% International Equity,1.5332247410864293,1.1243118727645458,0.790608941556833,0.07736,65.45569222646114,0.8023547505498075,0.08104754791932722,0.06467849123167553,0.19387774481265568,-0.1937197430248009,0.4870871533071456,-0.11024766059872336
0.25,0.0075,balanced_all_equity,50/50 Domestic/International Equity,1.399022982731344,1.0381963562856629,0.749157942790176,0.12114,44.165448452807794,0.7409262744191912,0.08037281263338718,0.06401107635138761,0.19378765583012755,-0.1942657249130503,0.48699460938260986,-0.11010967338449054
0.25,0.0075,international_equity,100% International Equity,1.5196984914520657,1.1173172033596286,0.7880924221819903,0.08002,62.63533782680604,0.7970740753690491,0.08037281263338718,0.06401107635138761,0.19378765583012755,-0.1942657249130503,0.48699460938260986,-0.11010967338449054
0.25,0.01,balanced_all_equity,50/50 Domestic/International Equity,1.3932695701540396,1.03525855617472,0.7479946532267617,0.12218,43.169877389995904,0.7392563651217513,0.07969807734744713,0.06334365687264935,0.1936976153420435,-0.19481170680129972,0.4869018574719256,-0.10997153028154859
0.25,0.01,international_equity,100% International Equity,1.5063593624585445,1.110363629580485,0.7854871256953938,0.08266,59.90119844421117,0.7922920425152497,0.07969807734744713,0.06334365687264935,0.1936976153420435,-0.19481170680129972,0.4869018574719256,-0.10997153028154859
0.25,0.015,balanced_all_equity,50/50 Domestic/International Equity,1.381890052512387,1.0294353714073248,0.7456692401856608,0.12546,41.24076204061042,0.7357732622560483,0.07834860677556703,0.06200880408360364,0.1935176801199347,-0.19590367057779856,0.48671572812916797,-0.10969477580133695
0.25,0.015,international_equity,100% International Equity,1.4802409440327686,1.096660579874499,0.7805231413322239,0.08834,54.76369938242546,0.7822383154966496,0.07834860677556703,0.06200880408360364,0.1935176801199347,-0.19590367057779856,0.48671572812916797,-0.10969477580133695
0.25,0.02,balanced_all_equity,50/50 Domestic/International Equity,1.370682864698437,1.0237029600420664,0.7434512505198206,0.12874,39.3761510407446,0.7322199905892408,0.07699913620368694,0.06067393279183071,0.19333793968867738,-0.19699820723547035,0.48652876214790974,-0.10941739594264287
0.25,0.02,international_equity,100% International Equity,1.4548753209859007,1.0832168268150113,0.7755166400461068,0.09412,49.96765931449855,0.7730687958297049,0.07699913620368694,0.06067393279183071,0.19333793968867738,-0.19699820723547035,0.48652876214790974,-0.10941739594264287
0.5,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.4148758731559201,1.0378070027257411,0.7437597126730925,0.12004,48.892314929034534,0.7387889858662633,0.08145683149549575,0.06597260887903963,0.18484109261077525,-0.18403489612532242,0.5194048281568086,-0.1831691081502475
0.5,0.0,international_equity,100% International Equity,1.5683315288724644,1.136209176690568,0.7912531794009856,0.07352,75.2035421874235,0.8087780057945426,0.08145683149549575,0.06597260887903963,0.18484109261077525,-0.18403489612532242,0.5194048281568086,-0.1831691081502475
0.5,0.001,balanced_all_equity,50/50 Domestic/International Equity,1.4102324394463703,1.0355875794964002,0.7430145005355979,0.12102,48.01435168429623,0.7375178378050907,0.0809170432667437,0.06544032653824436,0.1847501730486069,-0.18446157433930702,0.5193927687070554,-0.18310045219526247
0.5,0.001,international_equity,100% International Equity,1.557167433905978,1.1306237781779773,0.7893249623281553,0.07532,72.54379930878514,0.8049018666321565,0.0809170432667437,0.06544032653824436,0.1847501730486069,-0.18446157433930702,0.5193927687070554,-0.18310045219526247
0.5,0.002,balanced_all_equity,50/50 Domestic/International Equity,1.4056199867974009,1.033381324428829,0.7422379303891102,0.12212,47.1711385084489,0.7356720653000508,0.08037725503799166,0.0649080428183792,0.18465926940534522,-0.18488825255329164,0.5193806526078164,-0.18303171285423966
0.5,0.002,international_equity,100% International Equity,1.5461244278103399,1.1250557525809104,0.7873828166954531,0.07732,70.0562688740795,0.8009631578940042,0.08037725503799166,0.0649080428183792,0.18465926940534522,-0.18488825255329164,0.5193806526078164,-0.18303171285423966
0.5,0.003,balanced_all_equity,50/50 Domestic/International Equity,1.401033561319122,1.0311613273170004,0.7413899433116415,0.12328,46.29336827587274,0.7339079804019635,0.07983746680923963,0.0643757577176023,0.18456838170451137,-0.1853149307672762,0.5193684797123348,-0.1829628899984408
0.5,0.003,international_equity,100% International Equity,1.5352149502049455,1.1195607563458307,0.7854242003650053,0.07928,67.53702160380116,0.7970005509589555,0.07983746680923963,0.0643757577176023,0.18456838170451137,-0.1853149307672762,0.5193684797123348,-0.1829628899984408
0.5,0.005,balanced_all_equity,50/50 Domestic/International Equity,1.391938006197742,1.0267509401570227,0.7397823027721796,0.12566,44.617117477247035,0.7305941967168544,0.07875789035173555,0.06331118336592785,0.1843866542244228,-0.18617772416913816,0.5193439629437587,-0.18282499322647522
0.5,0.005,international_equity,100% International Equity,1.5137671843909568,1.1086406925852457,0.7814462812894866,0.08344,62.82680058869337,0.7899015049946084,0.07875789035173555,0.06331118336592785,0.1843866542244228,-0.18617772416913816,0.5193439629437587,-0.18282499322647522
0.5,0.0075,balanced_all_equity,50/50 Domestic/International Equity,1.3807179375685936,1.021318483320516,0.7378177880560718,0.12874,42.593690214210675,0.727011093768806,0.07740841977985549,0.06198045762575696,0.18415958497108934,-0.18725710327805462,0.5193129948755253,-0.18265215018926592
0.5,0.0075,international_equity,100% International Equity,1.4876952723860661,1.095308019373748,0.7766039562121118,0.08888,57.409792710774596,0.7804320278695168,0.07740841977985549,0.06198045762575696,0.18415958497108934,-0.18725710327805462,0.5193129948755253,-0.18265215018926592
0.5,0.01,balanced_all_equity,50/50 Domestic/International Equity,1.3696615060323718,1.0159392746842855,0.7358287122055167,0.13188,40.650108919758715,0.7235737372169508,0.07605894920797537,0.06064972319115886,0.183932616171317,-0.18833648238697107,0.5192816667432512,-0.18247878073440943
0.5,0.01,international_equity,100% International Equity,1.4623631169253375,1.0823081811826967,0.7718043561622879,0.09398,52.44503293906054,0.7710657914082192,0.07605894920797537,0.06064972319115886,0.183932616171317,-0.18833648238697107,0.5192816667432512,-0.18247878073440943
0.5,0.015,balanced_all_equity,50/50 Domestic/International Equity,1.3480265263442825,1.0053082357381704,0.7319307676822294,0.13824,37.04431373158612,0.7161657027914552,0.07336000806421517,0.057988228121771256,0.18347898142345834,-0.19043748977129624,0.5192179209293556,-0.1821304544181382
0.5,0.015,international_equity,100% International Equity,1.413798287033723,1.05695157420459,0.7622001925979444,0.10656,43.67773520727326,0.7544895729196266,0.07336000806421517,0.057988228121771256,0.18347898142345834,-0.19043748977129624,0.5192179209293556,-0.1821304544181382
0.5,0.02,balanced_all_equity,50/50 Domestic/International Equity,1.3270348175415816,0.994955152132689,0.7281423818748333,0.14498,33.64723446490042,0.7092552036919342,0.070661066920455,0.0553266979224994,0.1830257529796587,-0.1925170528018279,0.5191527066386112,-0.18177999788438895
0.5,0.02,international_equity,100% International Equity,1.3679995963694134,1.0327173244221686,0.7528996602033414,0.11976,36.296400137778,0.7377212960563394,0.070661066920455,0.0553266979224994,0.1830257529796587,-0.1925170528018279,0.5191527066386112,-0.18177999788438895
0.75,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.4072721890153923,1.023012886568547,0.7329276207915318,0.12718,49.36408792282865,0.7273202700906439,0.08051664449978416,0.06452072424982455,0.19119267430500894,-0.18169113234858958,0.5097251938077629,-0.24198857979153307
0.75,0.0,international_equity,100% International Equity,1.5481395711558907,1.1022239422509723,0.7678674101441568,0.0878,74.52145036714063,0.7878146746137086,0.08051664449978416,0.06452072424982455,0.19119267430500894,-0.18169113234858958,0.5097251938077629,-0.24198857979153307
0.75,0.001,balanced_all_equity,50/50 Domestic/International Equity,1.4004886922054993,1.0199523947438636,0.7318720019794125,0.1289,48.026778598182766,0.7253152694256698,0.07970696215665611,0.06372404709482746,0.1910388321488014,-0.18232117421488486,0.5097473838272043,-0.24195309623538322
0.75,0.001,international_equity,100% International Equity,1.5321022107198152,1.0948527823357945,0.765285772892487,0.09072,70.5603945314029,0.7826803978367093,0.07970696215665611,0.06372404709482746,0.1910388321488014,-0.18232117421488486,0.5097473838272043,-0.24195309623538322
0.75,0.002,balanced_all_equity,50/50 Domestic/International Equity,1.3937730314766623,1.0169218309105892,0.7308613338057333,0.13058,46.689187516268646,0.7229124429858391,0.07889727981352805,0.0629273688603122,0.19088499809148465,-0.18295121608118012,0.5097695879858015,-0.2419175452197779
0.75,0.002,international_equity,100% International Equity,1.5163625049208167,1.0875817433990442,0.7628267880924253,0.09356,66.92703238343879,0.7771088402964687,0.07889727981352805,0.0629273688603122,0.19088499809148465,-0.18295121608118012,0.5097695879858015,-0.2419175452197779
0.75,0.003,balanced_all_equity,50/50 Domestic/International Equity,1.3871119820736852,1.0138900859646758,0.7298322753154128,0.13212,45.40898156912323,0.7207309159012594,0.07808759747039999,0.062130689544300614,0.19073117215265514,-0.1835812579474754,0.50979180626256,-0.24188192656116683
0.75,0.003,international_equity,100% International Equity,1.5008853335236187,1.0804154436472557,0.7603250713250902,0.0964,63.464245626168804,0.7720185563099172,0.07808759747039999,0.062130689544300614,0.19073117215265514,-0.1835812579474754,0.50979180626256,-0.24188192656116683
0.75,0.005,balanced_all_equity,50/50 Domestic/International Equity,1.373955515237835,1.007890600136569,0.7277733849278,0.13566,42.959203638311635,0.7164403928457468,0.07646823278414389,0.060537327659849906,0.19042354470915507,-0.1848413416800659,0.5098362850853458,-0.24181048557752077
0.75,0.005,international_equity,100% International Equity,1.4706958779483992,1.0662489793886405,0.7554228899389555,0.10272,57.13789036753708,0.7627771902019236,0.07646823278414389,0.060537327659849906,0.19042354470915507,-0.1848413416800659,0.5098362850853458,-0.24181048557752077
0.75,0.0075,balanced_all_equity,50/50 Domestic/International Equity,1.3577936903234338,1.0004833265207373,0.7252896362396255,0.13972,40.00386789322164,0.7108557123615686,0.0744440269263238,0.05854561918543073,0.19003905642276925,-0.186423477524765,0.5098919626448215,-0.24172080056149645
0.75,0.0075,international_equity,100% International Equity,1.4344008512986306,1.049022982811406,0.7494474210018147,0.11096,49.91872914815127,0.7506353024920427,0.0744440269263238,0.05854561918543073,0.19003905642276925,-0.186423477524765,0.5098919626448215,-0.24172080056149645
0.75,0.01,balanced_all_equity,50/50 Domestic/International Equity,1.341986323256039,0.9931438962737412,0.7227407000574753,0.14406,37.193098873259,0.7057838779191571,0.07241982106850361,0.05655390388306283,0.18965461955772434,-0.1880072621813434,0.5099477276925288,-0.24163068639340377
0.75,0.01,international_equity,100% International Equity,1.399625308225149,1.032180137961723,0.7434407517469832,0.12028,43.38939904759303,0.7392378089061166,0.07241982106850361,0.05655390388306283,0.18965461955772434,-0.1880072621813434,0.5099477276925288,-0.24163068639340377
0.75,0.015,balanced_all_equity,50/50 Domestic/International Equity,1.3113718311552813,0.9787457091597601,0.7176589176265535,0.154,32.26901953934404,0.6966623375198009,0.06837140935286334,0.05257045266825804,0.1888859013475012,-0.1911748314945,0.5100595188158594,-0.24144915880941356
0.75,0.015,international_equity,100% International Equity,1.334449497055856,1.0000518371671532,0.7315297700224062,0.1388,32.85623938470212,0.7162637883893672,0.06837140935286334,0.05257045266825804,0.1888859013475012,-0.1911748314945,0.5100595188158594,-0.24144915880941356
0.75,0.02,balanced_all_equity,50/50 Domestic/International Equity,1.2820584344600174,0.9647722257725954,0.7125885132715707,0.16368,27.91718914032459,0.686744228344767,0.06432299763722306,0.048586973760892244,0.18811739261540378,-0.19419190006204717,0.5101716554788219,-0.24126587898228663
0.75,0.02,international_equity,100% International Equity,1.2745330575869354,0.9698102817581695,0.7199351160442067,0.16002,24.59462517302888,0.6952330870729074,0.06432299763722306,0.048586973760892244,0.18811739261540378,-0.19419190006204717,0.5101716554788219,-0.24126587898228663
1.0,0.0,balanced_all_equity,50/50 Domestic/International Equity,1.394129021424101,1.0040576119673768,0.7209130694764905,0.13662,48.94465850864626,0.7110062937763234,0.0795764575040726,0.06091789131021695,0.21171622829488168,-0.18499513952586802,0.46715403340701256,-0.2771431828006641
1.0,0.0,international_equity,100% International Equity,1.5048341238655116,1.0471556728790206,0.7337974644875077,0.11154,71.48421125171822,0.7441728154633269,0.0795764575040726,0.06091789131021695,0.21171622829488168,-0.18499513952586802,0.46715403340701256,-0.2771431828006641
1.0,0.001,balanced_all_equity,50/50 Domestic/International Equity,1.3853923249700815,1.0003932997567346,0.7197724951098154,0.13894,47.161189742781275,0.7086641899561529,0.07849688104656852,0.05985697341890675,0.2115045120665868,-0.18581014438634208,0.467154033407013,-0.27714318280066386
1.0,0.001,international_equity,100% International Equity,1.485232973874066,1.0394753246323376,0.7315370635999354,0.11496,66.57377116664313,0.7388690073979763,0.07849688104656852,0.05985697341890675,0.2115045120665868,-0.18581014438634208,0.467154033407013,-0.27714318280066386
1.0,0.002,balanced_all_equity,50/50 Domestic/International Equity,1.3767516049659458,0.9967299272979796,0.7186144432453698,0.14104,45.47905714545752,0.7060616592634189,0.07741730458906444,0.05879605552759652,0.21129279583829194,-0.18662514924681628,0.4671540334070132,-0.27714318280066397
