iso,country,years_raw,years_desmoothed,autocorrelation,mean_raw,mean_desmoothed,sd_raw,sd_desmoothed,sd_ratio,equity_mean,equity_sd
AUS,Australia,120,120,-0.024694994549991717,0.06223500255690738,0.06223500255690738,0.11732124192770878,0.11732124192770878,1.0,0.07833393077686787,0.16224101782256856
BEL,Belgium,119,117,0.34110797574479035,0.0792617303953018,0.07759487311319957,0.15151661669053337,0.2173330883959512,1.4343845126890955,0.0546385711969187,0.22918559836125815
CHE,Switzerland,119,118,0.46580797995698203,0.05667929525851555,0.058109262083755976,0.06525431640555451,0.10792855395139514,1.6539680422153369,0.06592163403484239,0.18916665808672198
DEU,Germany,96,96,-0.15946323296289155,0.06561079707953811,0.06561079707953811,0.08451798257680153,0.08451798257680153,1.0,0.09405768749612964,0.3353435909490371
DNK,Denmark,130,129,0.42197742723024256,0.08045747031280882,0.08202555614837241,0.0775279773576559,0.12096818497496545,1.560316534725381,0.0757355696675226,0.17200005076679872
ESP,Spain,120,119,0.03249163900167374,0.052615191843749784,0.052572468808212994,0.11754823937064252,0.12194432146100086,1.0373981108853279,0.05567969506123124,0.2075258555191786
FIN,Finland,99,96,0.5086424653139913,0.09421271514721145,0.10418214593683783,0.15236456159249334,0.2573080712251351,1.6887658687544316,0.08906359231902697,0.2999545953316314
FRA,France,130,129,0.6261303488520209,0.0627914422938083,0.06352968834111088,0.10287467776847965,0.21532835651193177,2.09311330234764,0.027423260673432676,0.23094195066330378
GBR,United Kingdom,118,116,0.3415861451112149,0.0539310985651957,0.0511256907748666,0.0897081993341497,0.12741882971146457,1.4203699400636545,0.06554990126700924,0.1868496529697248
ITA,Italy,86,86,-0.012216126046791741,0.046981726654127844,0.046981726654127844,0.09339932629340106,0.09339932629340106,1.0,0.05120615746733638,0.26646115267590587
JPN,Japan,75,73,0.5907615773733665,0.0657099531885585,0.052603194494000825,0.08128988019031182,0.1562529547336004,1.9221698244331122,0.07937001281670274,0.25793101584978845
NLD,Netherlands,130,129,0.4629538436242727,0.07449879890868881,0.07442879417820873,0.08976667202125002,0.1487133127978669,1.656665101304666,0.07145153836953225,0.21178319810331311
NOR,Norway,130,129,0.16850259836264278,0.07833257757713638,0.07809530069311471,0.0863088061013706,0.10268741617138787,1.189767542964045,0.05665844084985662,0.2013461404314678
PRT,Portugal,73,72,0.33205112194330144,0.06649358009978383,0.06215911952651122,0.08518368218997467,0.11508758422207692,1.3510520003750397,0.03208147243152522,0.26036764808337765
SWE,Sweden,130,129,0.34883184306492493,0.08106839373311593,0.08243967146013718,0.08892310943382592,0.12751582640558695,1.4340009837429342,0.08133973406129927,0.20335901842218426
USA,United States,130,130,-0.16973791797794835,0.062219472757855,0.062219472757855,0.07902432773740176,0.07902432773740176,1.0,0.0838573670668938,0.18726972784188475
