bucket,bucket_index,n_paths,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,prob_ruin,median_retirement_consumption,p5_retirement_consumption,median_wealth_at_retirement
Low inflation,0,16223,balanced_all_equity,50/50 Domestic/International Equity,1.4021718034974087,1.0491197600876916,0.7575082087413039,0.1121247611415891,1.4785958328728896,0.7090444941539219,20.963529846120093
Low inflation,0,16223,domestic_equity,100% Domestic Equity,1.1845832161015493,0.884724617652319,0.6668074773852284,0.24206373667015965,1.2401297370104412,0.5840927992352596,15.912752043996038
Low inflation,0,16223,international_equity,100% International Equity,1.505461024556747,1.1001322931697277,0.7819517790719324,0.09751587252665968,1.601348953488403,0.7432059714489405,24.115074569999514
Low inflation,0,16223,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1042270043941635,0.8733400275261457,0.6705425475019778,0.22332490907970165,1.1463478841389347,0.5892366451686039,13.135050427359587
Low inflation,0,16223,target_date_fund,Target-Date Fund (glide path),1.2126285813417221,0.9464681302649293,0.7047767992469415,0.20316834124391298,1.2657404365520373,0.6361019682565076,16.135172131280818
Low inflation,0,16223,bills_only,100% Bills (cash),0.8402609475557954,0.7338553775310445,0.614801638597191,0.5733834679159219,0.8504007996149395,0.5184921064458383,6.171318307169058
Moderate,1,33621,balanced_all_equity,50/50 Domestic/International Equity,1.4060957210457974,1.0547647401751739,0.7684847460830417,0.11165640522292615,1.475615147746743,0.7129741259524023,21.051622099471615
Moderate,1,33621,domestic_equity,100% Domestic Equity,1.191529275626546,0.8943091773906611,0.6794908272544754,0.23979060706106303,1.2503779668032173,0.5889531242053604,16.156520906655587
Moderate,1,33621,international_equity,100% International Equity,1.5162404610607352,1.1126213726649354,0.7899784850602757,0.08637458731150174,1.6005389036270006,0.7574495597136188,24.131637919354635
Moderate,1,33621,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1129426042332249,0.882144348926878,0.6828889764101317,0.22825020076737754,1.1559563051229218,0.5944495900413354,13.429467944725983
Moderate,1,33621,target_date_fund,Target-Date Fund (glide path),1.2184702996782073,0.9526291794941717,0.7146985772531897,0.21192112072811636,1.2716893879245132,0.6388181692387525,16.286952837288077
Moderate,1,33621,bills_only,100% Bills (cash),0.8521693252171637,0.7446188831737713,0.6243560867555717,0.5473959727551233,0.8603405143864727,0.5241055627188869,6.466498055551464
High inflation,2,41573,balanced_all_equity,50/50 Domestic/International Equity,1.421897336170532,1.0502142844610574,0.7520394034451375,0.12233901811271738,1.5058499162558965,0.7055128019278065,21.832708688278885
High inflation,2,41573,domestic_equity,100% Domestic Equity,1.184641461361995,0.8769487758173663,0.6635617499775736,0.2651239987491882,1.245232403283922,0.5728535074453924,16.36874449426079
High inflation,2,41573,international_equity,100% International Equity,1.5466127262110647,1.1175308797832726,0.7807109094294699,0.08991412695740024,1.652072694700605,0.7607312208484194,25.377308059409362
High inflation,2,41573,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1065553339001712,0.8656220226649975,0.6661724019348616,0.25822047963822675,1.1501674780151927,0.5786519486145132,13.523272872193745
High inflation,2,41573,target_date_fund,Target-Date Fund (glide path),1.2207869723063438,0.9391682651824654,0.6981016579203746,0.23621100233324513,1.2876003730083734,0.6243294913516653,16.80207259553435
High inflation,2,41573,bills_only,100% Bills (cash),0.8459897762815547,0.7376231006362417,0.6169299623315994,0.5753012772713059,0.8546966534255404,0.5195115558237575,6.418080388475703
