bucket,bucket_index,n_paths,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,prob_ruin,median_retirement_consumption,p5_retirement_consumption,median_wealth_at_retirement
Low inflation,0,17333,balanced_all_equity,50/50 Domestic/International Equity,1.450538207326692,1.0819105584317958,0.7933627356008889,0.08890555587607454,1.5247527213379146,0.7275243320888675,22.040150127770854
Low inflation,0,17333,domestic_equity,100% Domestic Equity,1.222157855396089,0.9098697912231886,0.6902733188229022,0.21133098713436796,1.2771914851379478,0.6012196445778109,16.497285510554136
Low inflation,0,17333,international_equity,100% International Equity,1.5572910495439933,1.1274672227226605,0.8031349618053452,0.08284774707205908,1.6587844840676587,0.7609798621233003,25.463174795751783
Low inflation,0,17333,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1820913079339583,0.9260534356225986,0.7087030956682105,0.17065712802169272,1.2267157543629423,0.6248577027441262,14.935422091866501
Low inflation,0,17333,target_date_fund,Target-Date Fund (glide path),1.3008368305433313,1.0064899226142552,0.7463482939343277,0.15444527779380374,1.361591222225173,0.6784912498853627,18.247531973096553
Low inflation,0,17333,bills_only,100% Bills (cash),0.8720089976899373,0.7586325809360902,0.6321401938908441,0.5622223504298159,0.8803894562983186,0.5314486546202053,7.1100460851219545
Moderate,1,36693,balanced_all_equity,50/50 Domestic/International Equity,1.520680176091297,1.11440959730666,0.780849409877236,0.10846755511950508,1.6181785546299787,0.7550404234432022,24.59058591978097
Moderate,1,36693,domestic_equity,100% Domestic Equity,1.2801399199841788,0.9353337782621274,0.6892242872193552,0.2433979233096231,1.368719183835318,0.6085093207639746,19.02191617142373
Moderate,1,36693,international_equity,100% International Equity,1.6330225373194933,1.1750060469215136,0.8082362461695893,0.07851633826615431,1.7465069259169068,0.805539077791644,27.626871053772916
Moderate,1,36693,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1842952786700507,0.9235655406426523,0.6965502841526262,0.22374839887717005,1.2412574514512498,0.6188022846876955,15.487916995831682
Moderate,1,36693,target_date_fund,Target-Date Fund (glide path),1.3028995883323997,1.0017683162341444,0.730568407736001,0.20243643201700598,1.3771358536722702,0.6721571935643145,18.723204139425558
Moderate,1,36693,bills_only,100% Bills (cash),0.8675021400073496,0.7560896889092786,0.6295716890791978,0.5616875153298995,0.8766614464005698,0.5307280809699573,6.901829881016182
High inflation,2,41953,balanced_all_equity,50/50 Domestic/International Equity,1.3027292642469044,0.9889790706686443,0.7274156005777712,0.14244511715491145,1.3596141649847864,0.6663860793753369,18.339363823550208
High inflation,2,41953,domestic_equity,100% Domestic Equity,1.0926019487744916,0.8342014631965712,0.6454114492087225,0.28677329392415324,1.1281263319176125,0.5530943026528611,13.531580720025012
High inflation,2,41953,international_equity,100% International Equity,1.4197543315076027,1.0524440087653442,0.7551151946031545,0.10723905322622936,1.4907106045881249,0.7146543652386304,21.474712223172272
High inflation,2,41953,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0162913713874104,0.8171235947920186,0.644625513364174,0.29201725740709844,1.0408437708800025,0.5527134460444625,11.0161331366557
High inflation,2,41953,target_date_fund,Target-Date Fund (glide path),1.1148317129959155,0.8824402626410341,0.6748087265833538,0.27244773913665293,1.1555005469111612,0.5902122142678868,13.801772849688824
High inflation,2,41953,bills_only,100% Bills (cash),0.8175429326108747,0.7164978632819293,0.6043733863314283,0.5844635663718923,0.8253831691594657,0.5072946708067085,5.631003594080268
