system,rule,cec,prob_ruin,mean_consumption,p5_consumption,median_wealth
us,fixed_real_rule,1.0421778873705199,0.11716,1.729325895179758,0.7082201746530576,21.16206811643291
us,replace_50,0.6008134151072105,0.02469,0.8522723773925988,0.4383022722141412,21.16206811643291
us,replace_75,0.6705683495356864,0.11731,1.1357800810405656,0.4537107387804046,21.16206811643291
us,replace_100,0.7521478700216252,0.24759,1.3729376902559296,0.49993968757363993,21.16206811643291
au_pension_only,fixed_real_rule,0.41914572879632667,0.11716,1.1287723379808312,0.3405622119115704,21.16206811643291
au_pension_only,replace_50,0.33894929978640714,0.1034,0.7550450005435569,0.25526221907270263,21.16206811643291
au_pension_only,replace_75,0.4877312456481711,0.26076,1.0136765475297376,0.3789190556755727,21.16206811643291
au_pension_only,replace_100,0.5736908246987487,0.41025,1.189936522898115,0.4492869049050311,21.16206811643291
au_as_legislated,fixed_real_rule,0.7185189694793634,0.11716,2.5201107358971084,0.45212169317535006,49.32771241554566
au_as_legislated,replace_50,0.33265713640669753,0.01931,0.7965058343568331,0.25002429604074894,49.32771241554566
au_as_legislated,replace_75,0.4950306548847099,0.06753,1.1617360120244726,0.3743381988622678,49.32771241554566
au_as_legislated,replace_100,0.63523351543303,0.13362,1.4852102746462488,0.4492869049050311,49.32771241554566
