retire_age,reference_age,years_earlier,is_earlier,break_even_leisure,break_even_pct,implied_consumption_drop,reached_on_grid,system
50,60,10,True,1.811574737044776,81.1574737044776,0.4479940686127577,True,us
52,60,8,True,1.6042334504635885,60.42334504635885,0.37664932762060166,True,us
55,60,5,True,1.313078168305207,31.307816830520707,0.23843071635963442,True,us
58,60,2,True,1.097181058210174,9.718105821017398,0.08857340133879543,True,us
62,60,-2,False,inf,inf,,False,us
63,60,-3,False,inf,inf,,False,us
65,60,-5,False,inf,inf,,False,us
67,60,-7,False,inf,inf,,False,us
70,60,-10,False,inf,inf,,False,us
50,67,17,True,inf,inf,,False,au_pension_only
52,67,15,True,inf,inf,,False,au_pension_only
55,67,12,True,1.885514775399003,88.55147753990029,0.46964085720920157,True,au_pension_only
58,67,9,True,1.6057150516326404,60.571505163264035,0.3772244963493171,True,au_pension_only
60,67,7,True,1.4511034536415206,45.11034536415206,0.3108692578116907,True,au_pension_only
62,67,5,True,1.3156129330872095,31.56129330872095,0.2398980164679546,True,au_pension_only
63,67,4,True,1.2696492530199626,26.964925301996256,0.21238090155889922,True,au_pension_only
65,67,2,True,1.160075922049918,16.007592204991795,0.13798745324103878,True,au_pension_only
70,67,-3,False,inf,inf,,False,au_pension_only
50,62,12,True,1.8687528649453866,86.87528649453866,0.4648837635204244,True,au_as_legislated
52,62,10,True,1.6712492397389755,67.12492397389755,0.4016452027489418,True,au_as_legislated
55,62,7,True,1.404935110542969,40.4935110542969,0.28822335459071324,True,au_as_legislated
58,62,4,True,1.2175286962986727,21.752869629867266,0.17866412262804732,True,au_as_legislated
60,62,2,True,1.1373886460846827,13.73886460846827,0.12079305218812042,True,au_as_legislated
63,62,-1,False,inf,inf,,False,au_as_legislated
65,62,-3,False,inf,inf,,False,au_as_legislated
67,62,-5,False,inf,inf,,False,au_as_legislated
70,62,-8,False,inf,inf,,False,au_as_legislated
