spread,age,leverage,solved_cec,phase
0.0,25,3.0,1.2263174727356059,working
0.0,26,3.0,1.2263174727356059,working
0.0,27,3.0,1.2263174727356059,working
0.0,28,3.0,1.2263174727356059,working
0.0,29,3.0,1.2263174727356059,working
0.0,30,3.0,1.2263174727356059,working
0.0,31,3.0,1.2263174727356059,working
0.0,32,2.0,1.2263174727356059,working
0.0,33,2.0,1.2263174727356059,working
0.0,34,2.0,1.2263174727356059,working
0.0,35,2.0,1.2263174727356059,working
0.0,36,2.0,1.2263174727356059,working
0.0,37,1.5,1.2263174727356059,working
0.0,38,2.0,1.2263174727356059,working
0.0,39,1.5,1.2263174727356059,working
0.0,40,1.5,1.2263174727356059,working
0.0,41,1.5,1.2263174727356059,working
0.0,42,1.5,1.2263174727356059,working
0.0,43,1.5,1.2263174727356059,working
0.0,44,1.5,1.2263174727356059,working
0.0,45,1.5,1.2263174727356059,working
0.0,46,1.5,1.2263174727356059,working
0.0,47,1.5,1.2263174727356059,working
0.0,48,1.5,1.2263174727356059,working
0.0,49,1.5,1.2263174727356059,working
0.0,50,1.5,1.2263174727356059,working
0.0,51,1.5,1.2263174727356059,working
0.0,52,1.5,1.2263174727356059,working
0.0,53,1.5,1.2263174727356059,working
0.0,54,1.5,1.2263174727356059,working
0.0,55,1.5,1.2263174727356059,working
0.0,56,1.5,1.2263174727356059,working
0.0,57,1.5,1.2263174727356059,working
0.0,58,1.5,1.2263174727356059,working
0.0,59,1.25,1.2263174727356059,working
0.0,60,1.25,1.2263174727356059,working
0.0,61,1.25,1.2263174727356059,working
0.0,62,1.25,1.2263174727356059,working
0.0,63,1.0,1.2263174727356059,retired
0.0,64,1.0,1.2263174727356059,retired
0.0,65,1.0,1.2263174727356059,retired
0.0,66,1.0,1.2263174727356059,retired
0.0,67,1.0,1.2263174727356059,retired
0.0,68,1.25,1.2263174727356059,retired
0.0,69,1.25,1.2263174727356059,retired
0.0,70,1.0,1.2263174727356059,retired
0.0,71,1.0,1.2263174727356059,retired
0.0,72,1.0,1.2263174727356059,retired
0.0,73,1.0,1.2263174727356059,retired
0.0,74,1.25,1.2263174727356059,retired
0.0,75,1.25,1.2263174727356059,retired
0.0,76,1.0,1.2263174727356059,retired
0.0,77,1.0,1.2263174727356059,retired
0.0,78,1.25,1.2263174727356059,retired
0.0,79,1.25,1.2263174727356059,retired
0.0,80,1.0,1.2263174727356059,retired
0.0,81,1.25,1.2263174727356059,retired
