spread,leverage,cec,wipeout_share_of_years,dom_eq,intl_eq,bond,bill,equity,vs_unlevered_pct
0.0,1.0,1.1064309037584612,0.0,0.25,0.75,0.0,0.0,1.0,0.0
0.0,1.1,1.1332237774947191,0.0,0.25,0.75,0.0,0.0,1.0,2.4215586933846955
0.0,1.25,1.156880955214723,0.0,0.25,0.75,0.0,0.0,1.0,4.559710984652265
0.0,1.5,1.1517654503703478,0.0,0.0,0.75,0.25,0.0,0.75,4.097368074037755
0.0,1.75,1.162856066645517,0.0,0.0,0.75,0.25,0.0,0.75,5.099745740595618
0.0,2.0,1.139520258969259,0.0,0.0,0.75,0.25,0.0,0.75,2.990639098961889
0.0,2.5,1.1591461912068002,0.0,0.0,0.5,0.25,0.25,0.5,4.7644446001344765
0.0,3.0,1.133904927216057,0.0,0.0,0.5,0.25,0.25,0.5,2.483121482260553
0.005,1.0,1.1064309037584612,0.0,0.25,0.75,0.0,0.0,1.0,0.0
0.005,1.1,1.1275197442198528,0.0,0.25,0.75,0.0,0.0,1.0,1.9060241710308734
0.005,1.25,1.142585840939147,0.0,0.25,0.75,0.0,0.0,1.0,3.267708544462211
0.005,1.5,1.1245763318555262,0.0,0.0,0.75,0.25,0.0,0.75,1.6399965000458927
0.005,1.75,1.1232678397046243,0.0,0.0,0.75,0.25,0.0,0.75,1.521734063010105
0.005,2.0,1.093455512087262,0.0,0.0,0.75,0.25,0.0,0.75,-1.1727249869036394
0.005,2.5,1.082803963496196,0.0,0.0,0.5,0.25,0.25,0.5,-2.1354194086595335
0.005,3.0,1.047521429987247,0.0,0.0,0.5,0.25,0.25,0.5,-5.324279498259054
0.01,1.0,1.1064309037584612,0.0,0.25,0.75,0.0,0.0,1.0,0.0
0.01,1.1,1.1218577837650137,0.0,0.25,0.75,0.0,0.0,1.0,1.3942922196179097
0.01,1.25,1.1285469010686848,0.0,0.25,0.75,0.0,0.0,1.0,1.9988593264249177
0.01,1.5,1.0986920985435662,0.0,0.25,0.75,0.0,0.0,1.0,-0.6994386354002624
0.01,1.75,1.086235065586744,0.0,0.0,0.75,0.25,0.0,0.75,-1.8253139986521894
0.01,2.0,1.0508854626069661,0.0,0.0,0.75,0.25,0.0,0.75,-5.020235873999135
0.01,2.5,1.0156284136997364,0.0,0.0,0.5,0.25,0.25,0.5,-8.20679264744646
