rule_label,cec_fixed,cec_mortality,rank_fixed,rank_mortality,rank_change
amortisation (4% assumed return),1.3856262849356935,1.4181181961320655,2,1,1
gompertz,1.3918372764931188,1.3942555719881968,1,2,-1
amortisation (2% assumed return),1.35589286315555,1.363441005972522,3,3,0
gompertz (+5y buffer),1.319893341285648,1.3039695021064437,4,4,0
life_expectancy,1.2927091186353428,1.281603583410585,5,5,0
amortisation (0% assumed return),1.2927091186353428,1.281603583410585,5,5,0
endowment,1.2703069630160295,1.2770221850319048,8,7,1
endowment (light smoothing),1.2716623962824742,1.2752117481534304,7,8,-1
constant_percent,1.2692458916936264,1.2722560469302195,9,9,0
guyton_klinger (no inflation rule),1.2612736678003493,1.2660370070040639,10,10,0
vanguard_dynamic,1.2290618227572156,1.2561878152180543,13,11,2
guyton_klinger (tight band),1.2319378846645628,1.2339930327055701,12,12,0
vanguard_dynamic (asymmetric),1.2046482667228249,1.2216565460827793,15,13,2
guyton_klinger,1.2156925076899698,1.2187821796583225,14,14,0
life_expectancy (+5y buffer),1.245690916611351,1.215004005648104,11,15,-4
constant_real,1.12039648577708,1.1698077681830752,16,16,0
