age,phase,lvr,leverage_multiple,housing_equity_weight,gross_housing_exposure
25,working,0.8,5.000000000000001,0.2,1.0000000000000002
26,working,0.8,5.000000000000001,0.2,1.0000000000000002
27,working,0.8,5.000000000000001,0.2,1.0000000000000002
28,working,0.8,5.000000000000001,0.2,1.0000000000000002
29,working,0.8,5.000000000000001,0.2,1.0000000000000002
30,working,0.8,5.000000000000001,0.2,1.0000000000000002
31,working,0.0,1.0,0.2,0.2
32,working,0.8,5.000000000000001,0.2,1.0000000000000002
33,working,0.8,5.000000000000001,0.2,1.0000000000000002
34,working,0.8,5.000000000000001,0.2,1.0000000000000002
35,working,0.4,1.6666666666666667,0.2,0.33333333333333337
36,working,0.6,2.5,0.2,0.5
37,working,0.8,5.000000000000001,0.2,1.0000000000000002
38,working,0.8,5.000000000000001,0.2,1.0000000000000002
39,working,0.6,2.5,0.2,0.5
40,working,0.8,5.000000000000001,0.2,1.0000000000000002
41,working,0.8,5.000000000000001,0.2,1.0000000000000002
42,working,0.8,5.000000000000001,0.2,1.0000000000000002
43,working,0.8,5.000000000000001,0.2,1.0000000000000002
44,working,0.2,1.25,0.2,0.25
45,working,0.6,2.5,0.2,0.5
46,working,0.8,5.000000000000001,0.2,1.0000000000000002
47,working,0.6,2.5,0.2,0.5
48,working,0.8,5.000000000000001,0.2,1.0000000000000002
49,working,0.4,1.6666666666666667,0.2,0.33333333333333337
50,working,0.0,1.0,0.2,0.2
51,working,0.0,1.0,0.2,0.2
52,working,0.8,5.000000000000001,0.2,1.0000000000000002
53,working,0.4,1.6666666666666667,0.2,0.33333333333333337
54,working,0.6,2.5,0.2,0.5
55,working,0.4,1.6666666666666667,0.2,0.33333333333333337
56,working,0.8,5.000000000000001,0.2,1.0000000000000002
57,working,0.8,5.000000000000001,0.2,1.0000000000000002
58,working,0.4,1.6666666666666667,0.2,0.33333333333333337
59,working,0.8,5.000000000000001,0.2,1.0000000000000002
60,working,0.8,5.000000000000001,0.2,1.0000000000000002
61,working,0.6,2.5,0.2,0.5
62,working,0.8,5.000000000000001,0.2,1.0000000000000002
63,retired,0.0,1.0,0.2,0.2
64,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
65,retired,0.0,1.0,0.2,0.2
66,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
67,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
68,retired,0.2,1.25,0.2,0.25
69,retired,0.0,1.0,0.2,0.2
70,retired,0.6,2.5,0.2,0.5
71,retired,0.8,5.000000000000001,0.2,1.0000000000000002
72,retired,0.6,2.5,0.2,0.5
73,retired,0.2,1.25,0.2,0.25
74,retired,0.6,2.5,0.2,0.5
75,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
76,retired,0.0,1.0,0.2,0.2
77,retired,0.8,5.000000000000001,0.2,1.0000000000000002
78,retired,0.6,2.5,0.2,0.5
79,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
80,retired,0.0,1.0,0.2,0.2
81,retired,0.8,5.000000000000001,0.2,1.0000000000000002
82,retired,0.6,2.5,0.2,0.5
83,retired,0.6,2.5,0.2,0.5
84,retired,0.6,2.5,0.2,0.5
85,retired,0.0,1.0,0.2,0.2
86,retired,0.4,1.6666666666666667,0.2,0.33333333333333337
87,retired,0.0,1.0,0.2,0.2
88,retired,0.0,1.0,0.2,0.2
89,retired,0.8,5.000000000000001,0.2,1.0000000000000002
90,retired,0.8,5.000000000000001,0.2,1.0000000000000002
91,retired,0.8,5.000000000000001,0.2,1.0000000000000002
92,retired,0.0,1.0,0.2,0.2
