dropped,sleeve_channel_pct,domestic_channel_pct,implied_shift_pct,measured_shift_pct,channel
DEU,-5.191610346293929,-0.9139587262495192,-2.138825810022205,-2.333986574250302,sleeve
DNK,-1.8315419107840403,-0.7541653073525834,-0.5386883017157285,-0.5773607077800724,sleeve
PRT,2.5623025862822058,3.3556617498362584,-0.39667958177702634,-0.40759972572206316,domestic
AUS,-1.6978835966000805,-1.1409899557949021,-0.27844682040258917,-0.2988197134221382,sleeve
SWE,-0.5358342297347329,-0.13740048908739144,-0.19921687032367075,-0.2114700007128878,sleeve
FRA,2.999855238170279,3.3604090370091155,-0.18027689941941816,-0.18484268879046528,domestic
FIN,-0.20859294158264152,-0.06341692481390826,-0.07258800838436663,-0.07689785428337537,sleeve
ESP,0.5664791799276037,0.6886723866592392,-0.06109660336581779,-0.06423301879594501,domestic
GBR,-0.512760850482985,-0.5162035619105887,0.001721355713801831,0.0018304970687887945,domestic
NOR,0.7388254577768816,0.5953879106259663,0.07171877357545764,0.07537087284950061,sleeve
CHE,-0.09953144403928027,-0.5317826562105332,0.21612560608562648,0.22937049431102086,domestic
NLD,0.11964927826253469,-0.3569831516869515,0.2383162149747431,0.25242219538950117,domestic
USA,-0.74339252542035,-1.468450011048117,0.3625287428138835,0.3878202061705416,domestic
JPN,-1.5801813817304278,-2.4606487081948347,0.4402336632322035,0.4753417164950813,domestic
BEL,1.5064764749666004,0.4104064137782526,0.5480350305941739,0.5742803536056718,sleeve
ITA,3.295141084340014,0.46864832115607324,1.4132463815919705,1.4675035016583848,sleeve
