iso,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
AUS,0,10,10,10,10,7,10,10,10,10,10,10,10,1
BEL,10,10,4,10,10,10,10,10,10,10,10,10,10,1
CHE,0,10,9,10,10,10,10,10,10,10,10,10,10,1
DEU,10,10,10,9,10,4,10,10,10,10,10,10,10,1
DNK,10,10,9,10,10,10,10,10,10,10,10,10,10,1
ESP,0,10,10,10,6,9,10,10,10,10,10,10,9,1
FIN,4,10,10,10,10,10,10,10,10,10,10,10,10,1
FRA,10,10,5,8,10,10,10,10,10,10,10,10,10,1
GBR,10,10,10,10,10,10,10,10,10,10,10,10,10,1
ITA,10,10,5,8,10,10,10,10,10,10,10,10,10,1
JPN,10,10,10,10,10,8,10,10,10,10,10,10,10,1
NLD,0,10,10,10,10,10,10,10,10,10,10,10,10,1
NOR,10,10,10,10,10,10,10,10,10,10,10,10,10,1
PRT,10,10,10,10,10,10,10,10,10,10,10,10,10,1
SWE,10,10,10,10,10,10,10,10,10,10,10,10,10,1
USA,10,10,10,10,10,10,10,10,10,10,10,10,10,1
