iso,AUS,BEL,CHE,DEU,DNK,ESP,FIN,FRA,GBR,ITA,JPN,NLD,NOR,PRT,SWE,USA
AUS,1.0,0.4301958982402191,0.5601202547412375,0.34665769007062697,0.2153540779714341,0.27411624790547084,0.32172388141625324,0.4524351545646547,0.6150247873840328,0.39239725799280295,0.09013277713844624,0.49172754609294383,0.4143086426722478,0.30396931241545766,0.4870095695631573,0.4097097417258918
BEL,0.4301958982402191,1.0,0.5280248450992879,0.5255356025780364,0.20492544614498853,0.4655097639645732,0.39480365374779375,0.49777088758510835,0.4243192564190357,0.2918218263566686,0.05418199874739143,0.5078220748040873,0.36597371859497957,0.26500876073366303,0.4515140072043484,0.48944182505105754
CHE,0.5601202547412375,0.5280248450992879,1.0,0.5225792526726999,0.3211094923869635,0.3307928597762499,0.38800087485122386,0.5328237155891838,0.6613834926395453,0.45303235156329147,0.12519405113192733,0.5364817724231137,0.4796110604663886,0.28325174266379555,0.5917260706508581,0.5757034483661255
DEU,0.34665769007062697,0.5255356025780364,0.5225792526726999,1.0,0.1854760917169139,0.275938062700101,0.2926352639585149,0.4738913732434464,0.3911456775441246,0.22472823171662495,0.2205878228717498,0.39020013604390935,0.29020577248848195,0.1753882044454359,0.397083951347995,0.31364548972396783
DNK,0.2153540779714341,0.20492544614498853,0.3211094923869635,0.1854760917169139,1.0,0.24912001691731037,0.38524738234188677,0.3362132920144441,0.241385741908111,0.30272847807344455,0.31134246672168797,0.3611108354810984,0.6244029182272498,0.18108342056482107,0.5835124092800579,0.2653334948841681
ESP,0.27411624790547084,0.4655097639645732,0.3307928597762499,0.275938062700101,0.24912001691731037,1.0,0.4421697869768255,0.42342170707989685,0.18191853130663024,0.34944518043482775,0.21776307623531027,0.23871296084095922,0.3971797510623971,0.5561325306011254,0.4145764887577838,0.3124118252219525
FIN,0.32172388141625324,0.39480365374779375,0.38800087485122386,0.2926352639585149,0.38524738234188677,0.4421697869768255,1.0,0.40887237902852275,0.2684182197746411,0.24151851129825505,0.2445275900585907,0.3593718214245893,0.46049190821224695,0.37389553759390987,0.6249214844803337,0.32339768831514154
FRA,0.4524351545646547,0.49777088758510835,0.5328237155891838,0.4738913732434464,0.3362132920144441,0.42342170707989685,0.40887237902852275,1.0,0.4960628747129485,0.4837390733916881,0.16752361387380005,0.5312687252785008,0.5040319765202526,0.330225881536056,0.5584322406854068,0.3882800863417257
GBR,0.6150247873840328,0.4243192564190357,0.6613834926395453,0.3911456775441246,0.241385741908111,0.18191853130663024,0.2684182197746411,0.4960628747129485,1.0,0.35533051454571013,0.0862042427816763,0.45638972464982214,0.2855956060900696,0.18618266708129824,0.5354144231647786,0.5400233194904553
ITA,0.39239725799280295,0.2918218263566686,0.45303235156329147,0.22472823171662495,0.30272847807344455,0.34944518043482775,0.24151851129825505,0.4837390733916881,0.35533051454571013,1.0,0.3133237795199201,0.33035722587816724,0.38539718668572676,0.413210813386326,0.43167398247392647,0.30580937177544837
JPN,0.09013277713844624,0.05418199874739143,0.12519405113192733,0.2205878228717498,0.31134246672168797,0.21776307623531027,0.2445275900585907,0.16752361387380005,0.0862042427816763,0.3133237795199201,1.0,0.15262729120425417,0.20929985993328826,0.22260850187875417,0.16594993868692542,0.040153785268292226
NLD,0.49172754609294383,0.5078220748040873,0.5364817724231137,0.39020013604390935,0.3611108354810984,0.23871296084095922,0.3593718214245893,0.5312687252785008,0.45638972464982214,0.33035722587816724,0.15262729120425417,1.0,0.5121029169310457,0.2128364551693294,0.5768960374451954,0.4220284359249557
NOR,0.4143086426722478,0.36597371859497957,0.4796110604663886,0.29020577248848195,0.6244029182272498,0.3971797510623971,0.46049190821224695,0.5040319765202526,0.2855956060900696,0.38539718668572676,0.20929985993328826,0.5121029169310457,1.0,0.3631164800131237,0.5794597631847591,0.34053315172589654
PRT,0.30396931241545766,0.26500876073366303,0.28325174266379555,0.1753882044454359,0.18108342056482107,0.5561325306011254,0.37389553759390987,0.330225881536056,0.18618266708129824,0.413210813386326,0.22260850187875417,0.2128364551693294,0.3631164800131237,1.0,0.3032051068240884,0.2778074033918263
SWE,0.4870095695631573,0.4515140072043484,0.5917260706508581,0.397083951347995,0.5835124092800579,0.4145764887577838,0.6249214844803337,0.5584322406854068,0.5354144231647786,0.43167398247392647,0.16594993868692542,0.5768960374451954,0.5794597631847591,0.3032051068240884,1.0,0.5028346155354755
USA,0.4097097417258918,0.48944182505105754,0.5757034483661255,0.31364548972396783,0.2653334948841681,0.3124118252219525,0.32339768831514154,0.3882800863417257,0.5400233194904553,0.30580937177544837,0.040153785268292226,0.4220284359249557,0.34053315172589654,0.2778074033918263,0.5028346155354755,1.0
