dropped,n_markets,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
AUS,15,balanced_all_equity,50/50 Domestic/International Equity,1.0328990697530631,1.2295730223651593,0.12725,20.67645346665075,40.84804496976956,0.7393835309224204
AUS,15,domestic_equity,100% Domestic Equity,0.8721776185720889,0.9820967284355704,0.2662,15.56520626123179,14.376407290191004,0.6199970846925499
AUS,15,international_equity,100% International Equity,1.0896517891729087,1.3312364263566572,0.10236,23.966836261836853,60.35992962514699,0.7811749644424216
AUS,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8626063438970417,0.95310962786209,0.25327,13.064954166873878,9.312252544471434,0.6157510509383558
AUS,15,target_date_fund,Target-Date Fund (glide path),0.9324572159478476,1.0408518245335707,0.23207,16.01428253084758,8.690814508029426,0.6730453291428499
AUS,15,bills_only,100% Bills (cash),0.7351129676464647,0.7622708192418084,0.5754,6.313474833895502,0.0,0.5375083227943239
BEL,15,balanced_all_equity,50/50 Domestic/International Equity,1.05781380062589,1.2653742624686393,0.11107,21.6289621085943,47.886837906890214,0.7568031887215254
BEL,15,domestic_equity,100% Domestic Equity,0.8817498472712829,0.9945026794282393,0.25144,16.28345041459005,17.599878130427285,0.6246907860441178
BEL,15,international_equity,100% International Equity,1.1251712348663088,1.3851092834402732,0.08226,25.033991222589755,69.94674127561885,0.8057742714493885
BEL,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8689269962722816,0.9614609863992426,0.24245,13.443658229237808,10.651899971379335,0.6192397797537434
BEL,15,target_date_fund,Target-Date Fund (glide path),0.9450271914675697,1.0568390413241193,0.2209,16.585184414324594,9.803132024361407,0.6819035660969089
BEL,15,bills_only,100% Bills (cash),0.7389325932156726,0.7663045579832063,0.56431,6.399934290445313,0.0,0.5395991462533233
CHE,15,balanced_all_equity,50/50 Domestic/International Equity,1.0444641594116033,1.2443932343109385,0.1188,21.082404596874373,44.13442814454258,0.7476276526013799
CHE,15,domestic_equity,100% Domestic Equity,0.8755431247406191,0.9858002491966519,0.26136,15.875301968606774,15.70498702257656,0.6210534019462991
CHE,15,international_equity,100% International Equity,1.1073690809921315,1.3560627707304704,0.09016,24.36623486197452,64.18188872512664,0.7939036365474907
CHE,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8642974190090591,0.955482971468901,0.25228,13.235491959233341,9.791906362338505,0.616432646990419
CHE,15,target_date_fund,Target-Date Fund (glide path),0.9366321411292325,1.0466502075751098,0.23007,16.285237197565518,9.145199249724127,0.6759757383260183
CHE,15,bills_only,100% Bills (cash),0.7378586076463843,0.7654587265156587,0.55468,6.412701672109266,0.0,0.5391286664865464
DEU,15,balanced_all_equity,50/50 Domestic/International Equity,1.0157853170335354,1.1947801681095538,0.13138,19.328996971701642,34.954938668344866,0.7270698616782041
DEU,15,domestic_equity,100% Domestic Equity,0.877684738853289,0.9879694031513347,0.25753,15.885289972229595,16.064995064796527,0.6224422912595852
DEU,15,international_equity,100% International Equity,1.0509247938347546,1.258425414685893,0.11341,20.83958234012045,42.70338279788796,0.754610843960061
DEU,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8660059558894113,0.9568793029774072,0.24839,13.130437106147582,9.735209990665528,0.6181662028610817
DEU,15,target_date_fund,Target-Date Fund (glide path),0.9246732006896121,1.026753415650161,0.24013,15.352441549171488,7.761268736161766,0.6677912125411856
