iso,own_arithmetic,own_geometric,own_sd,volatility_drag,sleeve_geometric_delta,sleeve_sd_delta,arithmetic_rank,geometric_rank,drag_rank
AUS,0.07764665213465118,0.06367602014241834,0.168179430314028,0.013970631992232835,-0.12677926865472255,0.5276503461460164,6.0,2.0,15.0
BEL,0.059060492376497416,0.037714700195499946,0.20746240991201623,0.02134579218099747,0.1218940589013437,0.6674243099896782,13.0,12.0,7.0
CHE,0.06767910522446706,0.05095479114193424,0.18896522616964295,0.016724314082532818,0.031966298848983,0.5021014839618976,9.0,6.0,13.0
DEU,0.08723514888375632,0.04596813766836436,0.28882545856504627,0.041267011215391954,-0.6314355391715022,-1.1052493735157904,2.0,9.0,1.0
DNK,0.07463708929502662,0.060798846082358485,0.17220352266897207,0.013838243212668133,-0.06224688646699478,1.256868759315427,7.0,4.0,16.0
ESP,0.061763404020529517,0.04164133916778432,0.2109661313451387,0.020122064852745196,0.038577491872800185,0.9069451599982986,11.0,11.0,9.0
FIN,0.08906359231902697,0.04976412153741396,0.2999545953316314,0.039299470781613006,-0.08308613304904566,0.10994589064997617,1.0,7.0,2.0
FRA,0.03581685957783092,0.01050380571847177,0.23251698537245102,0.025313053859359152,0.24631217558457458,-0.8772179234005584,15.0,15.0,6.0
GBR,0.06554990126700924,0.04933599131817585,0.1868496529697248,0.016213909948833392,0.015441232158948381,0.8853026307480916,10.0,8.0,14.0
ITA,0.06084523776367474,0.025557962251181187,0.2681819948838091,0.035287275512493554,0.12628153501057227,-1.3842507778764113,12.0,14.0,4.0
JPN,0.07937001281670274,0.04164998040879559,0.25793101584978845,0.037720032407907146,-0.07781083225035929,-0.6128347876616036,5.0,10.0,3.0
NLD,0.07145153836953223,0.05098913577941686,0.21178319810331311,0.02046240259011537,0.006246689189744192,1.0630704937826558,8.0,5.0,8.0
NOR,0.05665844084985662,0.03731880305432702,0.2013461404314678,0.0193396377955296,0.08766086928560651,0.9500167156167721,14.0,13.0,11.0
PRT,0.03208147243152522,-0.0011972553875338643,0.26036764808337765,0.033278727819059085,0.25247331251053856,0.8202433169222978,16.0,16.0,5.0
SWE,0.08133973406129927,0.06140410578159159,0.20335901842218426,0.019935628279707678,-0.05750396234261712,0.5219116705258292,4.0,3.0,10.0
USA,0.0838573670668938,0.06663997881206553,0.18726972784188475,0.01721738825482827,-0.08942035180240226,0.7886734395197104,3.0,1.0,12.0
