seed,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
101,balanced_all_equity,50/50 Domestic/International Equity,1.046998019686725,1.2481340229399598,0.11693,21.236617612251962,45.49556835379246,0.7488711280050839
101,domestic_equity,100% Domestic Equity,0.8817390951800333,0.9944228931605383,0.25167,16.110141612785164,16.942301496743745,0.6256299568550797
101,international_equity,100% International Equity,1.1083797106638738,1.3580067760453736,0.08943,24.388349127963018,65.06492553856057,0.7926481278568785
101,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8707751426179828,0.9635368502942196,0.2404,13.38834882776493,10.413697009506588,0.6195838855870616
101,target_date_fund,Target-Date Fund (glide path),0.9432993153893626,1.0534265045681808,0.21993,16.377915578528878,9.64037074663086,0.6782916644691132
101,bills_only,100% Bills (cash),0.739153560158834,0.766588393471312,0.55897,6.403792653261791,0.0,0.540263886991367
202,balanced_all_equity,50/50 Domestic/International Equity,1.0462284050947372,1.2461184448451683,0.11557,21.178217278807374,45.0548545940253,0.7480887469038495
202,domestic_equity,100% Domestic Equity,0.8812822661354928,0.9928579997678154,0.24986,16.060017731063184,16.881123810991653,0.6245810605966091
202,international_equity,100% International Equity,1.1076693812988792,1.3551895459697556,0.08891,24.277157233995652,64.55321332422017,0.7917465878220687
202,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8703943182748576,0.9626424439869412,0.23972,13.303632839880752,10.424246860667118,0.6200856232593458
202,target_date_fund,Target-Date Fund (glide path),0.9421627920519534,1.0515898146082994,0.22031,16.306137886908765,9.528744498591513,0.678102331009799
202,bills_only,100% Bills (cash),0.7386774232115921,0.766082136830298,0.56175,6.389668758651036,0.0,0.539166974653891
303,balanced_all_equity,50/50 Domestic/International Equity,1.0443305726092658,1.2425559382792235,0.11752,21.146081919685013,44.64423677994519,0.7460621473195426
303,domestic_equity,100% Domestic Equity,0.8783903556061958,0.9883256546095198,0.25349,16.02994708909367,16.577410079960764,0.6217619613429523
303,international_equity,100% International Equity,1.1076505687888485,1.3538038328690152,0.08906,24.39873145267933,64.55217558616533,0.7887276844852411
303,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8673999586181508,0.9582362405029565,0.24164,13.324415656302495,10.179178354884387,0.6163554027869211
303,target_date_fund,Target-Date Fund (glide path),0.9392864550275161,1.0478962653287032,0.22226,16.326565407097974,9.435776804349745,0.6759634479658331
303,bills_only,100% Bills (cash),0.7373325258557578,0.764759302524037,0.56432,6.3829106954378005,0.0,0.5383136045058116
