window,start_year,end_year,years,country_years,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
1890-1950,1890,1950,61,891,balanced_all_equity,50/50 Domestic/International Equity,0.9520347370063966,1.088038468498144,0.16923,15.546450896528897,17.011937602315168,0.688077739045619
1890-1950,1890,1950,61,891,domestic_equity,100% Domestic Equity,0.8171488255566103,0.8912196374324934,0.33461,11.43927608519896,4.171082546248602,0.5862652515535025
1890-1950,1890,1950,61,891,international_equity,100% International Equity,0.99401473660085,1.1632414776139026,0.14041,18.283502531732243,27.333088747874754,0.7156604336941466
1890-1950,1890,1950,61,891,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8052836349968444,0.8701724375173128,0.34067,10.398100918856773,3.077266023802113,0.5779410595302397
1890-1950,1890,1950,61,891,target_date_fund,Target-Date Fund (glide path),0.8537598434900106,0.9365556563275188,0.3313,12.589748290194166,3.455345713717555,0.6209622730830783
1890-1950,1890,1950,61,891,bills_only,100% Bills (cash),0.7265582573272591,0.7581169486374483,0.55902,6.578866256185369,0.0,0.5270466153402472
1890-1970,1890,1970,81,1211,balanced_all_equity,50/50 Domestic/International Equity,1.0203509094368766,1.1964844686989287,0.12232,19.057758763161765,34.30940389951094,0.7324020296913943
1890-1970,1890,1970,81,1211,domestic_equity,100% Domestic Equity,0.8500664709047562,0.9364013840413394,0.28329,13.308481845145717,8.619898415458643,0.6032019163926171
1890-1970,1890,1970,81,1211,international_equity,100% International Equity,1.0739966282659477,1.2949737427013053,0.10059,23.17284348952043,57.40790926716762,0.7672187255231125
1890-1970,1890,1970,81,1211,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8181072388256302,0.8845540413033767,0.31658,10.70486620660855,3.9227512774080493,0.584925044972008
1890-1970,1890,1970,81,1211,target_date_fund,Target-Date Fund (glide path),0.8822614336197494,0.9694349478973633,0.30315,13.970971907250679,4.177438358194278,0.63842736935824
1890-1970,1890,1970,81,1211,bills_only,100% Bills (cash),0.7130719403093791,0.7397349531684013,0.62627,5.873330957424488,0.0,0.5192774120691636
1890-1990,1890,1990,101,1531,balanced_all_equity,50/50 Domestic/International Equity,0.99121811838671,1.151793186353646,0.14581,18.29379093504308,29.282247201341608,0.7097170932860242
1890-1990,1890,1990,101,1531,domestic_equity,100% Domestic Equity,0.8376084301201806,0.9223638161963493,0.30627,13.296815641021874,8.04798206483704,0.593895641792804
1890-1990,1890,1990,101,1531,international_equity,100% International Equity,1.0488728593895107,1.2514233011243616,0.11112,21.400144332077573,44.55393512934819,0.7478263339869816
1890-1990,1890,1990,101,1531,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8105565153472152,0.8741516399280926,0.33491,10.40518467587615,3.3070315891773694,0.580056269658169
1890-1990,1890,1990,101,1531,target_date_fund,Target-Date Fund (glide path),0.8760769453894351,0.9568534492604984,0.31952,13.453632110398802,3.158577543092692,0.6341831398999601
1890-1990,1890,1990,101,1531,bills_only,100% Bills (cash),0.7168076955841809,0.7418802330696959,0.64175,5.781577922656549,0.0,0.5236300620166182
1890-2020,1890,2020,131,2010,balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009
1890-2020,1890,2020,131,2010,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
1890-2020,1890,2020,131,2010,international_equity,100% International Equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722
1890-2020,1890,2020,131,2010,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
1890-2020,1890,2020,131,2010,target_date_fund,Target-Date Fund (glide path),0.9425195381382905,1.0525353008305582,0.2221,16.374254032061522,9.363398003433641,0.6824444319335816
1890-2020,1890,2020,131,2010,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
1890-1955 (first half),1890,1955,66,971,balanced_all_equity,50/50 Domestic/International Equity,0.9695312677979828,1.116651928319299,0.15149,16.4481787527368,21.120859450287682,0.6993659233992225
1890-1955 (first half),1890,1955,66,971,domestic_equity,100% Domestic Equity,0.8223423611108847,0.8982391513206469,0.3202,11.654828999108428,4.805093165864019,0.5871327840395959
1890-1955 (first half),1890,1955,66,971,international_equity,100% International Equity,1.0149353539795316,1.1980756611601604,0.12901,19.709114965383307,34.98196820208543,0.7270876011294405
1890-1955 (first half),1890,1955,66,971,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.803353521307516,0.8666443354360591,0.34296,10.237256663144208,2.943133141679311,0.5760634462717064
1890-1955 (first half),1890,1955,66,971,target_date_fund,Target-Date Fund (glide path),0.8558196462890987,0.9379205151925093,0.33378,12.777155039650225,3.344171107169996,0.6210152076775286
1890-1955 (first half),1890,1955,66,971,bills_only,100% Bills (cash),0.7173263483070701,0.7467207051492509,0.59683,6.198414016127064,0.0,0.5214505929629085
1956-2020 (second half),1956,2020,65,1039,balanced_all_equity,50/50 Domestic/International Equity,1.0683005511998507,1.2795038889638832,0.11144,23.41346195012101,58.18492653270751,0.7586408325255769
1956-2020 (second half),1956,2020,65,1039,domestic_equity,100% Domestic Equity,0.9183660145821076,1.0473387915294088,0.21975,19.61029937522527,31.431288168187088,0.6469746391914288
1956-2020 (second half),1956,2020,65,1039,international_equity,100% International Equity,1.1339993072892165,1.3894762311964268,0.07784,24.98672841241303,71.08079384840636,0.8051950713815863
1956-2020 (second half),1956,2020,65,1039,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.9444283609052992,1.0647185388738287,0.16528,17.17747733947852,24.623606436388123,0.6660837009003502
1956-2020 (second half),1956,2020,65,1039,target_date_fund,Target-Date Fund (glide path),1.0185076913242923,1.1480864417101146,0.13799,19.43131322351929,20.190861971147832,0.721615891354021
1956-2020 (second half),1956,2020,65,1039,bills_only,100% Bills (cash),0.7768613105480674,0.8039080950066241,0.47382,7.0299401358219065,0.0,0.5684812073184806
