iso,country,tier,series,n_years,first_year,last_year,mean,geometric_mean,std,min,max,skew,kurtosis,ar1,ar2
AUS,Australia,A,dom_eq,118,1900,2020,0.07764665213465118,0.06367602014241834,0.168179430314028,-0.42868751659989357,0.48664707512684413,-0.3053161930585564,0.4285474515627765,-0.07175779571621119,-0.16142763170195687
AUS,Australia,A,intl_eq,118,1900,2020,0.08658008024790718,0.07130612328477368,0.1958813529972098,-0.3400981924308524,1.0597393220343498,1.9430306200049319,7.620906544273458,0.11601668029237902,-0.03688476079595819
AUS,Australia,A,bond,118,1900,2020,0.022396556102568865,0.01848739573705484,0.09045010945295381,-0.2341971316616951,0.39123363835069336,0.5373605819389943,2.324891770602107,0.21639689338947313,0.13615737743700543
AUS,Australia,A,bill,118,1900,2020,0.012325040776157417,0.011427919729886058,0.04241442268252176,-0.14877939865495515,0.14685880919844907,-0.49617557262618733,2.764137095648563,0.6656798513841701,0.38610509752311195
AUS,Australia,A,inflation,118,1900,2020,0.03829410609686719,0.03732332342071721,0.04546250735175028,-0.09243691377727148,0.19839674670842622,0.7028397919706469,1.8494331449032653,0.6814766223032145,0.4100938408542598
BEL,Belgium,A,dom_eq,125,1890,2020,0.059060492376497416,0.037714700195499946,0.20746240991201623,-0.5794355994253816,0.5520161075446441,-0.001644118085090222,0.017646856322109716,0.08202307883459202,-0.2012710107138424
BEL,Belgium,A,intl_eq,125,1890,2020,0.08786840596267484,0.07003934001159172,0.1996019343242198,-0.4486198289756299,1.0493692990253383,0.813806901824929,3.8477458281191574,0.1631794263289477,-0.05754936894988108
BEL,Belgium,A,bond,125,1890,2020,0.025767623658768512,0.0196300962053184,0.10852234989334354,-0.42933391208729355,0.281594882264399,-0.6104900445003295,2.4338306244299237,0.2762252196639438,0.10552197828143921
BEL,Belgium,A,bill,125,1890,2020,0.006179971603687192,0.0018588293894369087,0.08630623505041948,-0.4754595517872533,0.32352194182666216,-1.9145531544110137,11.093442644825114,0.5537592528589808,0.16436243693284544
BEL,Belgium,A,inflation,125,1890,2020,0.040492599918194074,0.0352588584966074,0.11778422384364455,-0.2349956822107081,0.9354084202950699,4.452536881141456,29.528887591655046,0.5991550708073705,0.15081810139025165
CHE,Switzerland,A,dom_eq,120,1900,2020,0.06767910522446706,0.05095479114193424,0.18896522616964295,-0.39087197777335236,0.5598677889729591,0.30069728961232545,0.40915230195677177,0.10206840778611322,-0.12563130973752545
CHE,Switzerland,A,intl_eq,120,1900,2020,0.07558028323643601,0.05806351794191147,0.19082824452348182,-0.5148199043094739,0.6824657300896324,0.16661785745757543,1.2643373777196905,0.12204571161002908,-0.01322554675446379
CHE,Switzerland,A,bond,120,1900,2020,0.023302610088105576,0.020496913861709237,0.07879962344736965,-0.20574423955412102,0.48448332985713205,1.950726505681278,11.421669683948938,0.42734707991911147,0.01052083231631655
CHE,Switzerland,A,bill,120,1900,2020,0.008091137436205868,0.006923102299158073,0.049124191770890197,-0.1834621812267896,0.2725608138299962,0.881674945656455,9.211756622997221,0.6543047967639843,0.23162284127118477
CHE,Switzerland,A,inflation,120,1900,2020,0.021493687779025085,0.02034489341594029,0.04926462779404957,-0.17999989673758288,0.2761197037992511,1.1662804288458886,9.073397860177254,0.6944423889299265,0.24804818837451664
DEU,Germany,A,dom_eq,124,1890,2020,0.08723514888375632,0.04596813766836436,0.28882545856504627,-0.8743954106085813,1.3607420384988171,1.078772978014354,4.5417336622873385,-0.0057371408845572494,-0.2342318098196132
DEU,Germany,A,intl_eq,124,1890,2020,0.08519378779218392,0.06927408624555129,0.20000579888444744,-0.4480089537507532,1.2518422911481943,2.2794637185833126,12.190627626540705,-0.05029517682255354,-0.09313812492243398
DEU,Germany,A,bond,124,1890,2020,0.008413906286226952,-0.017835212998802735,0.1470560053915259,-0.906800065392783,0.3982053993184591,-4.115888435822037,23.15747299310806,0.43707743838803315,0.27761324656368175
