system,age,share_full_rate,share_part_rate,share_no_pension,mean_pension_x_earnings
age_pension_untested,63,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,64,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,65,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,66,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,67,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,68,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,69,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,70,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,71,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,72,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,73,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,74,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,75,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,76,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,77,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,78,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,79,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,80,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,81,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,82,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,83,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,84,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,85,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,86,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,87,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,88,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,89,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,90,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,91,1.0,0.0,0.0,0.2927453561503584
age_pension_untested,92,1.0,0.0,0.0,0.2927453561503584
age_pension_matched,63,0.0252,0.1485,0.8263,0.0270484451050058
age_pension_matched,64,0.0273,0.1449,0.8278,0.02712406204889721
age_pension_matched,65,0.029,0.145,0.826,0.027459927080517237
age_pension_matched,66,0.0304,0.1457,0.8239,0.028091055364747035
age_pension_matched,67,0.0313,0.143,0.8257,0.02810109673151446
age_pension_matched,68,0.0343,0.1371,0.8286,0.028750705101728544
age_pension_matched,69,0.0356,0.1389,0.8255,0.029437784567772497
age_pension_matched,70,0.0394,0.1349,0.8257,0.030340091092153926
age_pension_matched,71,0.043,0.133,0.824,0.031205812464387216
age_pension_matched,72,0.0471,0.1316,0.8213,0.032524096207487196
age_pension_matched,73,0.0532,0.1297,0.8171,0.03374442181955605
age_pension_matched,74,0.0572,0.1251,0.8177,0.034930594763798783
age_pension_matched,75,0.0634,0.124,0.8126,0.036438047287083775
age_pension_matched,76,0.0688,0.1193,0.8119,0.03743913066643058
age_pension_matched,77,0.0755,0.1177,0.8068,0.03921192993809294
age_pension_matched,78,0.0826,0.1137,0.8037,0.0406192811370383
age_pension_matched,79,0.0881,0.1113,0.8006,0.042103149838547925
age_pension_matched,80,0.0973,0.1041,0.7986,0.043679731626552386
age_pension_matched,81,0.1031,0.1001,0.7968,0.04497369055679783
age_pension_matched,82,0.1109,0.0999,0.7892,0.04658500404700375
age_pension_matched,83,0.1163,0.0978,0.7859,0.04828057278980854
age_pension_matched,84,0.1241,0.0921,0.7838,0.04941117722176365
age_pension_matched,85,0.1305,0.0912,0.7783,0.05116120480900587
age_pension_matched,86,0.1359,0.0887,0.7754,0.052632057277986984
age_pension_matched,87,0.1438,0.0826,0.7736,0.05435675489469655
age_pension_matched,88,0.1507,0.0763,0.773,0.05566717792451812
age_pension_matched,89,0.1584,0.0729,0.7687,0.05697368993861496
age_pension_matched,90,0.1638,0.0695,0.7667,0.05846581449660933
age_pension_matched,91,0.1696,0.0669,0.7635,0.059652378574567774
age_pension_matched,92,0.1763,0.0635,0.7602,0.060821624237421115
australia_as_legislated,63,0.0016,0.0311,0.9673,0.004205266786745202
australia_as_legislated,64,0.0016,0.0334,0.965,0.004612075938006758
australia_as_legislated,65,0.0026,0.0349,0.9625,0.005067364828948428
australia_as_legislated,66,0.0031,0.0362,0.9607,0.005379239666641254
