rule,rate,retire_age,can_deplete,label,cec
constant_percent,0.07,63,False,"constant_percent at 7.0%, retire at 63",1.3093565767001956
constant_percent,0.08,63,False,"constant_percent at 8.0%, retire at 63",1.3024733302824127
constant_percent,0.06,63,False,"constant_percent at 6.0%, retire at 63",1.299462395551293
endowment,0.06,63,True,"endowment at 6.0%, retire at 63",1.2938520656131576
endowment,0.07,63,True,"endowment at 7.0%, retire at 63",1.2855629996840727
guyton_klinger,0.07,63,True,"guyton_klinger at 7.0%, retire at 63",1.2840058440824864
life_expectancy,,63,False,"life_expectancy, retire at 63",1.2723169385479165
endowment,0.05,63,True,"endowment at 5.0%, retire at 63",1.2714006621777285
constant_percent,0.05,63,False,"constant_percent at 5.0%, retire at 63",1.2694314773242081
guyton_klinger,0.06,63,True,"guyton_klinger at 6.0%, retire at 63",1.2681883402750804
constant_percent,0.1,63,False,"constant_percent at 10.0%, retire at 63",1.2523771310007679
endowment,0.08,63,True,"endowment at 8.0%, retire at 63",1.2518828008647118
guyton_klinger,0.08,63,True,"guyton_klinger at 8.0%, retire at 63",1.2493680523212587
guyton_klinger,0.05,63,True,"guyton_klinger at 5.0%, retire at 63",1.223690396035443
endowment,0.04,63,True,"endowment at 4.0%, retire at 63",1.217636206460666
constant_percent,0.04,63,False,"constant_percent at 4.0%, retire at 63",1.2160450558018832
vanguard_dynamic,0.05,63,True,"vanguard_dynamic at 5.0%, retire at 63",1.206146496114619
vanguard_dynamic,0.04,63,True,"vanguard_dynamic at 4.0%, retire at 63",1.2030877506931672
constant_percent,0.12,63,False,"constant_percent at 12.0%, retire at 63",1.1755036742248088
guyton_klinger,0.04,63,True,"guyton_klinger at 4.0%, retire at 63",1.1589783234753503
constant_percent,0.03,63,False,"constant_percent at 3.0%, retire at 63",1.1357673800064598
endowment,0.03,63,True,"endowment at 3.0%, retire at 63",1.1324791309437243
endowment,0.1,63,True,"endowment at 10.0%, retire at 63",1.126847704196754
vanguard_dynamic,0.03,63,True,"vanguard_dynamic at 3.0%, retire at 63",1.1207597578399024
vanguard_dynamic,0.06,63,True,"vanguard_dynamic at 6.0%, retire at 63",1.1138149399314698
constant_real,0.04,63,True,"constant_real at 4.0%, retire at 63",1.1096431121986345
constant_real,0.05,63,True,"constant_real at 5.0%, retire at 63",1.0865001983166913
guyton_klinger,0.03,63,True,"guyton_klinger at 3.0%, retire at 63",1.0733039900126904
guyton_klinger,0.1,63,True,"guyton_klinger at 10.0%, retire at 63",1.054645748836805
constant_percent,0.15,63,False,"constant_percent at 15.0%, retire at 63",1.051421310701471
constant_real,0.03,63,True,"constant_real at 3.0%, retire at 63",1.0355927919722867
constant_percent,0.02,63,False,"constant_percent at 2.0%, retire at 63",1.02321987052684
endowment,0.02,63,True,"endowment at 2.0%, retire at 63",1.014327200467051
constant_real,0.06,63,True,"constant_real at 6.0%, retire at 63",1.0067765843937537
vanguard_dynamic,0.07,63,True,"vanguard_dynamic at 7.0%, retire at 63",1.001186013273674
vanguard_dynamic,0.02,63,True,"vanguard_dynamic at 2.0%, retire at 63",0.9932591326153379
guyton_klinger,0.02,63,True,"guyton_klinger at 2.0%, retire at 63",0.9628127146985463
endowment,0.12,63,True,"endowment at 12.0%, retire at 63",0.9567201622248939
constant_real,0.07,63,True,"constant_real at 7.0%, retire at 63",0.9263123234501839
constant_real,0.02,63,True,"constant_real at 2.0%, retire at 63",0.9147412897547552
vanguard_dynamic,0.08,63,True,"vanguard_dynamic at 8.0%, retire at 63",0.911401633963554
guyton_klinger,0.12,63,True,"guyton_klinger at 12.0%, retire at 63",0.8957043666893404
constant_real,0.08,63,True,"constant_real at 8.0%, retire at 63",0.8597453944219053
vanguard_dynamic,0.1,63,True,"vanguard_dynamic at 10.0%, retire at 63",0.7914572614683486
endowment,0.15,63,True,"endowment at 15.0%, retire at 63",0.7745116978701115
constant_real,0.1,63,True,"constant_real at 10.0%, retire at 63",0.7694240504926705
guyton_klinger,0.15,63,True,"guyton_klinger at 15.0%, retire at 63",0.7576502467455266
vanguard_dynamic,0.12,63,True,"vanguard_dynamic at 12.0%, retire at 63",0.7261349729518511
constant_real,0.12,63,True,"constant_real at 12.0%, retire at 63",0.7160180609387881
vanguard_dynamic,0.15,63,True,"vanguard_dynamic at 15.0%, retire at 63",0.6780681555025175
constant_real,0.15,63,True,"constant_real at 15.0%, retire at 63",0.6722891723514761
