rule,rate,retire_age,can_deplete,label,cec
constant_percent,0.08,70,False,"constant_percent at 8.0%, retire at 70",1.5666480156121319
constant_percent,0.07,70,False,"constant_percent at 7.0%, retire at 70",1.5567058570755807
constant_percent,0.1,70,False,"constant_percent at 10.0%, retire at 70",1.539422323225044
constant_percent,0.06,70,False,"constant_percent at 6.0%, retire at 70",1.5269576178085036
constant_percent,0.08,68,False,"constant_percent at 8.0%, retire at 68",1.485542238999905
constant_percent,0.07,68,False,"constant_percent at 7.0%, retire at 68",1.4819773736996296
constant_percent,0.05,70,False,"constant_percent at 5.0%, retire at 70",1.474258201675613
constant_percent,0.12,70,False,"constant_percent at 12.0%, retire at 70",1.469075134876669
constant_percent,0.06,68,False,"constant_percent at 6.0%, retire at 68",1.4593001343805863
constant_percent,0.1,68,False,"constant_percent at 10.0%, retire at 68",1.4483608503130303
constant_percent,0.05,68,False,"constant_percent at 5.0%, retire at 68",1.414258743871857
constant_percent,0.07,66,False,"constant_percent at 7.0%, retire at 66",1.4109006040611622
constant_percent,0.08,66,False,"constant_percent at 8.0%, retire at 66",1.4094251124015624
constant_percent,0.04,70,False,"constant_percent at 4.0%, retire at 70",1.3951772425783515
constant_percent,0.06,66,False,"constant_percent at 6.0%, retire at 66",1.394105004631488
constant_percent,0.12,68,False,"constant_percent at 12.0%, retire at 68",1.3728389725912626
constant_percent,0.1,66,False,"constant_percent at 10.0%, retire at 66",1.3652291398239356
constant_percent,0.05,66,False,"constant_percent at 5.0%, retire at 66",1.3557159473659626
constant_percent,0.04,68,False,"constant_percent at 4.0%, retire at 68",1.3434456942536106
constant_percent,0.15,70,False,"constant_percent at 15.0%, retire at 70",1.3264678173400752
constant_percent,0.07,63,False,"constant_percent at 7.0%, retire at 63",1.3100192807993938
constant_percent,0.08,63,False,"constant_percent at 8.0%, retire at 63",1.303139358947952
constant_percent,0.06,63,False,"constant_percent at 6.0%, retire at 63",1.3001233392219123
constant_percent,0.04,66,False,"constant_percent at 4.0%, retire at 66",1.2923824083165074
constant_percent,0.12,66,False,"constant_percent at 12.0%, retire at 66",1.2874501051237153
constant_percent,0.03,70,False,"constant_percent at 3.0%, retire at 70",1.2853138907193316
constant_percent,0.05,63,False,"constant_percent at 5.0%, retire at 63",1.2700911730423945
constant_percent,0.1,63,False,"constant_percent at 10.0%, retire at 63",1.2530483117386135
constant_percent,0.03,68,False,"constant_percent at 3.0%, retire at 68",1.2426814266121806
constant_percent,0.15,68,False,"constant_percent at 15.0%, retire at 68",1.2319586924937957
constant_percent,0.04,63,False,"constant_percent at 4.0%, retire at 63",1.216699690793558
constant_percent,0.07,60,False,"constant_percent at 7.0%, retire at 60",1.2152538783304898
constant_percent,0.06,60,False,"constant_percent at 6.0%, retire at 60",1.210348511036176
constant_percent,0.08,60,False,"constant_percent at 8.0%, retire at 60",1.2051177916374969
constant_percent,0.03,66,False,"constant_percent at 3.0%, retire at 66",1.200172912475204
constant_percent,0.05,60,False,"constant_percent at 5.0%, retire at 60",1.1870962644788172
constant_percent,0.12,63,False,"constant_percent at 12.0%, retire at 63",1.176162236538971
constant_percent,0.07,58,False,"constant_percent at 7.0%, retire at 58",1.1548956976249918
constant_percent,0.1,60,False,"constant_percent at 10.0%, retire at 60",1.1535945743998988
constant_percent,0.06,58,False,"constant_percent at 6.0%, retire at 58",1.152452183179365
constant_percent,0.15,66,False,"constant_percent at 15.0%, retire at 66",1.1516040729407135
constant_percent,0.08,58,False,"constant_percent at 8.0%, retire at 58",1.143542956494213
constant_percent,0.04,60,False,"constant_percent at 4.0%, retire at 60",1.1424366909509174
constant_percent,0.02,70,False,"constant_percent at 2.0%, retire at 70",1.1373638865501872
constant_percent,0.03,63,False,"constant_percent at 3.0%, retire at 63",1.136404652411869
constant_percent,0.05,58,False,"constant_percent at 5.0%, retire at 58",1.1329944462687123
constant_percent,0.02,68,False,"constant_percent at 2.0%, retire at 68",1.1052134550685444
constant_percent,0.04,58,False,"constant_percent at 4.0%, retire at 58",1.093589346971543
constant_percent,0.1,58,False,"constant_percent at 10.0%, retire at 58",1.0929497537583732
constant_percent,0.12,60,False,"constant_percent at 12.0%, retire at 60",1.0813426838775246
constant_percent,0.03,60,False,"constant_percent at 3.0%, retire at 60",1.073179322049886
constant_percent,0.02,66,False,"constant_percent at 2.0%, retire at 66",1.0728874595935332
constant_percent,0.15,63,False,"constant_percent at 15.0%, retire at 63",1.0520074303962585
constant_percent,0.03,58,False,"constant_percent at 3.0%, retire at 58",1.0312649957972406
constant_percent,0.12,58,False,"constant_percent at 12.0%, retire at 58",1.0251968713872168
constant_percent,0.02,63,False,"constant_percent at 2.0%, retire at 63",1.0238123036622995
constant_percent,0.02,60,False,"constant_percent at 2.0%, retire at 60",0.9746330233454927
constant_percent,0.15,60,False,"constant_percent at 15.0%, retire at 60",0.9716832271703495
constant_percent,0.02,58,False,"constant_percent at 2.0%, retire at 58",0.9417439473025178
constant_percent,0.15,58,False,"constant_percent at 15.0%, retire at 58",0.9259041385117472
