iso,country,tier,tier_label,usable_years,first_year,last_year,returns_source,returns_empirical_years,returns_simulated_years,share_returns_observed,dom_eq_observed_years,bond_observed_years,bill_observed_years,inflation_empirical_share,donor,note
AUS,Australia,A,observed returns,118,1900,2020,JST/JKKST,354,0,1.0,118,118,118,1.0,,JST/JKKST empirical 1900-2020; inflation 100% empirical
BEL,Belgium,A,observed returns,125,1890,2020,JST/JKKST,375,0,1.0,125,125,125,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
CHE,Switzerland,A,observed returns,120,1900,2020,JST/JKKST,360,0,1.0,120,120,120,1.0,,JST/JKKST empirical 1900-2020; inflation 100% empirical
DEU,Germany,A,observed returns,124,1890,2020,JST/JKKST,372,0,1.0,124,124,124,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
DNK,Denmark,A,observed returns,130,1890,2020,JST/JKKST,390,0,1.0,130,130,130,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
ESP,Spain,A,observed returns,115,1900,2020,JST/JKKST,345,0,1.0,115,115,115,1.0,,JST/JKKST empirical 1900-2020; inflation 100% empirical
FIN,Finland,A,observed returns,125,1896,2020,JST/JKKST,375,0,1.0,125,125,125,1.0,,JST/JKKST empirical 1896-2020; inflation 100% empirical
FRA,France,A,observed returns,124,1890,2020,JST/JKKST,372,0,1.0,124,124,124,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
GBR,United Kingdom,A,observed returns,131,1890,2020,JST/JKKST,393,0,1.0,131,131,131,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
ITA,Italy,A,observed returns,124,1890,2020,JST/JKKST,372,0,1.0,124,124,124,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
JPN,Japan,A,observed returns,129,1890,2020,JST/JKKST,387,0,1.0,129,129,129,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
NLD,Netherlands,A,observed returns,121,1900,2020,JST/JKKST,363,0,1.0,121,121,121,1.0,,JST/JKKST empirical 1900-2020; inflation 100% empirical
NOR,Norway,A,observed returns,131,1890,2020,JST/JKKST,393,0,1.0,131,131,131,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
PRT,Portugal,A,observed returns,131,1890,2020,JST/JKKST,393,0,1.0,131,131,131,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
SWE,Sweden,A,observed returns,131,1890,2020,JST/JKKST,393,0,1.0,131,131,131,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
USA,United States,A,observed returns,131,1890,2020,JST/JKKST,393,0,1.0,131,131,131,1.0,,JST/JKKST empirical 1890-2020; inflation 100% empirical
