iso,country,years,first_year,last_year,mean,sd,autocorrelation,sd_desmoothed,equity_mean,equity_sd,equity_autocorrelation
AUS,Australia,120,1901,2020,0.06223500255690738,0.11732124192770878,-0.024694994549991717,0.11732124192770878,0.07833393077686787,0.16224101782256856,-0.06743120696926058
BEL,Belgium,119,1891,2020,0.0792617303953018,0.15151661669053337,0.3428707368732845,0.21791682592997638,0.0546385711969187,0.22918559836125815,0.06445670870163787
CHE,Switzerland,119,1902,2020,0.05667929525851555,0.06525431640555451,0.46580797995698203,0.10792855395139514,0.06592163403484239,0.18916665808672198,0.10819683865447238
DEU,Germany,96,1891,2020,0.06561079707953811,0.08451798257680153,-0.12989519628916973,0.08451798257680153,0.09405768749612964,0.3353435909490371,-0.033163804422873464
DNK,Denmark,130,1891,2020,0.08045747031280882,0.0775279773576559,0.42197742723024256,0.12096818497496545,0.0757355696675226,0.17200005076679872,0.062269559998349516
ESP,Spain,120,1901,2020,0.052615191843749784,0.11754823937064252,0.03249163900167374,0.12194432146100086,0.05567969506123124,0.2075258555191786,0.30357116749502616
FIN,Finland,99,1920,2020,0.09421271514721145,0.15236456159249334,0.47302355275924063,0.24012660683321618,0.08906359231902697,0.2999545953316314,0.1764413647225284
FRA,France,130,1891,2020,0.0627914422938083,0.10287467776847965,0.6261303488520209,0.21532835651193177,0.027423260673432676,0.23094195066330378,0.17573128828199383
GBR,United Kingdom,118,1896,2020,0.0539310985651957,0.0897081993341497,0.3309264919597133,0.12539035438287155,0.06554990126700924,0.1868496529697248,-0.04523489992573286
ITA,Italy,86,1928,2020,0.046981726654127844,0.09339932629340106,-0.04748690760691954,0.09339932629340106,0.05120615746733638,0.26646115267590587,-0.018469106009906797
JPN,Japan,75,1931,2020,0.0657099531885585,0.08128988019031182,0.45877751951430873,0.11988966117395725,0.07937001281670274,0.25793101584978845,0.12269760172049726
NLD,Netherlands,130,1891,2020,0.07449879890868881,0.08976667202125002,0.4629538436242727,0.1487133127978669,0.07145153836953225,0.21178319810331311,0.030991627168409145
NOR,Norway,130,1891,2020,0.07833257757713638,0.0863088061013706,0.16850259836264278,0.10268741617138787,0.05665844084985662,0.2013461404314678,0.022496515985685087
PRT,Portugal,73,1948,2020,0.06649358009978383,0.08518368218997467,0.33205112194330144,0.11508758422207692,0.03208147243152522,0.26036764808337765,0.25374635725795647
SWE,Sweden,130,1891,2020,0.08106839373311593,0.08892310943382592,0.34883184306492493,0.12751582640558695,0.08133973406129927,0.20335901842218426,0.12626470679662982
USA,United States,130,1891,2020,0.062219472757855,0.07902432773740176,-0.16973791797794835,0.07902432773740176,0.0838573670668938,0.18726972784188475,0.0028142102684030924
