iso,n_reference,n_tail,sd_reference,sd_tail,ratio,tail_smoother
PRT,66,5,0.3612436703086447,0.0011919232306964829,0.0032994992816846036,True
FIN,66,5,0.34431418626699684,0.08971096479085706,0.2605497199040504,True
NOR,66,5,0.26495799095200995,0.08685189729651346,0.32779497226880905,True
USA,66,5,0.16763115407877127,0.05958626961858553,0.35546059410045844,True
AUS,66,5,0.21073736577312116,0.10173866354893239,0.4827746763166042,True
ESP,66,5,0.24450643348717702,0.11898682028582569,0.4866408568021008,True
DEU,66,5,0.2828107668359337,0.15062580593248126,0.5326027987465676,True
GBR,66,5,0.2613796923744748,0.14025673960695767,0.5366015176344072,True
FRA,66,5,0.26381891091444554,0.14420371813826474,0.5466011425732438,True
SWE,66,5,0.24336073845216605,0.13718648693731084,0.5637165954124339,True
JPN,66,5,0.23382645453949547,0.14906292546086755,0.6374938445456754,True
ITA,66,5,0.26973846072376007,0.17219564984122926,0.6383800418345803,True
NLD,66,5,0.21831343563515948,0.15495803320317078,0.7097961366983073,True
CHE,66,5,0.21389734285215903,0.1585684526535644,0.7413296983458242,True
BEL,66,5,0.21131661927078743,0.17119603410993978,0.8101399440361293,True
DNK,66,5,0.22178682586047135,0.18860232681808078,0.850376599630551,True
