iso,country,years,first_year,last_year,mean,geometric_mean,geometric_mean_ex_war,sd,career_multiple,in_return_panel,best_year,best_value,worst_year,worst_value
AUS,Australia,130,1891,2020,0.015043061398233746,0.014323473901829642,0.01614135734001665,0.03964680393775,1.7167462075050994,True,1921,0.30514546371463735,1915,-0.09646621394561539
BEL,Belgium,124,1891,2020,0.010990997754995437,-0.00016463964892643457,0.012018445768421593,0.17305156990141438,0.9937627114155885,True,1919,1.5109781013496018,1941,-0.44736976124747874
CAN,Canada,130,1891,2020,0.013961513488949223,0.013649492280611186,0.012659483914165603,0.02519928662081202,1.6739276108034553,False,1892,0.0980392156862746,1900,-0.08720930232558122
CHE,Switzerland,130,1891,2020,0.01688029884977079,0.016167806968822918,0.017491797771848505,0.0384953077079422,1.8394433424779344,True,1919,0.19284280631330453,1915,-0.13170586687486374
DEU,Germany,128,1891,2020,0.01271943257584264,0.008789373129071576,0.01031155275355089,0.07939911248036362,1.3945013760140461,True,1919,0.3410650236749062,1922,-0.5356274507202723
DNK,Denmark,130,1891,2020,0.02177312116876874,0.020129283031368406,0.020501449401177263,0.06056134808110541,2.132544694084375,True,1919,0.43686575390407567,1915,-0.1253873656743809
ESP,Spain,122,1891,2020,0.024149921385867048,0.01984265398039531,0.02678716909839962,0.10337347983599748,2.1098935047726743,True,1921,0.6399897219835391,1918,-0.15447697938692317
FIN,Finland,130,1891,2020,0.04218608791934081,0.03156769822111305,0.03809521884473144,0.15458024334641685,3.2577211739396787,True,1919,1.0935061105411203,1918,-0.6630095528024069
FRA,France,130,1891,2020,0.012425599396208149,0.011122778770037867,0.018464922833733244,0.05157244332500368,1.5224673439254297,True,1921,0.2777761228708795,1915,-0.14830677290836658
GBR,United Kingdom,130,1891,2020,0.013923367430254975,0.012893231566653673,0.014079534251799641,0.04624635121031517,1.6271194051625957,True,1920,0.24753889480390368,1921,-0.17924644650913457
IRL,Ireland,77,1944,2020,0.028814841620872642,0.028324775689025916,0.02748861380664347,0.03221241323894852,2.8903562899901223,False,1973,0.1376579180726223,1981,-0.0329350871682309
ITA,Italy,128,1891,2020,0.016036527781659114,0.00977476785247644,0.02262656852816769,0.10671119862018807,1.4472099734334403,True,1947,0.6562942953324917,1944,-0.6215480626082219
JPN,Japan,130,1891,2020,0.03347765481086758,0.02368321171627996,0.026589179840677213,0.13812323266021584,2.4338402931964214,True,1946,0.6406457984553267,1957,-0.5676869527344938
NLD,Netherlands,130,1891,2020,0.01224496307196237,0.011185114596518941,0.011764892044111575,0.04741865896324559,1.526038105221625,True,1921,0.23577235772357752,1915,-0.10999999999999999
NOR,Norway,130,1891,2020,0.01902973497831817,0.018323529964698437,0.017948471692388557,0.03812912673991464,1.9936990398242855,True,1919,0.18130853108518985,1941,-0.10682630704518126
PRT,Portugal,130,1891,2020,0.011940241966701189,0.007420529190737435,0.010337754483666028,0.099274426980041,1.3243728617077721,True,1919,0.7256151674062119,1918,-0.43565964458044015
SWE,Sweden,130,1891,2020,0.025213534112293604,0.024338181856368823,0.02559688455625575,0.043273791258559416,2.493720213023291,True,1920,0.2291780346557173,1922,-0.13180684021184308
USA,United States,130,1891,2020,0.01423822841506707,0.013950456020959345,0.013068223798518463,0.024615149992161914,1.6929180103256751,True,1934,0.1666351785376914,1932,-0.04033246310405458
