decile,mean_window_return,median_retirement_consumption,prob_ruin,median_retire_age,median_wealth_at_retirement
1,-0.03661972599461675,1.1368898382615602,0.3792,70.0,14.609496025681814
2,0.012701374960753579,1.3575576835750296,0.22324464892978596,69.0,19.34264436652054
3,0.03601000974752874,1.4219977547369147,0.17776444711057787,67.0,20.825653918587623
4,0.053045154814114946,1.491131706521065,0.14925970388155263,66.0,22.29141612956968
5,0.06742183947679146,1.554498874859965,0.11015593762495002,65.0,23.361235399234744
6,0.08110889148086979,1.6092958604360506,0.0994994994994995,65.0,24.718917274869742
7,0.09563592058374175,1.6615078420437426,0.08298340331933614,64.0,26.027560524480684
8,0.11164840345469883,1.6832271221179598,0.060951239008792964,64.0,26.42263777601042
9,0.1312874838579327,1.729878745857098,0.0404,64.0,27.335935685111316
10,0.17254041413771962,1.830927517330153,0.0226,63.0,29.836576939334908
