variant,working_income_floor,rule,label,cec_gamma2,cec_gamma5,cec_gamma10,median_retire_age,mean_retire_age,p10_retire_age,p90_retire_age,sd_retire_age,prob_ruin,median_wealth_at_retirement,median_bequest,median_retirement_consumption,p5_retirement_consumption,mean_savings_rate,median_total_saved,median_working_consumption
Fixed age 60,0.25,fixed_age,Fixed age,1.0769851376946504,0.8044842976722197,0.5451985069732403,60.0,60.0,60.0,60.0,0.0,0.14002,17.32155862053594,40.96948576437581,1.324561055539702,0.713471166021433,0.10000000000000007,4.963463943997628,1.276319299885104
Fixed age 63 (baseline),0.25,fixed_age,Fixed age,1.081766352016289,0.7900294078466056,0.5301758861933695,63.0,63.0,63.0,63.0,0.0,0.11702,21.333933431764862,45.393374604789635,1.4852127241315218,0.7522856743832375,0.10000000000000007,5.373287612945131,1.272620750434373
Fixed age 66,0.25,fixed_age,Fixed age,1.0795596565278756,0.7722063652673452,0.5151614783213178,66.0,66.0,66.0,66.0,0.0,0.09162,25.935177275117283,49.40207273113837,1.6736511439548547,0.789929988339186,0.10000000000000007,5.752962913205112,1.2628455175328293
Fixed age 70,0.25,fixed_age,Fixed age,1.067548280961436,0.7446838464036004,0.49559739664227687,70.0,70.0,70.0,70.0,0.0,0.05818,33.56565017017739,56.066805462326215,1.9749477223355885,0.8483043414908711,0.1,6.207646811345912,1.2415293622691825
"Flexible +/-3 years, 25x income",0.25,wealth_multiple,Wealth multiple,1.0930920662486112,0.7985412000590789,0.5363157004761739,65.0,63.7551,60.0,66.0,2.5045737058008406,0.11466,23.31042996132724,45.14296115022038,1.5523606998825636,0.7845640662468439,0.10000000000000007,5.4990844414551825,1.2809012294983524
Wealth trigger 20x income,0.25,wealth_multiple,Wealth multiple,1.1005906859003323,0.8152469819510704,0.5507399007777766,62.0,62.74324,55.0,70.0,5.368196219682461,0.12412,21.950513528849825,43.68978529210003,1.492899308670114,0.7869034256567276,0.10000000000000003,5.3367717772808945,1.2903093022165504
Wealth trigger 25x income,0.25,wealth_multiple,Wealth multiple,1.100809171378692,0.8071103679578235,0.5427214724808659,65.0,64.22294,56.0,70.0,5.213476897736026,0.11114,24.252500214759092,45.588912026685946,1.5815712825056978,0.8106402271733193,0.10000000000000003,5.5427204004984185,1.2853660879894442
Wealth trigger 30x income,0.25,wealth_multiple,Wealth multiple,1.0991316600304093,0.7992650535164562,0.5356991627707047,67.0,65.3356,57.0,70.0,4.9291194512175585,0.1028,26.155716645515287,46.96487025842727,1.6590423100742475,0.8335560719452977,0.10000000000000003,5.698161943916459,1.2789313119316452
Fixed age 60,0.0,fixed_age,Fixed age,1.0759008225102322,0.7746685535346498,0.33994106786114275,60.0,60.0,60.0,60.0,0.0,0.14002,17.320384850573078,40.96875264506558,1.3245323276378085,0.7134179233629351,0.10000000000000007,4.963463943997628,1.276319299885104
Fixed age 63 (baseline),0.0,fixed_age,Fixed age,1.0800887188768904,0.7469932528995004,0.31116252692176954,63.0,63.0,63.0,63.0,0.0,0.11702,21.333933431764862,45.389294674009456,1.4851598721585617,0.7520844500285552,0.10000000000000007,5.373287612945131,1.272620750434373
Fixed age 66,0.0,fixed_age,Fixed age,1.0769694306153361,0.7085334546290347,0.2652017359909626,66.0,66.0,66.0,66.0,0.0,0.09162,25.93245932380707,49.39362989430812,1.6736306739413855,0.7895086338451314,0.10000000000000007,5.752962913205112,1.2628455175328293
Fixed age 70,0.0,fixed_age,Fixed age,1.0629844228124008,0.6430672563982935,0.22153582299364336,70.0,70.0,70.0,70.0,0.0,0.05818,33.56308276481042,56.06460237735509,1.9745956153531914,0.8475022588993418,0.1,6.207646811345912,1.2415293622691825
"Flexible +/-3 years, 25x income",0.0,wealth_multiple,Wealth multiple,1.0920053952316378,0.7669728380592952,0.3375473324068375,65.0,63.74032,60.0,66.0,2.506035095891124,0.11484,23.307637454870736,45.14621787534843,1.5523606998825636,0.7819721925341375,0.10000000000000007,5.4990844414551825,1.2809012294983524
Wealth trigger 20x income,0.0,wealth_multiple,Wealth multiple,1.1000906398254888,0.7975189799291473,0.38734519566300757,62.0,62.71754,55.0,70.0,5.365274650177886,0.12426,21.950513528849825,43.693818223306685,1.492899308670114,0.7851217927034796,0.10000000000000003,5.3367717772808945,1.2903093022165504
Wealth trigger 25x income,0.0,wealth_multiple,Wealth multiple,1.1003236531222989,0.7875928480985773,0.3812937933481516,65.0,64.18576,56.0,70.0,5.216109410120494,0.11164,24.252500214759092,45.576345013028515,1.5815712825056978,0.8040033094106741,0.10000000000000003,5.5427204004984185,1.2853660879894442
Wealth trigger 30x income,0.0,wealth_multiple,Wealth multiple,1.0986552262184492,0.7761439559795061,0.3441125534055563,67.0,65.28498,57.0,70.0,4.941110673835774,0.10358,26.15369448340531,46.97137846055982,1.6590423100742475,0.8195822722685214,0.10000000000000003,5.697923636127098,1.2789773469387922
