rule,sensitivity,cec,vs_base_pct,mean_savings_rate
On-track (wealth vs age target),-0.005,0.7565730270197872,-4.25192961070715,0.10521879550248336
On-track (wealth vs age target),0.0,0.7901705213940186,0.0,0.10000000000000007
On-track (wealth vs age target),0.005,0.8009571745850305,1.365104480483792,0.09791674438514855
On-track (wealth vs age target),0.01,0.8057180108269646,1.9676119283110083,0.0981243791899548
On-track (wealth vs age target),0.02,0.8106075959839563,2.586413190140613,0.09990737923889977
On-track (wealth vs age target),0.05,0.8130194676646549,2.891647518098539,0.10601620187687855
Return-responsive (last year's return),-0.25,0.7704563900040947,-2.494921141216988,0.11916016927870363
Return-responsive (last year's return),0.0,0.7901705213940186,0.0,0.10000000000000007
Return-responsive (last year's return),0.25,0.7965957928705184,0.8131499850392299,0.08480335664989741
Return-responsive (last year's return),0.5,0.7900955476857892,-0.009488294766690775,0.0796669928149774
Return-responsive (last year's return),1.0,0.763836800475492,-3.332663039880135,0.08393449315728813
