domestic_share,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,cec_ez_gamma2_psi1.5,cec_ez_gamma5_psi1.5,cec_ez_gamma10_psi1.5,prob_ruin,median_wealth_at_retirement,mean_wealth_at_retirement,median_bequest,mean_bequest,p5_bequest,prob_zero_bequest,median_retirement_consumption,mean_retirement_consumption,p1_wealth_at_retirement,p1_bequest,p1_retirement_consumption,p5_wealth_at_retirement,p5_retirement_consumption,p10_wealth_at_retirement,p10_bequest,p10_retirement_consumption,p25_wealth_at_retirement,p25_bequest,p25_retirement_consumption,p50_wealth_at_retirement,p50_bequest,p50_retirement_consumption,p75_wealth_at_retirement,p75_bequest,p75_retirement_consumption,p90_wealth_at_retirement,p90_bequest,p90_retirement_consumption,p95_wealth_at_retirement,p95_bequest,p95_retirement_consumption,p99_wealth_at_retirement,p99_bequest,p99_retirement_consumption,mean_consumption_target,mean_consumption_shortfall,prob_consumption_below_target,median_consumption_replacement_ratio,p5_consumption_replacement_ratio
0.0,dom0.00,0% domestic / 100% international,1.4487950845358288,1.0446254363936025,0.7449834117823239,1.7304874947547946,1.2359794178769254,0.8787265504350819,0.11556,23.035540431490276,30.15229022351887,55.6762165787637,139.04304690395756,0.0,0.12194,1.551813735347518,1.825666228176157,2.7501892646303143,0.0,0.518822886470559,5.686238170261025,0.6963123039300665,7.988652904866822,0.0,0.827741182617391,13.66677526047373,14.341383377747583,1.1118369106376313,23.035540431490276,55.6762165787637,1.551813735347518,37.837935050006806,149.65540769049161,2.197491208465234,59.073372819766924,332.3766881585456,3.087669188087936,78.21159458990947,533.988841196949,3.856935610563629,131.10497507722405,1277.353049238504,5.957311661800457,1.075741161498871,0.02688327928302631,0.1352,1.5317664434121192,0.8393982966719026
0.1,dom0.10,10% domestic / 90% international,1.4450221577403612,1.0515049067150573,0.7516928554213806,1.7229211732757166,1.2449420357212246,0.8903808025721981,0.11098,22.70505171174436,29.421377061166808,54.334164358615254,130.70275594129987,0.0,0.11682,1.5422585213218272,1.799616462304042,2.9308700069822993,0.0,0.5243719596193056,5.865412962352888,0.7040780383139262,8.075190614271216,0.0,0.8330664020990891,13.566662646356223,14.308746737788297,1.1110214717344322,22.70505171174436,54.334164358615254,1.5422585213218272,36.976380039388204,144.91466571787583,2.174401011001778,57.43066549732415,317.3517166870367,3.023924142430623,75.322046034779,499.3571709259186,3.756036287238154,125.04860071486735,1166.9404063680709,5.724450257869869,1.075741161498871,0.02569672666727288,0.13194,1.5218075911579643,0.8488910578642342
0.2,dom0.20,20% domestic / 80% international,1.4335557429024075,1.0506782194216415,0.7549118575474854,1.7028269023073572,1.241773384350894,0.896366156886677,0.11148,22.24277015191454,28.822606251986183,50.80809888155645,126.66797373507528,0.0,0.11854,1.525921717278873,1.7770526812305376,3.062973021111129,0.0,0.5264570594061455,5.875821139329794,0.7053547077498179,8.030012789933199,0.0,0.8310692903287438,13.274372030601857,13.292488112806973,1.1029992852179868,22.24277015191454,50.80809888155645,1.525921717278873,36.31864936719775,139.13527452876,2.1453261388499847,56.37990838200664,310.34154863467217,2.986160662071576,73.79553470837487,491.25822148111877,3.693527677308019,121.17641762070485,1136.1270261965035,5.613720986156796,1.075741161498871,0.0257088738773862,0.13346,1.5019250186986368,0.8512441901274624
0.3,dom0.30,30% domestic / 70% international,1.414746579901519,1.0416202892591389,0.7531747114342889,1.6715128273996516,1.2259988105521586,0.8938590591619933,0.11816,21.658766085173657,28.37552067415895,46.76907309517592,129.10903483404087,0.0,0.126,1.4994929354824922,1.7586796893269558,3.060100188502089,0.0,0.5246617173658732,5.729043604823001,0.6982700899762695,7.820055551960541,0.0,0.8224907780765751,12.894435404852038,11.634721837348533,1.0866029309289766,21.658766085173657,46.76907309517592,1.4994929354824922,35.55834853506927,130.7896895042831,2.114605903369947,55.59124032002578,304.3269916770369,2.963176046142595,73.74235962843407,491.8406905903975,3.6779826510541587,123.17774947471653,1294.8358709482873,5.691983634322798,1.075741161498871,0.027081247135842305,0.14096,1.4777312514379113,0.8453150482896788
0.4,dom0.40,40% domestic / 60% international,1.3893614064555482,1.0249953332561779,0.7462961243068368,1.6308780327705705,1.199413180206554,0.8814927405958922,0.12884,20.922405169717482,28.111527560198876,42.198298529602894,142.73031673109978,0.0,0.13726,1.4691698086323282,1.7457198599900416,2.904829471760469,0.0,0.5189176336383823,5.446582595893389,0.6844392773504704,7.496381587964235,0.0,0.8063781135108555,12.35892686210354,9.495122173623072,1.0628036394803717,20.922405169717482,42.198298529602894,1.4691698086323282,34.57977205210566,121.36982894938538,2.0719893037779356,55.156707639058716,292.02219851082816,2.932237252870349,74.58300081997429,498.31918807837746,3.716064751195683,131.83395127571023,1771.8884655054276,5.983648542053507,1.075741161498871,0.029745856035654793,0.15354,1.446223771105067,0.8324353623198549
0.5,dom0.50,50% domestic / 50% international,1.358322952274493,1.0025242507178538,0.7355353848024861,1.582893243869437,1.165027449677994,0.861360749328979,0.14448,20.07978708978618,28.077218070225502,36.915879985987075,177.05815415315686,0.0,0.15308,1.4322342252312072,1.740144843040017,2.6873696789212733,0.0,0.5081975328848761,5.0659178183957945,0.6662167400494348,7.035498552549397,0.0,0.7827232702268223,11.766029836601142,7.167810486518147,1.0341502540284497,20.07978708978618,36.915879985987075,1.4322342252312072,33.55369986712904,112.43918852535752,2.027025750758563,54.466807838331654,280.2757343132426,2.90003755468334,75.29848608855988,496.8240925572417,3.740308492041178,149.3909725228749,2657.039834017374,6.662852411445781,1.075741161498871,0.033803312495152116,0.17064,1.4092883185939764,0.8150294994942401
0.6,dom0.60,60% domestic / 40% international,1.323144955261948,0.97625365071359,0.7213176446317261,1.5298174707304446,1.1258926888323968,0.8369195139851675,0.16454,19.179921818758828,28.339015780684147,31.80017352739409,250.81344236316775,0.0,0.17326,1.392811014441429,1.744875920981541,2.3706076821255637,0.0,0.49687705705916796,4.623246235041941,0.6465533596304791,6.524108625789625,0.0,0.7567835239399041,11.097142532052144,4.935287976742821,1.001362321024532,19.179921818758828,31.80017352739409,1.392811014441429,32.58786025926567,102.79766747861814,1.9841384089283594,53.81156232491834,267.9737098805304,2.868055232271564,76.67849513955629,491.01986200227583,3.7831320487899243,177.6015746254604,4411.5843974468735,7.782066428952814,1.075741161498871,0.03915776767263775,0.19274,1.3694706112601287,0.794673021361925
0.7,dom0.70,70% domestic / 30% international,1.2851803625519294,0.9482567474169024,0.7059275487666675,1.4737573773468964,1.0848502075086695,0.8115122125431679,0.18692,18.1749807857967,28.989522810115385,26.499637833292653,400.1791623930511,0.0,0.19708,1.3506234721133827,1.7637039999992612,2.0167426396376253,0.0,0.48737645239897354,4.167995526939816,0.6247500747575323,5.969035386355537,0.0,0.7300202523268996,10.36569982234319,2.853474115950256,0.9660031108597403,18.1749807857967,26.499637833292653,1.3506234721133827,31.62237838932891,92.7188300816007,1.9359628856199889,53.461890001929035,256.7457098858508,2.8375341493507706,77.60435390950225,488.6522831808751,3.8064697631027493,221.78713984637352,7465.672608877767,9.51605284873874,1.075741161498871,0.04588522342598375,0.22018,1.3273719009320473,0.7730024696148483
0.8,dom0.80,80% domestic / 20% international,1.2451649913996137,0.9195927648945856,0.6905972897465847,1.4161112300527656,1.043702431907996,0.7867614496699761,0.21426,17.189947328903372,30.156036156399296,21.547005843128403,694.2159374719316,0.0,0.22534,1.302345040270108,1.8012439647964393,1.6867583682279232,0.0,0.47713312870662594,3.6958130987493303,0.603618753255298,5.407926113157567,0.0,0.7035140174868372,9.594365175454715,1.0490229904785464,0.9286221051883079,17.189947328903372,21.547005843128403,1.302345040270108,30.619174296341253,83.06358582386198,1.8871502826586604,52.9387677408583,242.30773712667568,2.805887982816352,77.9571332415861,488.0231550332534,3.8063246082998785,272.525514620764,13121.145257331389,11.435852107690184,1.075741161498871,0.0539504873012809,0.2514,1.2812055399565585,0.7509413938647032
0.9,dom0.90,90% domestic / 10% international,1.2039810964469362,0.891163948561491,0.6753102001861795,1.3582902116282034,1.003790483681955,0.7632713257918957,0.24576,16.17234835759427,32.01183637566628,16.83802075961791,1263.1935106184922,0.0,0.25702,1.2531586723464656,1.8636569851267946,1.3548847765731027,0.0,0.46644662620611654,3.2185003173554914,0.5849438552900892,4.843464963184775,0.0,0.6762382591890197,8.838763801207357,0.0,0.8907563747614723,16.17234835759427,16.83802075961791,1.2531586723464656,29.49167762732948,73.46309315266717,1.8330395353230633,52.53312896432053,227.54279574901932,2.7653824188429055,79.32946091752407,483.1288804051617,3.8182963568350825,351.39240931558294,22783.569585737117,14.435696543555057,1.075741161498871,0.06341157899972968,0.2885,1.2344421111360067,0.7293444725148955
