dimension,parameter,incumbent,n_settings,min_advantage_pct,median_advantage_pct,max_advantage_pct,range_pp,challenger_always_wins,settings_lost
Risk aversion,risk_aversion,sixty_forty,12,5.381853434583306,19.31156834926219,33.80143501335946,28.419581578776153,True,0
Risk aversion,risk_aversion,target_date_fund,12,3.5073832512539482,10.511511399926698,22.24006020256293,18.73267695130898,True,0
Elasticity of substitution,ies,sixty_forty,9,20.23362004753888,25.26749516607769,34.22700198717203,13.99338193963315,True,0
Retirement age,age_retire,sixty_forty,6,15.709764321702814,21.374789910025427,28.669043884316746,12.959279562613933,True,0
Savings rate,savings_rate,sixty_forty,5,14.012041663072484,20.233620047538903,26.48898824956394,12.476946586491454,True,0
Elasticity of substitution,ies,target_date_fund,9,10.99031799923289,14.447131864540296,22.787447711206752,11.797129711973863,True,0
Withdrawal rate,withdrawal_rate,sixty_forty,13,8.954954167913964,16.34021364389302,20.233620047538903,11.278665879624938,True,0
Retirement age,age_retire,target_date_fund,6,7.901833008015546,11.820039477204492,17.115451206175013,9.213618198159466,True,0
Social security design,social_security,sixty_forty,4,20.233620047538903,24.61146522229025,29.255603622148385,9.021983574609482,True,0
Social security design,social_security,target_date_fund,4,10.990317999232913,13.522449441812112,18.209091582358372,7.21877358312546,True,0
Savings rate,savings_rate,target_date_fund,5,7.831676359499751,10.990317999232913,14.841207757908649,7.009531398408898,True,0
Bootstrap block length,mean_block_years,sixty_forty,6,16.221733500124458,18.885866084261327,22.89200178337385,6.670268283249392,True,0
Bootstrap block length,mean_block_years,target_date_fund,6,6.276671821713586,9.922621902096886,12.79771362055695,6.521041798843363,True,0
Withdrawal rate,withdrawal_rate,target_date_fund,13,5.083519177723561,9.64459120659049,11.243308989558543,6.159789811834981,True,0
Longevity (age at death),age_death,target_date_fund,5,10.294254023112813,10.990317999232913,12.0981117429249,1.8038577198120862,True,0
Longevity (age at death),age_death,sixty_forty,5,19.497736735910486,20.233620047538903,20.877056149958516,1.3793194140480303,True,0
Bequest weight,bequest_weight,target_date_fund,6,10.951138197928433,10.980550187323534,11.14280120869462,0.1916630107661863,True,0
Bequest weight,bequest_weight,sixty_forty,6,20.22647941156308,20.23407635648642,20.23544984766239,0.00897043609931103,True,0
