phase,strategy,cec,mean_retirement_consumption,sd_total,sd_sequence,sd_level,sequence_share,wealth_sequence_share,prob_ruin,n_paths,n_reps
none,balanced_all_equity,1.04847126825557,1.7294022745179551,1.0122954035288458,0.0,1.0122954035288458,0.0,0.0,0.11675,20000,8
none,domestic_equity,0.884248014153679,1.5306787572858467,1.1437132529018692,0.0,1.1437132529018692,0.0,0.0,0.25025,20000,8
none,international_equity,1.1056866765310616,1.9013663132972907,1.1794114591797833,0.0,1.1794114591797833,0.0,0.0,0.0919,20000,8
none,sixty_forty,0.8729360581916944,1.2914793284385715,0.6402338463637078,0.0,0.6402338463637078,0.0,0.0,0.2396,20000,8
none,target_date_fund,0.9445312403050319,1.4204792646796633,0.6810958535058597,0.0,0.6810958535058597,0.0,0.0,0.2191,20000,8
none,bills_only,0.7380030611991544,0.9060547113933178,0.281468154037518,0.0,0.281468154037518,0.0,0.0,0.55915,20000,8
accumulation,balanced_all_equity,1.0464217521898418,1.74595523080932,1.0787188025798529,0.455862840139254,0.9776621737693877,0.17858784074108106,0.20234541598067238,0.11675,20000,8
accumulation,domestic_equity,0.8818075177395711,1.5540427618605124,1.2530632871835483,0.5808462457733538,1.1103086239682374,0.21487028573667008,0.2323183292229519,0.25025,20000,8
accumulation,international_equity,1.1004804571299651,1.9271145295217649,1.2794044122441426,0.5618147914931334,1.1494519520751212,0.19282824564408266,0.2124213329566785,0.0919,20000,8
accumulation,sixty_forty,0.8700076936420061,1.282936777605426,0.6531554879049144,0.2272039091143007,0.6123646585683137,0.12100364091837448,0.15839028236829963,0.2396,20000,8
accumulation,target_date_fund,0.9445454660363248,1.416284602140954,0.6919063283147776,0.21888633922650608,0.6563711889335604,0.1000789431182922,0.13174333251604892,0.2191,20000,8
accumulation,bills_only,0.7355710733094037,0.8994378910281342,0.2760007590700784,0.030715229061667487,0.2742863352610712,0.01238474200553844,0.05017346758702014,0.55915,20000,8
retirement,balanced_all_equity,1.0426278652061307,1.7284206764152505,1.0193240386508697,0.14184679101133765,1.0094062530276429,0.019364866080343913,0.0,0.11799375,20000,8
retirement,domestic_equity,0.884619945554813,1.5356361011560349,1.2102928341241275,0.2133370407155572,1.1913421218906606,0.0310707408850293,0.0,0.25516875,20000,8
retirement,international_equity,1.0944625899880647,1.8967674384435529,1.1838665961217218,0.15664526128611983,1.173457446833687,0.017507695697424705,0.0,0.09745,20000,8
retirement,sixty_forty,0.8781652223175924,1.2960523697945514,0.6473678568612079,0.08713672992510682,0.6414766810999698,0.01811758265646715,0.0,0.23208125,20000,8
retirement,target_date_fund,0.9544799044108375,1.4270665551507162,0.6829924271874054,0.07812308486832362,0.6785097193157957,0.013083591963182251,0.0,0.20428125,20000,8
retirement,bills_only,0.7397809025431854,0.9080310327968093,0.2823647067213461,0.02224949813723074,0.2814867446869802,0.006208970748448734,0.0,0.54420625,20000,8
both,balanced_all_equity,1.0286781415891724,1.7686322287311966,1.191701354971148,0.8370436075824569,0.848239422831441,0.49335700831182744,0.5815041597057676,0.12565,20000,8
both,domestic_equity,0.8740044084026415,1.5746565119737197,1.4449981345626086,1.0609322418019487,0.9810414808735207,0.5390644881412695,0.630057010449866,0.2692625,20000,8
both,international_equity,1.0761408338430727,1.9694732591235953,1.5089511320580125,1.1205701247867692,1.0105721717791962,0.5514774121071688,0.6240823118183564,0.1051125,20000,8
both,sixty_forty,0.8761889482226438,1.2847023769758485,0.6593185581729974,0.37223033478914086,0.544192556926392,0.3187373263916121,0.44777903240612493,0.23821875,20000,8
both,target_date_fund,0.9591374823970061,1.4332126641246072,0.7225116626845662,0.4248749934944528,0.5843837289130364,0.34580607478476133,0.4692234104272504,0.1976125,20000,8
both,bills_only,0.7390814518215463,0.9015591975382249,0.2763020182589302,0.04339480741516024,0.2728730400449252,0.0246664935005719,0.12800974662286155,0.57440625,20000,8
