weighting,weighting_label,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
equal,Equal-weighted,balanced_all_equity,50/50 Domestic/International Equity,1.0477715240966154,1.247841331479547,0.11714,21.19006684442273,44.749356374785776,0.7490714591444009
equal,Equal-weighted,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
equal,Equal-weighted,international_equity,100% International Equity,1.1084723595383563,1.358096652961367,0.0899,24.4229119496229,64.24997267746332,0.7952480072658722
equal,Equal-weighted,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
equal,Equal-weighted,target_date_fund,Target-Date Fund (glide path),0.9425195381382905,1.0525353008305582,0.2221,16.374254032061522,9.363398003433641,0.6824444319335816
equal,Equal-weighted,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
gdp,Real GDP,balanced_all_equity,50/50 Domestic/International Equity,1.0701285518231252,1.288180703523688,0.1088,22.573357475184764,51.73684575954393,0.7667255045310593
gdp,Real GDP,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
gdp,Real GDP,international_equity,100% International Equity,1.1098302471135653,1.3795039205177726,0.0983,26.323540720696144,74.64609853469753,0.7961171186037047
gdp,Real GDP,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
gdp,Real GDP,target_date_fund,Target-Date Fund (glide path),0.9540712395047407,1.0703000643637213,0.21595,17.05759054640623,10.21040022636376,0.6915138651341558
gdp,Real GDP,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
pop,Population,balanced_all_equity,50/50 Domestic/International Equity,1.07934279213508,1.3056549765197714,0.10464,23.193631703739893,55.69067692923935,0.7733332814479995
pop,Population,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
pop,Population,international_equity,100% International Equity,1.1263670585044416,1.4079534802347564,0.09039,27.453606772528218,84.63303061806198,0.8065185592567071
pop,Population,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
pop,Population,target_date_fund,Target-Date Fund (glide path),0.9594212943813955,1.0788135210511833,0.21187,17.369246409593572,10.750223804408916,0.6953835043178429
pop,Population,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
gdp_pc,GDP per capita,balanced_all_equity,50/50 Domestic/International Equity,1.052029952993003,1.251347459729434,0.11229,21.106629037638818,44.63142261972828,0.752504559698305
gdp_pc,GDP per capita,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
gdp_pc,GDP per capita,international_equity,100% International Equity,1.1229984783738192,1.3765318547053458,0.08006,24.312149832163854,64.80498503517575,0.8040832579637294
gdp_pc,GDP per capita,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
gdp_pc,GDP per capita,target_date_fund,Target-Date Fund (glide path),0.942645908759635,1.0521218640799461,0.22273,16.312689926169732,9.305464652189444,0.6824331710699407
gdp_pc,GDP per capita,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
inverse_vol,Inverse volatility,balanced_all_equity,50/50 Domestic/International Equity,1.0290898276570675,1.2138621176859141,0.12398,20.052875313660465,38.52462659296838,0.7359434065653304
inverse_vol,Inverse volatility,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
inverse_vol,Inverse volatility,international_equity,100% International Equity,1.0744558498674868,1.2953907271032024,0.10077,21.983413879703594,49.034912129636666,0.7718797740509642
inverse_vol,Inverse volatility,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
inverse_vol,Inverse volatility,target_date_fund,Target-Date Fund (glide path),0.9328943285858485,1.0379016976878233,0.23064,15.823178562003346,8.53085109606096,0.6746100574505495
inverse_vol,Inverse volatility,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
