year,markets,herfindahl,effective_markets,largest_share,largest_market,top3_share
1890,16,0.15851174572681176,6.308680756840931,0.27308101237784277,USA,0.6149724255379859
1891,16,0.15763547942110578,6.343749539585631,0.27168949778778223,USA,0.6130980211212851
1892,16,0.1599782013529784,6.250851625676078,0.27933400288576454,USA,0.6154152628818639
1893,16,0.16450379880277188,6.078886975728308,0.2950718523902612,USA,0.6202481179173347
1894,16,0.16044992564174468,6.23247406317169,0.28193114300387007,USA,0.6158073750761797
1895,16,0.15664609324975043,6.383817044231285,0.2680533036727181,USA,0.6102046216539028
1896,16,0.16359170769528364,6.112779272789694,0.2869923297108234,USA,0.6265537001886998
1897,16,0.16188110885509943,6.177373055277901,0.2776568814567191,USA,0.6258859116649329
1898,16,0.166848492049465,5.993461419498676,0.2930859522007751,USA,0.635400136390112
1899,16,0.1639854106105763,6.09810346101304,0.2866808150773164,USA,0.6297635465770632
1900,16,0.1698426637990862,5.887802143653027,0.2991320420746646,USA,0.6400410737355502
1901,16,0.16975655843822823,5.890788604576267,0.30113925475884756,USA,0.6404824188248874
1902,16,0.17772426455707263,5.626693701573146,0.3238481288714821,USA,0.6481465459305392
1903,16,0.17875699003057732,5.594186833359326,0.3242019740888266,USA,0.653407171749566
1904,16,0.18056954266619246,5.5380325232846,0.3294508556374674,USA,0.6549171331774608
1905,16,0.17733953006354347,5.638900698798992,0.3222530263746883,USA,0.6518963908311683
1906,16,0.18286461361829784,5.468526579381555,0.33372824821020475,USA,0.6596715277598666
1907,16,0.18928778616963898,5.282961041679698,0.34925605175686847,USA,0.6647877136251228
1908,16,0.1877971713219296,5.324893836051231,0.3458500477781451,USA,0.6631547733144565
1909,16,0.1779563108126469,5.619356770397449,0.32676938666563204,USA,0.6493118060342291
1910,16,0.18724480537724553,5.340602095664453,0.34706097201066965,USA,0.6588295121544157
1911,16,0.18748356868138483,5.333800754024636,0.346364942776883,USA,0.6647314841786397
1912,16,0.1862539141398487,5.369014684164705,0.3444030754612821,USA,0.6601640799626216
1913,16,0.18784637984097685,5.323498918885525,0.3470455586711741,USA,0.6603872621593019
1914,16,0.18889964528829872,5.293816187287168,0.34851535327243444,USA,0.6644084711748712
1915,16,0.18487625877983876,5.409023346750311,0.34372108069429197,USA,0.6562826814334908
1916,16,0.18780834142909703,5.324577132147926,0.34796905666816974,USA,0.6611093679996205
1917,16,0.19665284112963177,5.085103242117967,0.36784887567429947,USA,0.6635368044691001
