rule,variant,rate,parameters,strategy,cec_gamma2,cec_nobequest_gamma2,cec_gamma5,cec_nobequest_gamma5,cec_gamma10,cec_nobequest_gamma10,prob_ruin,median_bequest,p5_bequest,median_retirement_consumption,p5_retirement_consumption,consumption_volatility,median_worst_spending_cut,p90_worst_spending_cut,median_total_real_spending,median_first_year_spending,median_final_year_spending
amortisation,Amortisation (annuity payment) (4% assumed return),,assumed_return=0.04,balanced_all_equity,1.718950257212102,1.7611022519463562,1.1680041144203819,1.1765286451882735,0.8332077406604824,0.8307585573934423,0.0,0.0,0.0,2.0615797674476966,0.7876072716605622,0.25469547200478815,0.41054551355073127,0.5921936419903608,65.34004602044283,1.8236095293810877,2.1876685653666597
gompertz,Actuarial (Gompertz life expectancy),,-,balanced_all_equity,1.7464280232549576,1.7160331842278371,1.1641631847704264,1.155432572310159,0.825458914004074,0.8224678959376853,0.0,3.8678826685569545,0.3897319571492776,2.0029677570114943,0.7737549250756406,0.26507247310478,0.4535636637676734,0.643680119060836,63.666133308660356,1.585552753412059,1.7082936067050065
amortisation,Amortisation (annuity payment) (2% assumed return),,assumed_return=0.02,balanced_all_equity,1.6956234376798325,1.735822340083456,1.1554602056834633,1.163109913761276,0.8313907584744518,0.8289356722519966,0.0,0.0,0.0,2.1037540439205387,0.7950607835245458,0.3214515052200971,0.3593240761782289,0.5329520556454642,69.5892538249131,1.558029183912878,2.9960733135302906
endowment,Endowment smoothing (light smoothing),0.07,smoothing=0.3,balanced_all_equity,1.6746265322535854,1.632416871069501,1.122581514426017,1.1136091191860575,0.8008150201128785,0.7979076572963059,0.0,12.002337923426989,1.1446762020790477,1.7991374458817089,0.7259080132915338,0.2208678369072151,0.45051993830851805,0.6487804042441834,55.73140037573093,2.066972167629684,1.5337425268610392
constant_percent,Constant % of portfolio,0.07,-,balanced_all_equity,1.67407157071972,1.6314157148827169,1.122538835783224,1.1135443880951272,0.8014901055233941,0.7985800536440126,0.0,12.423849799186293,1.25184027347241,1.8000423624124084,0.7272391710645263,0.22517727946137114,0.4802887441866711,0.6635595100740272,55.86418884971013,2.066972167629684,1.5496773336712701
gompertz,Actuarial (Gompertz life expectancy) (+5y buffer),,buffer_years=5.0,balanced_all_equity,1.6603822609190473,1.6168520044049455,1.1219372178153817,1.1129195769280402,0.8103896336938231,0.8074471401149108,0.0,14.452504127433384,1.4562496337030988,1.9087361795539697,0.7584471970360143,0.28922806403264106,0.36778735584207073,0.5519490582871855,61.9612274529609,1.413501307306282,2.26434685172486
life_expectancy,Life expectancy / RMD,,-,balanced_all_equity,1.6388905708701775,1.674506814493489,1.1203056519032069,1.1257344141031513,0.8165768194752543,0.8140823761780054,0.0,0.0,0.0,2.096029191315225,0.7823377352914477,0.41645929475410914,0.31804095923469344,0.48385500591926117,74.22207278580944,1.3332893770185765,4.100745842145093
amortisation,Amortisation (annuity payment) (0% assumed return),,assumed_return=0.0,balanced_all_equity,1.6388905708701775,1.674506814493489,1.1203056519032069,1.1257344141031513,0.8165768194752543,0.8140823761780054,0.0,0.0,0.0,2.096029191315225,0.7823377352914478,0.41645929475410914,0.31804095923469344,0.4838550059192611,74.22207278580944,1.3332893770185765,4.100745842145093
endowment,Endowment smoothing,0.065,smoothing=0.7,balanced_all_equity,1.6620832335921194,1.62130107200454,1.1179519991077962,1.1091739409630745,0.796146182989112,0.7932583888257662,0.00174,12.43112225595937,0.7284725179977867,1.793644378948612,0.7221691607156597,0.20962455117205478,0.3637488048864199,0.6053368582834395,55.253477063089285,1.9663773099971475,1.5499282186581564
guyton_klinger,Guyton-Klinger guardrails (tight band),0.065,"adjustment=0.1, guardrail=0.1",balanced_all_equity,1.654226313900131,1.6178085620220743,1.107203949689357,1.0993653829286123,0.7823012618102895,0.7794841262837999,0.06056,12.079545406052443,0.0,1.826660369837409,0.7241358424192397,0.20010651150953737,0.311592341898454,0.5955588093495292,56.20143738212424,1.9478464267132742,1.7552280827275277
guyton_klinger,Guyton-Klinger guardrails (no inflation rule),0.055,apply_inflation_rule=False,balanced_all_equity,1.6261817902729294,1.5937721398149005,1.104934158960252,1.0980656642991917,0.7752111729379932,0.772438748268399,0.1313,15.357782367709753,0.0,1.8126569568300113,0.72934418894192,0.19208985965448191,0.14528849148041667,0.5221468408181814,55.76509611642449,1.7674394498844324,1.9507091855481677
guyton_klinger,Guyton-Klinger guardrails,0.065,-,balanced_all_equity,1.6352632185876905,1.597577730356459,1.1009792216516943,1.093025353334286,0.7803040507873138,0.7774907910214083,0.05398,14.328818528644845,0.0,1.7936942897388728,0.7203505866294647,0.19400762034218802,0.28289625789683837,0.5755891033548081,55.13299579860124,1.9424064770276808,1.7350971537578441
life_expectancy,Life expectancy / RMD (+5y buffer),,buffer_years=5,balanced_all_equity,1.5929923660587908,1.5503240410461328,1.081265321877869,1.0725466998561426,0.7934241765633335,0.7905430200445216,0.0,15.655599244400626,1.5774747728170806,1.8937540436707976,0.7459285992863873,0.40023814546413206,0.30466842786214593,0.4719529651822148,66.44181288570994,1.2379984227570282,3.6119191332051264
vanguard_dynamic,Vanguard dynamic (ceiling/floor) (asymmetric),0.055,"ceiling=0.025, floor=-0.05",balanced_all_equity,1.5429334788993523,1.5076741594659573,1.0697770842400274,1.0624548284664956,0.7551594372353715,0.7524421994912356,0.10956,21.227414361143396,0.0,1.6670745249066918,0.701118659339125,0.13897021458724002,0.18740431053794449,0.5104770216433974,50.2233976744263,1.7674394498844324,1.5925873450550347
vanguard_dynamic,Vanguard dynamic (ceiling/floor),0.045,-,balanced_all_equity,1.5375373813524982,1.503191610211114,1.0669249218888937,1.0598207097195045,0.7536111592167407,0.750903270434958,0.12824,23.326531628755724,0.0,1.6961349477105463,0.7060371043208031,0.16805376106887285,0.12101033969233727,0.4289309518905777,51.76120841021578,1.5649759097053648,1.8089497278241042
constant_real,Constant real (4%-rule style),0.045,-,balanced_all_equity,1.4058806243345336,1.3769089141334492,1.002745662953094,0.9963462449727801,0.7185844354496709,0.716002556419441,0.20272,28.39330225587373,0.0,1.5071202413394622,0.6504664701252941,0.07610924187440694,0.0,0.5631926301184383,45.12540112522491,1.5649759097053648,1.3500225560834571
