variant,label,strategy,cec_gamma2,cec_nobequest_gamma2,cec_gamma5,cec_nobequest_gamma5,cec_gamma10,cec_nobequest_gamma10,prob_ruin,median_bequest,p5_bequest,median_retirement_consumption,p5_retirement_consumption,consumption_volatility,median_worst_spending_cut,p90_worst_spending_cut,median_total_real_spending,median_first_year_spending,median_final_year_spending
Amortisation (annuity payment) (4% assumed return),50/50 Domestic/International Equity,balanced_all_equity,1.718950257212102,1.7611022519463562,1.1680041144203819,1.1765286451882735,0.8332077406604824,0.8307585573934423,0.0,0.0,0.0,2.0615797674476966,0.7876072716605622,0.25469547200478815,0.41054551355073127,0.5921936419903608,65.34004602044283,1.8236095293810877,2.1876685653666597
Amortisation (annuity payment) (4% assumed return),100% Domestic Equity,domestic_equity,1.3831411096434456,1.4010115470598237,0.9600639764329645,0.958865734934953,0.7155256673185124,0.7130523058783436,0.0,0.0,0.0,1.561989560816456,0.6324784969713751,0.2557232685932865,0.4315215632424767,0.660297584902019,49.28461988623751,1.5427637222764323,1.4745655907782558
Amortisation (annuity payment) (4% assumed return),100% International Equity,international_equity,1.900760065203798,1.9595217065168864,1.235840487258849,1.2499410437618304,0.8503715052318553,0.8479910284972654,0.0,0.0,0.0,2.398945966256272,0.8475823992466731,0.2765389206742604,0.4207210006921051,0.5957425076785906,76.7751975356218,1.9944499818000174,2.750638733503446
Amortisation (annuity payment) (4% assumed return),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2880275008315796,1.3004978411952002,0.9595271195327778,0.9583144800022662,0.7268835412680653,0.7243903652509027,0.0,0.0,0.0,1.400577025949786,0.6403050815829304,0.17813591540818685,0.32613455709095907,0.5215333892603168,42.935358871798826,1.4307420053715623,1.281879175504533
Amortisation (annuity payment) (4% assumed return),Target-Date Fund (glide path),target_date_fund,1.3778573178222653,1.3954108552689715,1.032726568715777,1.0339115862388777,0.7730045492793788,0.7704690241091517,0.0,0.0,0.0,1.5008822562106108,0.6889109709515635,0.14525943514293363,0.3016774164917217,0.5050461497093874,45.65730468833265,1.587659684274887,1.298465072637177
Amortisation (annuity payment) (4% assumed return),100% Bills (cash),bills_only,0.8647809516527631,0.8609054489224804,0.7529423000487347,0.7487487920794139,0.6308172101756222,0.6285615468605428,0.0,0.0,0.0,0.873078518449462,0.5294650275051387,0.08723703173188456,0.2408110934151989,0.35723099211123843,26.356686774857536,1.0086587833584908,0.7668298966845926
Actuarial (Gompertz life expectancy),50/50 Domestic/International Equity,balanced_all_equity,1.7464280232549576,1.7160331842278371,1.1641631847704264,1.155432572310159,0.825458914004074,0.8224678959376853,0.0,3.8678826685569545,0.3897319571492776,2.0029677570114943,0.7737549250756406,0.26507247310478,0.4535636637676734,0.643680119060836,63.666133308660356,1.585552753412059,1.7082936067050065
Actuarial (Gompertz life expectancy),100% Domestic Equity,domestic_equity,1.394114862755503,1.3735074597471892,0.9550537513395289,0.9481118517261571,0.7116145448734336,0.7090377427306296,0.0,2.006762458575446,0.07852053442455187,1.5241464239409834,0.626677718883992,0.2620916312859714,0.4648974034760891,0.6915427540362707,48.28507788608654,1.3643413074436306,1.224842823315788
Actuarial (Gompertz life expectancy),100% International Equity,international_equity,1.9409864257764324,1.9051791587433449,1.2359402299342053,1.226624440939683,0.8430621231854872,0.8400066856320934,0.0,5.328650490455873,0.4758043348115858,2.32714604984117,0.8316697167698537,0.2866910901651907,0.46479700019740905,0.6500408378010745,74.68958514988425,1.7217357757413057,2.091400781625624
Actuarial (Gompertz life expectancy),60/40 Domestic Equity/Domestic Bonds,sixty_forty,1.2940313435090156,1.2752779015127573,0.9531121771285408,0.9461581491072404,0.7220928523642995,0.7194778246646362,0.0,1.5279825773004108,0.10342788039213378,1.3699244952078096,0.6336287012928556,0.1894784490730388,0.3786164571153409,0.572161037956763,42.16896842812716,1.275684980838653,1.0923014497720656
Actuarial (Gompertz life expectancy),Target-Date Fund (glide path),target_date_fund,1.3845710471439123,1.3656874406434332,1.0257019549384352,1.0182832964452864,0.7663489698598722,0.7635742466587839,0.0,1.554775487020943,0.17851211191941999,1.4665089298763367,0.6790690186653154,0.165992668472629,0.37973565631958306,0.5538351023294369,44.841284148851486,1.3985613890208168,1.1025854610284775
Actuarial (Gompertz life expectancy),100% Bills (cash),bills_only,0.8610122349858959,0.8514219803868553,0.7481733592459674,0.7428665379803316,0.6277155554708749,0.6254430624854703,0.0,0.2679191448523681,0.024918629547546037,0.8656210312673365,0.5263367024488877,0.08917354272690631,0.24760485430068618,0.35707313649147615,26.115598256322656,0.9336262446725377,0.7279391687067613
Endowment smoothing (light smoothing),50/50 Domestic/International Equity,balanced_all_equity,1.6746265322535854,1.632416871069501,1.122581514426017,1.1136091191860575,0.8008150201128785,0.7979076572963059,0.0,12.002337923426989,1.1446762020790477,1.7991374458817089,0.7259080132915338,0.2208678369072151,0.45051993830851805,0.6487804042441834,55.73140037573093,2.066972167629684,1.5337425268610392
