variant,age,p10,p50,p90
Amortisation (annuity payment) (4% assumed return),63,0.974377643741154,1.8236095293810877,3.914495436527201
Amortisation (annuity payment) (4% assumed return),64,0.9711727182169387,1.8404696550367419,4.037779279477892
Amortisation (annuity payment) (4% assumed return),65,0.9672180992760882,1.8644411498899638,4.171777878362788
Amortisation (annuity payment) (4% assumed return),66,0.9659069691907747,1.8824612108621759,4.2977452169841674
Amortisation (annuity payment) (4% assumed return),67,0.9614659379277863,1.89784222090526,4.417084001255337
Amortisation (annuity payment) (4% assumed return),68,0.958410184788401,1.9156751500797782,4.5334250207153515
Amortisation (annuity payment) (4% assumed return),69,0.9571372388729243,1.9349872575578004,4.661806741515396
Amortisation (annuity payment) (4% assumed return),70,0.9585204808073287,1.952260189647157,4.809461539641188
Amortisation (annuity payment) (4% assumed return),71,0.9571233370790834,1.967395026904685,4.96125399461256
Amortisation (annuity payment) (4% assumed return),72,0.9532176838597881,1.9870650525803297,5.1022443203339485
Amortisation (annuity payment) (4% assumed return),73,0.950713726159913,2.0084984197399587,5.267207529016673
Amortisation (annuity payment) (4% assumed return),74,0.9478510886333493,2.026584496109833,5.413347242390012
Amortisation (annuity payment) (4% assumed return),75,0.9493931009967111,2.0518483704085124,5.57678856854184
Amortisation (annuity payment) (4% assumed return),76,0.9461337373977253,2.0729390309833486,5.758345251119412
Amortisation (annuity payment) (4% assumed return),77,0.9459281040727244,2.0899332267772768,5.9065844257525075
Amortisation (annuity payment) (4% assumed return),78,0.942301341550264,2.1104894686737876,6.0948268407101995
Amortisation (annuity payment) (4% assumed return),79,0.940355259247954,2.1338412445360726,6.271699611644774
Amortisation (annuity payment) (4% assumed return),80,0.9387487795082349,2.1476680153477594,6.465253631636363
Amortisation (annuity payment) (4% assumed return),81,0.939076864135212,2.1682379077493046,6.643438906410347
Amortisation (annuity payment) (4% assumed return),82,0.9371552598752526,2.186643286541435,6.843765284838138
Amortisation (annuity payment) (4% assumed return),83,0.9346171664657684,2.2075656492470497,7.014792047574081
Amortisation (annuity payment) (4% assumed return),84,0.9338384739890578,2.2349045906136267,7.225202641443051
Amortisation (annuity payment) (4% assumed return),85,0.9327498740497054,2.250511381302247,7.374285269015974
Amortisation (annuity payment) (4% assumed return),86,0.9289750552303393,2.263146949858327,7.56318505793358
Amortisation (annuity payment) (4% assumed return),87,0.9258048140634687,2.2779771852754327,7.826284718940887
Amortisation (annuity payment) (4% assumed return),88,0.9188185996486821,2.293298942249761,7.961348406075001
Amortisation (annuity payment) (4% assumed return),89,0.9149965252524398,2.303955257516054,8.151282011747899
Amortisation (annuity payment) (4% assumed return),90,0.9113196571286275,2.303421069623579,8.31886497592372
Amortisation (annuity payment) (4% assumed return),91,0.9065653267459162,2.296746040270964,8.442415276835778
Amortisation (annuity payment) (4% assumed return),92,0.881405428920069,2.1876685653666597,8.053386799407404
Actuarial (Gompertz life expectancy),63,0.8881442066109072,1.585552753412059,3.270493291041396
Actuarial (Gompertz life expectancy),64,0.8939780001266973,1.631646639681455,3.454832812701574
Actuarial (Gompertz life expectancy),65,0.9049621480830274,1.6821317324874352,3.6515362054817624
Actuarial (Gompertz life expectancy),66,0.914015892287033,1.7302632840819512,3.854724550689433
Actuarial (Gompertz life expectancy),67,0.9213975732962226,1.7774222214266553,4.053790519415768
Actuarial (Gompertz life expectancy),68,0.929508707497256,1.825027138988451,4.255550782441878
Actuarial (Gompertz life expectancy),69,0.9376534273251523,1.8747292689384234,4.474626421609404
Actuarial (Gompertz life expectancy),70,0.9494502590398085,1.9235279978480113,4.718244019928384
Actuarial (Gompertz life expectancy),71,0.9577187616198128,1.9694377707433899,4.9675606891745865
Actuarial (Gompertz life expectancy),72,0.9622804266390718,2.017779943854631,5.204955751226421
Actuarial (Gompertz life expectancy),73,0.9674527098721962,2.06859530268373,5.470129535331255
Actuarial (Gompertz life expectancy),74,0.972032924605328,2.1134072714238883,5.716231043942709
Actuarial (Gompertz life expectancy),75,0.9797127396053732,2.1631464270230194,5.969588715881215
Actuarial (Gompertz life expectancy),76,0.9812893021264925,2.2044684557005487,6.225474546583967
Actuarial (Gompertz life expectancy),77,0.9837673519754382,2.2388700354475937,6.445351135848996
Actuarial (Gompertz life expectancy),78,0.9836844108667885,2.271614888954047,6.694774486645411
Actuarial (Gompertz life expectancy),79,0.9818555796858929,2.299481326652935,6.908213779425702
Actuarial (Gompertz life expectancy),80,0.9800984403560623,2.3148782453031753,7.110867933719524
Actuarial (Gompertz life expectancy),81,0.9764717912427658,2.3280883150007847,7.265634043178506
Actuarial (Gompertz life expectancy),82,0.9704863259449231,2.326717488607987,7.404688084457551
Actuarial (Gompertz life expectancy),83,0.9605114630388288,2.3218265216098324,7.47706233436785
Actuarial (Gompertz life expectancy),84,0.9504191527867815,2.3107665580005623,7.547856765777315
Actuarial (Gompertz life expectancy),85,0.9389067437066109,2.279033918175067,7.4956892826586525
Actuarial (Gompertz life expectancy),86,0.9222541590307695,2.231257148924839,7.426799917556154
Actuarial (Gompertz life expectancy),87,0.9040961780051626,2.173472000458725,7.368126420873747
Actuarial (Gompertz life expectancy),88,0.8812671256471983,2.1077404518152756,7.133248977129168
Actuarial (Gompertz life expectancy),89,0.8587031837003966,2.0261635564726674,6.882384641412913
Actuarial (Gompertz life expectancy),90,0.8353108271794,1.9310883409991595,6.5728481691357645
Actuarial (Gompertz life expectancy),91,0.8128108526816342,1.8256411241869615,6.205524819531783
Actuarial (Gompertz life expectancy),92,0.784069101747631,1.7082936067050065,5.727707774745123
Endowment smoothing (light smoothing),63,1.062734956084878,2.066972167629684,4.581008751614034
Endowment smoothing (light smoothing),64,1.0534639185720427,2.0572133933929617,4.591802676425307
Endowment smoothing (light smoothing),65,1.0389895382867482,2.043486780689684,4.6129418627371015
Endowment smoothing (light smoothing),66,1.0214459472577269,2.0217644345074968,4.638671830826551
Endowment smoothing (light smoothing),67,1.0011816847917334,1.9979980618343283,4.663374237146715
Endowment smoothing (light smoothing),68,0.9824444744531143,1.9737289608165627,4.662616069143918
Endowment smoothing (light smoothing),69,0.9663194423522521,1.9530033841560992,4.673985589192818
Endowment smoothing (light smoothing),70,0.9520144027142349,1.928441084527775,4.700715475081935
Endowment smoothing (light smoothing),71,0.9395694944352323,1.905418899647092,4.719577901876381
Endowment smoothing (light smoothing),72,0.9262646562050233,1.8860491561465131,4.750543336738307
Endowment smoothing (light smoothing),73,0.9111145920936464,1.8664547437898946,4.7467297853981885
Endowment smoothing (light smoothing),74,0.898071489965128,1.8451941791246451,4.751672247065346
Endowment smoothing (light smoothing),75,0.8882349035047572,1.8287920645087645,4.785533130359062
Endowment smoothing (light smoothing),76,0.8766861339518444,1.81142950636912,4.788371578640709
Endowment smoothing (light smoothing),77,0.8656095456524353,1.7901908069532535,4.802965908344902
Endowment smoothing (light smoothing),78,0.8553336219641561,1.7724000873475334,4.827687970970912
Endowment smoothing (light smoothing),79,0.8459805125593082,1.7556531319609583,4.847185340628374
Endowment smoothing (light smoothing),80,0.8343270269111672,1.7315547267578781,4.871705024622427
Endowment smoothing (light smoothing),81,0.8266573769517369,1.7142610330839392,4.864678194122827
Endowment smoothing (light smoothing),82,0.8183944767818714,1.6974491878119473,4.88411983436518
Endowment smoothing (light smoothing),83,0.8102001342700919,1.6814141737708492,4.8867072541909655
Endowment smoothing (light smoothing),84,0.8011161291176114,1.6674881580161025,4.881230295514896
Endowment smoothing (light smoothing),85,0.7942812657992694,1.6506261824456407,4.877472733324866
Endowment smoothing (light smoothing),86,0.7853654452257686,1.6363524750196876,4.873386834076162
Endowment smoothing (light smoothing),87,0.7776396619599406,1.618511356561809,4.917305841697677
Endowment smoothing (light smoothing),88,0.7693191189318511,1.6006380736872856,4.917501737995647
Endowment smoothing (light smoothing),89,0.7622977368287489,1.5867556462364267,4.916688669319735
Endowment smoothing (light smoothing),90,0.7558544610391446,1.5707996020215673,4.927748500822674
Endowment smoothing (light smoothing),91,0.7491574414852142,1.5532771751736276,4.9500468513034415
Endowment smoothing (light smoothing),92,0.7436863163302847,1.5337425268610392,4.941876966271179
Constant % of portfolio,63,1.0627349560848782,2.066972167629684,4.581008751614034
Constant % of portfolio,64,1.0443191919848636,2.0463129643248053,4.602119470713041
Constant % of portfolio,65,1.0249876468343735,2.0293461084177014,4.6495929409728065
Constant % of portfolio,66,1.0077978334218285,2.008177712363854,4.666051083331329
Constant % of portfolio,67,0.9902296828405696,1.9833085091723093,4.674608998557363
Constant % of portfolio,68,0.9730300374682672,1.9621344610137421,4.676640142714645
Constant % of portfolio,69,0.9593160220366167,1.9423118341178962,4.684500747364164
Constant % of portfolio,70,0.9484737984380919,1.9206250331922239,4.708864948711929
Constant % of portfolio,71,0.935501153944162,1.8970904544725857,4.734311629907943
Constant % of portfolio,72,0.9223642104125074,1.8792163330983604,4.7451065496414015
Constant % of portfolio,73,0.9093548145520419,1.861917982497658,4.773711206814925
Constant % of portfolio,74,0.8963189014629714,1.8428720148674382,4.778433471257131
Constant % of portfolio,75,0.887838183455239,1.8272443593621217,4.79042464578208
Constant % of portfolio,76,0.8765204578959407,1.810653590495046,4.817865835556394
Constant % of portfolio,77,0.8663816460648675,1.7895578020807066,4.824912267624689
Constant % of portfolio,78,0.8574890395648995,1.7746463857817447,4.843514296636022
Constant % of portfolio,79,0.8459930258278159,1.7584479101621675,4.853094202584865
Constant % of portfolio,80,0.8376652208183955,1.7373407912401784,4.871778183632559
Constant % of portfolio,81,0.8293293791121993,1.7212689229568758,4.878080037280735
Constant % of portfolio,82,0.8213489580065678,1.7059898996341856,4.892427750024757
Constant % of portfolio,83,0.8117198424246815,1.6897458236978475,4.891136098507363
Constant % of portfolio,84,0.8048761949436948,1.6744260839193643,4.907326642971495
Constant % of portfolio,85,0.7985812967258633,1.6614713978205102,4.886913165292348
Constant % of portfolio,86,0.7900638557096262,1.648562245334714,4.898011385447047
Constant % of portfolio,87,0.7824467530034341,1.6288125565614329,4.94654600569515
Constant % of portfolio,88,0.77417983012371,1.6129533998509362,4.943149771917034
Constant % of portfolio,89,0.7678173882351675,1.5990032625703479,4.9326152039241355
Constant % of portfolio,90,0.7623969227340155,1.5847812947734174,4.949634682887776
Constant % of portfolio,91,0.755938199669493,1.568077274785212,4.975699474322361
Constant % of portfolio,92,0.7500021316388054,1.5496773336712701,4.958294706528201
Life expectancy / RMD,63,0.7912296249638558,1.3332893770185765,2.5813511838789083
Life expectancy / RMD,64,0.7987660452812523,1.372065314404535,2.7353091072715676
Life expectancy / RMD,65,0.8086756606985712,1.415603055011426,2.89284889813004
Life expectancy / RMD,66,0.8222806425512947,1.4621690315778726,3.073339998498667
Life expectancy / RMD,67,0.8304819613361994,1.507509096721781,3.2499283517605555
Life expectancy / RMD,68,0.8413767809292009,1.5547751957002778,3.439333178917114
Life expectancy / RMD,69,0.8524775444717301,1.6062838698426951,3.646726946692793
Life expectancy / RMD,70,0.8652645101634855,1.6582878740397229,3.87710286179185
Life expectancy / RMD,71,0.8803382879393368,1.7154613990528804,4.141955866522781
Life expectancy / RMD,72,0.8923157615001571,1.7764699045595176,4.406676184222708
Life expectancy / RMD,73,0.9034462934660845,1.8431763889017645,4.709584614479661
Life expectancy / RMD,74,0.9145787165663835,1.9102041683991178,5.012850790755912
Life expectancy / RMD,75,0.9316125393527875,1.9874308412786603,5.349876649182362
Life expectancy / RMD,76,0.9440703423149311,2.0652110252459273,5.731097700470372
Life expectancy / RMD,77,0.9601589386600352,2.1435109782982282,6.1032298338192
Life expectancy / RMD,78,0.9731573435391855,2.231531885255548,6.542837651602955
Life expectancy / RMD,79,0.9881936878007762,2.3240317605328835,6.999628682335311
Life expectancy / RMD,80,1.0047095270677777,2.4146470518593093,7.504072205353707
Life expectancy / RMD,81,1.021527888459851,2.520840122073248,8.02018760022228
Life expectancy / RMD,82,1.0383309807528127,2.627372229473631,8.594045119508777
Life expectancy / RMD,83,1.0548823384820614,2.74236409824331,9.19133873749032
Life expectancy / RMD,84,1.0738976239929257,2.871033998973552,9.870566273697383
Life expectancy / RMD,85,1.0913884510908052,2.9971605642858425,10.519320489022066
Life expectancy / RMD,86,1.1107500487839863,3.1265292524444783,11.270716709281011
Life expectancy / RMD,87,1.1296659816099022,3.267532009706202,12.208252573096525
Life expectancy / RMD,88,1.1437694475222628,3.4228079892408987,13.010208663516734
Life expectancy / RMD,89,1.1624221913085062,3.5896401545694623,13.972680689627222
Life expectancy / RMD,90,1.187382724000785,3.752613777154676,15.0337880226445
Life expectancy / RMD,91,1.2087414797949136,3.9259310299134453,16.190194308563516
Life expectancy / RMD,92,1.2325281812562856,4.100745842145093,17.296562535924085
Guyton-Klinger guardrails (tight band),63,1.0126195166472396,1.9478464267132742,4.273293326439642
Guyton-Klinger guardrails (tight band),64,1.0021826729288263,1.9346008131930499,4.257423480243566
Guyton-Klinger guardrails (tight band),65,0.9893473386467081,1.9199174051788814,4.251959931100732
Guyton-Klinger guardrails (tight band),66,0.9759674976492371,1.9052754351213752,4.250824663784912
Guyton-Klinger guardrails (tight band),67,0.9625841556195879,1.888784598377835,4.2577983364851
Guyton-Klinger guardrails (tight band),68,0.9480997258833591,1.8714352360249946,4.250954276375942
Guyton-Klinger guardrails (tight band),69,0.9343545419590351,1.8564706134047877,4.262153665654377
Guyton-Klinger guardrails (tight band),70,0.9216992236356377,1.8387954677359737,4.289229490803976
Guyton-Klinger guardrails (tight band),71,0.9104042289694949,1.8272288946702409,4.322103367849877
Guyton-Klinger guardrails (tight band),72,0.8977016873187333,1.8130342030553062,4.359732673375828
Guyton-Klinger guardrails (tight band),73,0.886798659270567,1.8010845271566251,4.397363102421325
Guyton-Klinger guardrails (tight band),74,0.8743347680148393,1.788214504939876,4.449117505567599
Guyton-Klinger guardrails (tight band),75,0.8654758885348703,1.775426137586905,4.489348161867598
