age,balanced_all_equity,domestic_equity,international_equity,sixty_forty,target_date_fund,bills_only
25,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
26,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
27,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
28,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
29,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
30,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
31,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
32,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
33,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
34,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
35,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
36,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
37,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
38,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
39,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
40,1.0,1.0,1.0,0.6,0.9000000000000001,0.0
41,1.0,1.0,1.0,0.6,0.8833333333333333,0.0
42,1.0,1.0,1.0,0.6,0.8666666666666667,0.0
43,1.0,1.0,1.0,0.6,0.8500000000000001,0.0
44,1.0,1.0,1.0,0.6,0.8333333333333334,0.0
45,1.0,1.0,1.0,0.6,0.8166666666666667,0.0
46,1.0,1.0,1.0,0.6,0.8,0.0
47,1.0,1.0,1.0,0.6,0.7833333333333333,0.0
48,1.0,1.0,1.0,0.6,0.7666666666666667,0.0
49,1.0,1.0,1.0,0.6,0.75,0.0
50,1.0,1.0,1.0,0.6,0.7333333333333334,0.0
51,1.0,1.0,1.0,0.6,0.7166666666666667,0.0
52,1.0,1.0,1.0,0.6,0.7,0.0
53,1.0,1.0,1.0,0.6,0.6833333333333333,0.0
54,1.0,1.0,1.0,0.6,0.6666666666666667,0.0
55,1.0,1.0,1.0,0.6,0.65,0.0
56,1.0,1.0,1.0,0.6,0.63125,0.0
57,1.0,1.0,1.0,0.6,0.6125,0.0
58,1.0,1.0,1.0,0.6,0.59375,0.0
59,1.0,1.0,1.0,0.6,0.575,0.0
60,1.0,1.0,1.0,0.6,0.55625,0.0
61,1.0,1.0,1.0,0.6,0.5375,0.0
62,1.0,1.0,1.0,0.6,0.51875,0.0
63,1.0,1.0,1.0,0.6,0.5,0.0
64,1.0,1.0,1.0,0.6,0.4875,0.0
65,1.0,1.0,1.0,0.6,0.475,0.0
66,1.0,1.0,1.0,0.6,0.4625,0.0
67,1.0,1.0,1.0,0.6,0.45000000000000007,0.0
68,1.0,1.0,1.0,0.6,0.4375,0.0
69,1.0,1.0,1.0,0.6,0.42500000000000004,0.0
70,1.0,1.0,1.0,0.6,0.4125,0.0
71,1.0,1.0,1.0,0.6,0.39999999999999997,0.0
72,1.0,1.0,1.0,0.6,0.38749999999999996,0.0
73,1.0,1.0,1.0,0.6,0.375,0.0
74,1.0,1.0,1.0,0.6,0.36249999999999993,0.0
75,1.0,1.0,1.0,0.6,0.35,0.0
76,1.0,1.0,1.0,0.6,0.3472222222222222,0.0
77,1.0,1.0,1.0,0.6,0.34444444444444444,0.0
78,1.0,1.0,1.0,0.6,0.3416666666666667,0.0
79,1.0,1.0,1.0,0.6,0.33888888888888885,0.0
80,1.0,1.0,1.0,0.6,0.3361111111111111,0.0
81,1.0,1.0,1.0,0.6,0.3333333333333333,0.0
82,1.0,1.0,1.0,0.6,0.33055555555555555,0.0
83,1.0,1.0,1.0,0.6,0.3277777777777778,0.0
84,1.0,1.0,1.0,0.6,0.32499999999999996,0.0
85,1.0,1.0,1.0,0.6,0.3222222222222222,0.0
86,1.0,1.0,1.0,0.6,0.3194444444444444,0.0
87,1.0,1.0,1.0,0.6,0.31666666666666665,0.0
88,1.0,1.0,1.0,0.6,0.3138888888888889,0.0
89,1.0,1.0,1.0,0.6,0.3111111111111111,0.0
90,1.0,1.0,1.0,0.6,0.30833333333333335,0.0
91,1.0,1.0,1.0,0.6,0.3055555555555555,0.0
92,1.0,1.0,1.0,0.6,0.30277777777777776,0.0
