withdrawal,tax,average_rate,marginal_rate,statutory_rate
0.0,0.0,0.0,0.0,0.0
0.00125,0.0,0.0,0.0,0.0
0.0025,0.0,0.0,0.0,0.0
0.00375,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0
0.00625,0.0,0.0,0.0,0.0
0.0075,0.0,0.0,0.0,0.0
0.00875,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.01125,0.0,0.0,0.0,0.0
0.0125,0.0,0.0,0.0,0.0
0.01375,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0
0.01625,0.0,0.0,0.0,0.0
0.0175,0.0,0.0,0.0,0.0
0.01875,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.02125,0.0,0.0,0.0,0.0
0.0225,0.0,0.0,0.0,0.0
0.02375,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0
0.02625,0.0,0.0,0.0,0.0
0.0275,0.0,0.0,0.0,0.0
0.02875,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0
0.03125,0.0,0.0,0.0,0.0
0.0325,0.0,0.0,0.0,0.0
0.03375,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0
0.03625,0.0,0.0,0.0,0.0
0.0375,0.0,0.0,0.0,0.0
0.03875,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0
0.04125,0.0,0.0,0.0,0.0
0.0425,0.0,0.0,0.0,0.0
0.043750000000000004,0.0,0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0
0.04625,0.0,0.0,0.0,0.0
0.0475,0.0,0.0,0.0,0.0
0.04875,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.051250000000000004,0.0,0.0,0.0,0.0
0.0525,0.0,0.0,0.0,0.0
0.05375,0.0,0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0
0.05625,0.0,0.0,0.0,0.0
0.0575,0.0,0.0,0.0,0.0
0.058750000000000004,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0
0.06125,0.0,0.0,0.0,0.0
0.0625,0.0,0.0,0.0,0.0
0.06375,0.0,0.0,0.0,0.0
0.065,0.0,0.0,0.0,0.0
0.06625,0.0,0.0,0.0,0.0
0.0675,0.0,0.0,0.0,0.0
0.06875,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0
0.07125000000000001,0.0,0.0,0.0,0.0
0.0725,0.0,0.0,0.0,0.0
0.07375,0.0,0.0,0.0,0.0
0.075,0.0,0.0,0.0,0.0
0.07625,0.0,0.0,0.0,0.0
0.0775,0.0,0.0,0.0,0.0
0.07875,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0
