bucket,bucket_index,n_paths,strategy,label,cec_crra_gamma2,cec_crra_gamma5,cec_crra_gamma10,prob_ruin,median_retirement_consumption,p5_retirement_consumption,median_wealth_at_retirement
Expensive,0,49504,balanced_all_equity,50/50 Domestic/International Equity,1.390343558691826,1.0385810461415925,0.7547349179459898,0.1231819650937298,1.4635437749387863,0.7029280492727967,20.770785631733784
Expensive,0,49504,domestic_equity,100% Domestic Equity,1.164228500591395,0.871484162305578,0.6635621014310764,0.26638251454427925,1.2180767040465823,0.5717031837201483,15.62641670675921
Expensive,0,49504,international_equity,100% International Equity,1.5197788317806908,1.107812102844029,0.7831484669508783,0.09084114414996768,1.6129088678622403,0.7538444108991107,24.41369152989417
Expensive,0,49504,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.0945013915577952,0.8626019705949299,0.6666784239829648,0.2526058500323206,1.1365894275486714,0.5775250205848069,13.130379338365568
Expensive,0,49504,target_date_fund,Target-Date Fund (glide path),1.2014055002542532,0.9335451489053691,0.6993455708244187,0.2312944408532644,1.2576673397756015,0.622143457512739,16.10066174283797
Expensive,0,49504,bills_only,100% Bills (cash),0.8442843639355664,0.7368049867649238,0.6165032333045338,0.567974305106658,0.8531384104358972,0.5193568964102893,6.334954351577576
Middling,1,18938,balanced_all_equity,50/50 Domestic/International Equity,1.4213568654651327,1.0583659466648525,0.7654764770548079,0.11289470905058613,1.500392707641009,0.7089157078543211,21.682208953729045
Middling,1,18938,domestic_equity,100% Domestic Equity,1.1994821406361427,0.8907610076996708,0.6753439857928482,0.24194740732917944,1.2650693250736922,0.5840747601881938,16.70945981637596
Middling,1,18938,international_equity,100% International Equity,1.532526920256282,1.1208987871803395,0.7909593343103106,0.08717921639032633,1.6259381369364985,0.7639950946288374,24.87207214407348
Middling,1,18938,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.1141840146379351,0.8758974878828194,0.6786187668972435,0.2368254303516739,1.158895245843005,0.5875950017680185,13.609657988554098
Middling,1,18938,target_date_fund,Target-Date Fund (glide path),1.224779324348962,0.9488818068030508,0.7110109605960007,0.2183440701235611,1.2852544704432076,0.6321455743937545,16.638299599158138
Middling,1,18938,bills_only,100% Bills (cash),0.8526328507042394,0.7435942416667126,0.6238131693029817,0.5490548104340479,0.8609923363759784,0.5216730009936749,6.524153542713556
Cheap,2,17939,balanced_all_equity,50/50 Domestic/International Equity,1.4731473660059287,1.0889812822623832,0.7654817673128127,0.0997825965772897,1.552292902605457,0.7355686372181875,22.91402372738099
Cheap,2,17939,domestic_equity,100% Domestic Equity,1.245452855618524,0.9175076686396935,0.6795087791442653,0.22219744690339485,1.3116977299526056,0.603500861903006,17.50545389841191
Cheap,2,17939,international_equity,100% International Equity,1.5536842312944492,1.1225797511113011,0.7845758309428386,0.08807625843135068,1.6579426277389975,0.7616938625381285,25.42202485838376
Cheap,2,17939,sixty_forty,60/40 Domestic Equity/Domestic Bonds,1.146675417128837,0.8992045774979036,0.6820473360661182,0.21946596800267573,1.1920496103739306,0.6069048178226691,14.193519410582972
Cheap,2,17939,target_date_fund,Target-Date Fund (glide path),1.263299456607685,0.9751936169171572,0.7136247336584687,0.20246390545738335,1.3283482257052466,0.6544323320437391,17.50983129965306
Cheap,2,17939,bills_only,100% Bills (cash),0.8570278248263651,0.7469508040757148,0.6230791317980411,0.5397736774625118,0.8664188426710062,0.5265164458630123,6.596448479942384
