year,prior_country_years,cut_expensive_middling,cut_middling_cheap
1903,150,0.04352052972107509,0.05036257280840994
1904,165,0.043317997944704735,0.04972559435075317
1905,180,0.04302983160100897,0.04971851728854687
1906,195,0.042687874779248194,0.04951696897271754
1907,210,0.0423356162010087,0.04903608972053781
1908,225,0.04213323321222803,0.0484057302773708
1909,240,0.04234728717701763,0.04909962075710647
1910,255,0.04266397351917036,0.04892614862959665
1911,270,0.0423356162010087,0.04845502125590262
1912,285,0.042351321907023405,0.048319786415930904
1913,300,0.042441771401823106,0.04820428918172757
1914,315,0.04266237295284101,0.0482845514650707
1915,331,0.04280054749323761,0.04876716339005983
1916,347,0.04303942454970488,0.04934516534025411
1917,363,0.04289146697871555,0.04919583018008459
1918,379,0.04269721438413418,0.04888687374277426
1919,395,0.04289681700551333,0.04917372481689217
1920,410,0.04301507368473494,0.04936748608861283
1921,425,0.043063743730875,0.04958010288959844
1922,440,0.04333933220408989,0.05012571978051251
1923,455,0.043549616375943796,0.05087152505433882
1924,470,0.043489725667120324,0.05092695012864
1925,485,0.043549616375943796,0.05094991206369611
1926,500,0.04366484286955219,0.05087152505433882
1927,515,0.043762098414439704,0.05094296102431321
1928,529,0.04385062162902559,0.05094952975945194
1929,543,0.04369175542099488,0.05080784008795801
1930,557,0.043516853794576225,0.050606031373415225
1931,571,0.04369921204840853,0.05092982355403576
1932,585,0.0438627846752745,0.05127215306918066
1933,599,0.04400403918903841,0.0516201379598232
1934,613,0.04417976967869043,0.051645846492308176
1935,627,0.043928840975242855,0.05146378892730823
1936,641,0.04377495690010702,0.05127925641666324
1937,655,0.04348756548764396,0.051039403004815326
1938,669,0.04312620239579067,0.05094972091157402
1939,683,0.043182647350030905,0.05094296102431321
1940,697,0.0433206093833258,0.05095010321581819
1941,711,0.04338687340601593,0.05105144179248751
1942,725,0.043248630096945,0.050960560021663326
1943,739,0.04303770289384551,0.05094952975945194
1944,753,0.042836020446138164,0.05080784008795801
1945,767,0.042653760750302507,0.05041474343023216
1946,781,0.04233322515791974,0.05027899406750879
1947,795,0.04201715260225955,0.050078067403777946
1948,808,0.041686292668684316,0.04976313346662345
1949,821,0.0415476800761911,0.04972509243464617
1950,835,0.041488941284999886,0.04964323680647935
1951,849,0.04124276489491314,0.04937807823517436
1952,864,0.04114683329909206,0.049296964178494794
1953,879,0.041081580276424806,0.049248342961803554
1954,894,0.04114683329909206,0.049304061024525156
1955,909,0.04112386452269398,0.04926612359999993
1956,924,0.04092864923754199,0.04916412474163176
1957,939,0.040890568355039465,0.04906804398191818
1958,954,0.04090560576425519,0.04902534521100128
1959,969,0.04092864923754199,0.04902534521100128
1960,984,0.04078449688254233,0.0488648092850564
1961,999,0.04052522763824244,0.048727414566051105
1962,1015,0.04026558753225458,0.048597809165467895
1963,1031,0.04004363699326448,0.04834797737142675
1964,1047,0.040056421655838934,0.048170627707721216
1965,1063,0.039581506883260675,0.048044794362676106
1966,1079,0.0394678380169436,0.04778197881482664
1967,1095,0.039440816360587466,0.04772005477239854
1968,1111,0.03951088729931666,0.04773011019920063
1969,1127,0.03935189272202486,0.047676617776472
1970,1143,0.03911107278523542,0.047546123745950075
1971,1159,0.03896495741458296,0.04747793939053409
1972,1175,0.03897830905902424,0.047473797639918776
1973,1191,0.03888880245054997,0.04741196574535815
1974,1207,0.03851366101799763,0.04735074738267107
1975,1223,0.03843204763788161,0.04722012947718011
1976,1239,0.03849939132431657,0.04741196574535815
1977,1255,0.03840197193774947,0.04735074738267107
1978,1271,0.03841521332449402,0.047356753684632616
1979,1287,0.038443549660240724,0.0474241911009029
1980,1303,0.03847085193695446,0.04746370126050756
1981,1319,0.038526688493090586,0.04745612457608088
1982,1335,0.03859788557692803,0.04746430555323442
1983,1351,0.03868584417093561,0.04749353077550164
1984,1367,0.03869912908698809,0.04752088958196349
1985,1383,0.03845242807608052,0.04746430555323442
1986,1399,0.038391200374990636,0.0473991817902447
1987,1415,0.038146590077674576,0.04727768057799681
1988,1431,0.03776284632779277,0.04710518786182052
1989,1447,0.037635797440306915,0.04701945722773172
1990,1462,0.03740202333278941,0.046891912526913646
1991,1477,0.03715467766972001,0.046850128819289974
1992,1492,0.03715467766972001,0.04684881282305017
1993,1507,0.0368572163399872,0.04679516542909207
1994,1522,0.03664830314149047,0.046704178103775716
1995,1537,0.03638328871269694,0.04651827627201144
1996,1552,0.03616409714384543,0.046429727358140216
1997,1567,0.0359047948220953,0.046313398795042426
1998,1582,0.035631670429193296,0.04623723510259622
1999,1597,0.03547283884324553,0.04617666294215163
2000,1612,0.035125541472071045,0.0460608859815345
2001,1627,0.03493005367811754,0.04598832116516777
2002,1642,0.03465695319061247,0.04593425903599335
2003,1657,0.03437452161690294,0.0457851699331829
2004,1672,0.03435963362216886,0.0457488523834161
2005,1687,0.03410373729131536,0.04569514791597659
2006,1702,0.03378596334110621,0.04564297347289514
2007,1718,0.03359492640596146,0.04551209796947237
2008,1734,0.03330288262189734,0.04536169259400082
2009,1750,0.033167604145020256,0.04519978000590737
2010,1766,0.03328092784203493,0.04551209796947237
2011,1782,0.03314058483264591,0.04536169259400082
2012,1798,0.033018361958509726,0.04521142526540836
2013,1814,0.033034100823919284,0.04520754351224136
2014,1830,0.03306825121252245,0.045143870456194175
2015,1846,0.03288008819580734,0.04510644337947861
2016,1862,0.03262443888638453,0.04501132690153683
2017,1878,0.03242513139432061,0.04490533434886653
2018,1894,0.032372036212193714,0.044868845135727295
2019,1910,0.03218678410379023,0.04472490194490852
2020,1926,0.03218759078742876,0.044596858084802606
